key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
54,852182,1,30,14,"INIT_POP_WIND_SPRIT_01","INIT_POP_WIND_SPRIT_02","INIT_POP_WIND_SPRIT_03","INIT_POP_WIND_PRIN","INIT_POP_YODOMI","INIT_P_POP_01","LOC_POS_ACTOR0","LOC_ACTOR0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4248510,4261181,4261182,4248516,4261180,4248519,4265718,1000767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,65592,2,30,24,"INIT_P_POP_01","INIT_POP_BOSS","INIT_POP_A_01","INIT_POP_A_02","INIT_POP_A_03","INIT_POP_A_04","INIT_POP_B_01","INIT_POP_C_01","INIT_POP_C_02","LOG_MSG_EVENT_QIB_LNC004_BTL_01","LOG_MSG_EVENT_QIB_LNC004_BTL_02","DEF_ACTION_BOA_WS_CRITICAL","CUT_SCENE_01","CUT_SCENE_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4248895,4248927,4248928,4248929,4248938,4248939,4248948,4248944,4248945,3201,3202,335,21,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,65976,1,30,29,"INIT_POP_PRIN_1_01","INIT_POP_PRIN_1_02","INIT_POP_PRIN_1_03","INIT_POP_YODOMI","INIT_P_POP_WULFIUE","INIT_P_POP_NOLANEL","INIT_P_POP_JOACIN","INIT_POP_TREE_2_01","INIT_POP_TREE_2_02","INIT_POP_YAMANE_2_01","INIT_POP_YAMANE_2_02","INIT_POP_EARTH_SPRIT","INIT_POP_TREE_3_01","INIT_POP_TREE_3_02","INIT_P_POP_ELEMENTAL_THUNDER","INIT_P_POP_ELEMENTAL_WIND","INIT_P_POP_ELEMENTAL_WATER","INIT_P_POP_PRIN_BOSS","INIT_ENPC_POP_01","INIT_ENPC_POP_02","INIT_ENPC_POP_03","INIT_ENPC_POP_04","DEF_WEATHER_BOLT","DEF_WEATHER_FINE","YELL_QIB_WULFIUE_01","YELL_QIB_NOLANEL_01","YELL_QIB_JOACIN_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4249083,4249087,4249088,4250414,4249072,4249073,4249074,4249097,4249098,4249106,4249107,4249109,4250514,4250515,4249116,4249117,4249119,4249132,4249177,4249178,4249179,4249180,10,1,996,997,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,66260,1,30,26,"INIT_P_POP_IDA","INIT_P_POP_PAPARIMO","INIT_POP_BOSS","INIT_POP_1_THM_01","INIT_POP_1_THM_02","INIT_POP_1_THM_03","INIT_POP_2_CNJ_01","INIT_POP_2_GLA_01","INIT_POP_2_GLA_02","INIT_POP_2_MOL_01","INIT_POP_2_MOL_02","INIT_POP_3_MOL_01","INIT_POP_3_THM_01","INIT_ENPC_01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_POS_ACTOR3","LOC_ACTION1","LOC_ACTION2","LOC_ACTION3","POP_RANGE_MONSTER_DEPOP","LOC_ACTOR5","LOC_BGM1","LOC_BGM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4255892,4255894,4255868,4255869,4255870,4255871,4255896,4255897,4255898,4255903,4255904,4261134,4261155,4256371,1003005,1008117,1002275,1002276,1007007,4307105,4307106,4307107,4307108,956,954,962,4332127,1008173,39,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,66318,1,30,31,"INIT_P_POP_01","INIT_P_POP_02","INIT_P_POP_03","INIT_P_POP_04","INIT_P_POP_05","INIT_POP_1ST_01","INIT_POP_1ST_02","INIT_POP_1ST_03","INIT_POP_1ST_04","INIT_POP_1ST_05","INIT_POP_1ST_06","INIT_POP_2ST_01","INIT_POP_2ST_02","INIT_POP_2ST_03","INIT_POP_2ST_04","INIT_POP_2ST_05","INIT_POP_3ST_01","INIT_POP_3ST_02","INIT_POP_3ST_03","INIT_POP_3ST_04","INIT_POP_3ST_05","YELL_QIB_01","YELL_QIB_02","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTOR5","LOC_ACTOR6","LOC_ACTOR7","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_POS_ACTOR3","LOC_POS_ACTOR4","LOC_ACTION1","LOC_ACTION2","LOC_BGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4251863,4251864,4251867,4251873,4251874,4252035,4252772,4252773,4252774,4252775,4252776,4252781,4252782,4252783,4252784,4252785,4252786,4252787,4252788,4252789,4252790,1127,1128,1006215,1008116,1007661,1007662,1007663,1003230,1003228,1003228,4316733,4316734,4316737,4316740,4316745,936,985,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,66347,1,30,34,"INIT_POP_1_KAI_01","INIT_POP_1_ROC_01","INIT_POP_1_ROC_02","INIT_POP_2_BOM_01","INIT_ENPC_MIL_01","DEF_PARALYSIS","POP_RANGE_ENEMY_MOVE_01","LOGMESSAGE_QIB_01","LOGMESSAGE_QIB_02","LOGMESSAGE_QIB_03","QIB_YELL_01","QIB_YELL_02","QIB_YELL_03","QIB_YELL_04","QIB_YELL_05","QIB_YELL_06","QIB_YELL_07","BGM_BATTLE","LOC_ACTOR0","LOC_ACTOR1","LOC_POS_ACTOR0","LOC_BGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4295469,4295470,4295472,4295473,4295474,17,4295504,3217,3218,3219,1274,1275,1276,1277,1278,1279,1285,37,1006264,1005259,4312558,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,66448,1,30,42,"INIT_ENPC_01","INIT_P_POP_PASCALERET","INIT_POP_1_EXC_01","INIT_POP_ALDLEC","INIT_POP_1_CNJ_01","INIT_POP_1_ARC_01","INIT_POP_1_PGL_01","INIT_P_POP_OLSHIFAN","INIT_POP_2_PGL_01","INIT_POP_2_LNC_01","INIT_POP_3_DRAGON_01","EVENT_ACTION_01","INIT_EO_POP_01","LOG_EVENT_QIB_GAIUSB803_01","LOG_EVENT_QIB_GAIUSB803_02","LOG_EVENT_QIB_GAIUSB803_03","YELL_QIB_GIEIM_01","YELL_QIB_PASCALERET_02","YELL_QIB_GIEIM_03","YELL_QIB_ALDLEC_04","YELL_QIB_OLSHIFAN_05","YELL_QIB_OLSHIFAN_06","INIT_POP_3_EXC_01","INIT_POP_3_CNJ_01","POP_RANGE_ALDLEC_01","POP_RANGE_PASCALERET_01","POP_RANGE_OLSHIFAN_01","POP_RANGE_OLSHIFAN_02","POP_RANGE_DRAGON_02","BGM_OLSHIFAN_AFTER_POP","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTOR5","LOC_ACTOR6","LOC_ACTOR7","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_POS_ACTOR3","LOC_ACTION1","LOC_BGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4261248,4261257,4261259,4261262,4261275,4261276,4261278,4261300,4261302,4261303,4261305,22,4285063,3206,3208,3209,1030,1031,1032,1033,1034,1371,4287236,4287237,4321748,4321746,4287139,4321747,4287173,36,1007675,1006902,1007681,1007665,1007666,1006905,1006906,1007699,4323475,4323476,4323477,4323478,979,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,66477,1,30,44,"INIT_POP_1ST_01","INIT_POP_1ST_02","INIT_POP_1ST_03","INIT_POP_1ST_04","INIT_P_POP_01","INIT_P_POP_02","INIT_P_POP_03","INIT_POP_2ST_01","INIT_POP_2ST_02","INIT_POP_BOSS_AFTER_MUTATION","INIT_POP_3_01","INIT_POP_3_02","INIT_POP_3_03","DEF_ACTION_MUTATE_AIVIS","DEF_ACTION_CALL_MONSTER","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_ACTION0","LOC_ACTION1","LOC_ACTOR4","LOC_BGM0","LOC_BGM1","LOC_ACTION2","LOC_ACTION3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4256791,4256796,4256797,4256798,4256801,4256802,4256803,4256804,4256805,4291248,4292891,4292892,4292887,1162,1163,1006902,1006903,1006904,1006907,4323677,4323689,961,982,1006949,83,113,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,66519,1,30,48,"INIT_P_POP_01","INIT_P_POP_02","INIT_P_POP_03","INIT_POP_1ST_01","INIT_POP_1ST_02","INIT_POP_1ST_03","INIT_POP_1ST_04","INIT_POP_2ST_01","INIT_POP_2ST_02","INIT_POP_2ST_03","INIT_POP_2ST_04","INIT_POP_2ST_05","INIT_POP_2ST_06","INIT_POP_3ST_01","INIT_POP_3ST_02","INIT_POP_3ST_03","INIT_POP_3ST_04","INIT_POP_3ST_05","INIT_POP_3ST_06","INIT_POP_3ST_07","POP_RANGE_ENEMY_MOVE_01","YELL_QIB_02","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTOR5","LOC_ACTOR6","LOC_ACTOR7","LOC_MARKER_01","LOC_MARKER_02","LOC_MARKER_03","LOC_ACTION0","LOC_ACTION1","LOC_ACTION2","LOC_ACTION3","LOC_BGM0","LOC_BGM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4264062,4264069,4264070,4264130,4264135,4264138,4264140,4264377,4264378,4264380,4264381,4264382,4264384,4264403,4264404,4264406,4264407,4264408,4264411,4264412,4268836,1530,1003837,1007628,1007001,1002275,1003782,1007622,1007623,1007624,4323173,4323176,4323178,34,934,936,1005,83,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,66540,1,30,50,"INIT_P_POP_CID","INIT_POP_1_ARC_01","INIT_POP_1_ARC_02","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_1_GLA_01","INIT_POP_1_ARMOR_01","INIT_POP_2_CNJ_01","INIT_POP_2_LNC_01","INIT_POP_2_ARC_01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_ACTOR4","LOC_ACTOR5","LOC_POS_ACTOR0","LOC_POS_ACTOR1","LOC_POS_ACTOR2","LOC_POS_ACTOR3","LOC_POS_ACTOR4","LOC_ACTION1","QIB_LOG_MESSAGE_01","DEF_ACTION_OVER_BOOST","CUT_SCENE_01","BGM_BATTLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4270049,4270002,4270003,4270007,4270008,4270011,4270036,4270059,4270060,4270061,1003855,1007668,1007669,1007669,1002908,1007667,4323824,4323827,4323828,4323829,4323830,587,3226,1286,255,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,66541,1,30,50,"INIT_P_POP_01","INIT_P_POP_02","INIT_POP_1ST_01","INIT_POP_1ST_02","INIT_POP_1ST_03","INIT_POP_1ST_04","INIT_ENPC_01","INIT_ENPC_02","CUT_SCENE_01","CUT_SCENE_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4277157,4277164,4277127,4277134,4277135,4277136,4277249,4277250,256,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,66057,1,30,50,"INIT_P_POP_1_BIGGS","INIT_P_POP_1_ARMOR_WEDGE","INIT_POP_1_1_EXC_LEADER","INIT_POP_1_1_LNC_01","INIT_POP_1_1_THM_01","INIT_P_POP_1_PAPALYMO","INIT_P_POP_1_URIANGER","INIT_ENPC_1_MINFILIA","INIT_ENPC_1_TATARU","INIT_POP_1_2_LNC_01","INIT_POP_1_2_CNJ_01","INIT_POP_1_2_GLA_01","INIT_ENPC_2_MINFILIA","INIT_ENPC_2_TATARU","INIT_ENPC_2_BIGGS","INIT_P_POP_2_PAPALYMO","INIT_P_POP_2_URIANGER","INIT_POP_2_1_LNC_01","INIT_POP_2_1_GLA_01","INIT_POP_2_1_CNJ_01","INIT_POP_2_1_KIL_01","INIT_POP_2_1_THM_01","INIT_POP_2_2_KIL_01","INIT_POP_2_2_KIL_02","INIT_POP_2_2_LNC_01","INIT_POP_2_2_THM_01","INIT_POP_2_2_THM_02","INIT_POP_2_2_TOOL_01","INIT_POP_2_2_TOOL_02","INIT_POP_2_2_TOOL_03","INIT_POP_2_3_STL_03","INIT_POP_2_2_CNJ_03","INIT_P_POP_PET","WARP_01","INIT_EO_POP_URIANGER_HANDS_ON","INIT_EO_POP_PAPALYMO_HANDS_ON","EVENT_ACTION_01","INIT_ENPC_POP_URIANGER","INIT_ENPC_POP_PAPALYMO","YELL_QIB_URIANGER_01","YELL_QIB_PAPALYMO_01","YELL_QIB_01","YELL_QIB_02","YELL_QIB_03","LOGMESSAGE_QIB_01","LOGMESSAGE_QIB_02","LOGMESSAGE_QIB_03","DEF_ACTION_SUMMON_PET_BNPC","STATUS_CUSTOM_REGEN","CUT_SCENE_01","CUT_SCENE_02","BGM_BATTLE_2ND","DEF_WEATHER_SUNY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4278226,4278227,4278232,4278234,4278235,4278239,4278243,4278275,4278277,4278298,4278300,4278305,4288517,4288518,4288515,4278513,4278521,4278529,4278538,4278558,4278569,4278577,4285260,4285261,4285274,4285278,4285317,4286888,4286889,4286891,4287242,4287243,4308235,4278503,4307830,4307829,42,4307929,4307930,1192,1193,1693,1694,1695,3214,3215,3216,1307,691,258,259,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66585,1,30,34,"INIT_P_POP_SOLUKU_01","INIT_POP_1_ADAMANT_01","INIT_POP_1_ADAMANT_02","INIT_POP_1_ADAMANT_03","INIT_POP_2_ADAMANT_01","INIT_POP_2_ADAMANT_02","INIT_POP_2_JLYFISH_01","INIT_POP_2_JLYFISH_02","INIT_POP_2_JLYFISH_03","INIT_POP_2_JLYFISH_04","INIT_P_POP_KYURIOUS_01","INIT_POP_3_ADAMANT_BOSS","INIT_POP_3_ADAMANT_01","INIT_POP_3_ADAMANT_02","INIT_POP_3_ADAMANT_03","INIT_POP_3_ADAMANT_04","INIT_POP_4_JLYFISH_01","INIT_POP_4_JLYFISH_02","INIT_POP_4_JLYFISH_03","INIT_POP_4_JLYFISH_04","INIT_POP_4_ELEMENT_01","INIT_POP_4_ADAMANT_01","INIT_POP_4_ADAMANT_02","INIT_POP_4_ADAMANT_03","LOC_ACTOR0","LOC_ACTOR1","LOC_POS_ACTOR0","CUT_START_NCUT","CUT_INSART_NCUT","WARP_01","INIT_P_POP_SOLUKU_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4299987,4299990,4299991,4299992,4299995,4299997,4299999,4300001,4300006,4300007,4300008,4300009,4300010,4300011,4300012,4300013,4300014,4300015,4300016,4300017,4300018,4300121,4300122,4300123,1007128,1002696,4309208,320,321,4332431,4333234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,66590,1,30,50,"INIT_POP_1ST_A_01","INIT_POP_1ST_A_02","INIT_POP_1ST_A_03","INIT_POP_1ST_A_04","INIT_POP_1ST_A_05","INIT_P_POP_01","INIT_P_POP_02","INIT_P_POP_03","INIT_POP_2ND_B_01","INIT_POP_2ND_B_02","INIT_POP_2ND_B_03","INIT_POP_2ND_B_04","INIT_POP_2ND_B_05","INIT_POP_BOSS","WARP_01","INIT_POP_3RD_C_01","INIT_POP_3RD_C_02","INIT_POP_3RD_C_03","INIT_POP_3RD_C_04","INIT_POP_3RD_C_05","INIT_POP_3RD_C_06","INIT_POP_3RD_C_07","INIT_POP_3RD_C_08","INIT_POP_3RD_C_09","INIT_POP_3RD_C_10","INIT_POP_3RD_C_11","INIT_POP_3RD_C_12","INIT_POP_3RD_C_13","INIT_POP_4TH_D_01","INIT_POP_4TH_D_02","INIT_POP_4TH_D_03","INIT_POP_4TH_D_04","INIT_POP_4TH_D_05","INIT_POP_4TH_D_06","INIT_POP_4TH_D_07","INIT_POP_4TH_D_08","INIT_POP_4TH_D_09","INIT_POP_4TH_D_10","INIT_POP_4TH_D_11","INIT_POP_4TH_C_01","INIT_POP_4TH_C_02","INIT_POP_4TH_C_03","INIT_POP_4TH_C_04","INIT_POP_4TH_C_05","INIT_POP_4TH_C_06","INIT_POP_4TH_C_07","INIT_POP_4TH_C_08","INIT_POP_4TH_C_09","INIT_POP_4TH_C_10","INIT_POP_4TH_C_11","INIT_POP_4TH_C_12","INIT_POP_4TH_C_13","INIT_POP_4TH_C_14","INIT_POP_4TH_C_15","INIT_POP_4TH_C_16","INIT_POP_4TH_C_17","INIT_ENPC_POP_01","INIT_ENPC_POP_02","LOG_EVENT_QIB_WAR500_BTL_01","LOG_EVENT_QIB_WAR500_BTL_02","BGM_JOB_SHIREN","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_POS_ACTOR0","CUT_INSART_NCUT","CUT_END_NCUT","INIT_ENPC_POP_03","INIT_ENPC_POP_04","JOB_STORY_MES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4272556,4272557,4272558,4272559,4272560,4329195,4272571,4272573,4272579,4272580,4272581,4272582,4272583,4273307,4273310,4273323,4273324,4273327,4273328,4273331,4273332,4273334,4273335,4273336,4273338,4273341,4273343,4273344,4273694,4273695,4273696,4273697,4273700,4273701,4273702,4273704,4273705,4273706,4273708,4273709,4273710,4273713,4273714,4273715,4273716,4273727,4273729,4273732,4273733,4273735,4273738,4273740,4302586,4302587,4302589,4302590,4274643,4274644,3204,3205,91,1007128,1007141,1007142,1007143,4312944,323,324,4322368,4322688,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,66595,1,30,49,"INIT_POP_1_BOSS_JENLINCE_01","INIT_POP_1_B_TYPE_GLA_01","INIT_POP_1_B_TYPE_GLA_02","INIT_POP_1_B_TYPE_GLA_03","INIT_POP_1_A_TYPE_GLA_01","CUT_START_NCUT","CUT_END_NCUT","JOB_STORY_MES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4296937,4296942,4296943,4296944,4296945,330,331,3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,66596,1,30,50,"INIT_P_POP_SOLKIZAGIL_01","INIT_P_POP_JENLINCE_01","INIT_POP_1_OGA_01","INIT_POP_1_ARLIMAN_01","INIT_POP_2_PGL_SAKATU_01","INIT_POP_2_PGL_SAKATU_02","INIT_POP_2_PGL_SAKATU_03","INIT_POP_3_PGL_SAKATU_01","INIT_POP_3_PGL_SAKATU_02","INIT_POP_3_PGL_SAKATU_03","INIT_POP_3_GLA_SAKATU_01","INIT_POP_3_GLA_SAKATU_02","INIT_POP_3_BOSS_SAKATU_01","POP_EOBJ_COMEET_POINT_01","POP_EOBJ_COMEET_OMEN_01","INIT_P_POP_SOLKIZAGIL_02","INIT_P_POP_JENLINCE_02","INIT_POP_4_PGL_SAKATU_01","INIT_POP_4_PGL_SAKATU_02","INIT_POP_4_PGL_SAKATU_03","INIT_POP_4_SUMMON_MAMONJIN_01","INIT_POP_4_DETHEGAIZE_01","EVENT_ACTION_01","INIT_P_POP_JENLINCE_03","INIT_P_POP_SOLKIZAGIL_03","WARP_01","CUT_START_NCUT","CUT_END_NCUT","BGM_LASTHALF","BGM_SEARCH_PHASE","INIT_P_POP_STAR_MAP_TARGET","DEF_ACTION_STAR_MAP","POP_AVOID_STAR_MAP_MOVE","POP_ENEMY_MOVE_01","POP_ENEMY_MOVE_02","PR_SOLKIZAGIL_MOVE","JOB_STORY_MES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4293473,4293474,4293477,4293479,4293524,4293525,4293526,4293534,4293535,4293536,4293547,4293548,4293553,4293747,4293748,4293791,4293788,4293994,4293995,4293996,4293997,4293999,6,4302195,4302196,4302204,332,333,91,141,4323575,1116,4323599,4293554,4323984,4330647,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,66597,1,30,34,"INIT_ENPC_POP_1_ERIC_01","INIT_EOBJ_POP_1_MACHIN_01","INIT_POP_1_IMP_01","INIT_POP_1_IMP_02","INIT_POP_1_IMP_03","INIT_POP_1_IMP_04","INIT_POP_1_IMP_05","INIT_POP_1_IMP_06","INIT_POP_2_IMP_BOSS_01","INIT_POP_3_MASEKIKUN_01","INIT_POP_3_MASEKIKUN_02","INIT_POP_3_MASEKIKUN_03","CUT_END_NCUT","LOC_ACTOR0","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_ACTOR3","LOC_POS_ACTOR1","LOC_POS_ACTOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4306244,4306245,4306246,4306247,4306248,4306249,4306250,4306251,4306253,4306259,4306260,4306261,338,1006749,4324013,1006749,1007892,1007893,1007894,4325065,4325150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
