Index,0 [0x3][0xc],1 [0x5][0x8],2 [0x5][0xa],3 [0x3][0xd],4 [0x3][0xe],5 [0x3][0xf],6 [0x0][0x0],7 [0x0][0x4]
252,42,2048,65535,14,2,0,"Attacke von Familiar/Mitstreiter eines anderen verfehlt","Das Smaragd-Karfunkel verfehlt den Fantasiehasen."
253,43,2048,65535,14,3,0,"Kommando von Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel beginnt, Böe zu wirken.\nDas Smaragd-Karfunkel bricht Böe ab."
254,44,2048,65535,14,4,0,"Gegenstand von Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel macht einen Heiltrank bereit.\nDas Smaragd-Karfunkel setzt den Heiltrank doch nicht ein."
255,45,2048,65535,14,5,0,"Heilungsmagie durch Familiar/Mitstreiter eines anderen","Du regenerierst 123 LP."
256,46,2048,65535,14,6,0,"Familiar/Mitstreiter eines anderen verursacht positiven Status","Du erhältst den Effekt von Steinhaut."
257,47,2048,65535,14,7,0,"Familiar/Mitstreiter eines anderen verursacht negativen Status","Der Fantasiehase erleidet den Effekt von Bio."
258,41,65535,2048,14,8,0,"Familiar/Mitstreiter eines anderen erleidet Schaden","Der Fantasiehase trifft das Smaragd-Karfunkel und verursacht 123 Punkte Schaden."
259,42,65535,2048,14,9,0,"Familiar/Mitstreiter eines anderen ist ausgewichen","Der Fantasiehase greift das Smaragd-Karfunkel an und verfehlt."
260,43,65535,2048,14,10,0,"Kommandos auf Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel beginnt, Böe zu wirken.\nDas Smaragd-Karfunkel bricht Böe ab."
261,44,65535,2048,14,11,0,"Gegenstand auf Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel macht einen Heiltrank bereit.\nDas Smaragd-Karfunkel setzt den Heiltrank doch nicht ein."
262,45,65535,2048,14,12,0,"Heilungsmagie auf Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel regeneriert 123 LP."
263,46,65535,2048,14,13,0,"Positiver Status auf Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel erhält den Effekt von Steinhaut."
264,47,65535,2048,14,14,0,"Negativer Status auf Familiar/Mitstreiter eines anderen","Das Smaragd-Karfunkel erleidet den Effekt von Bio."
265,48,65535,2048,14,15,0,"Positiver Status auf Familiar/Mitstreiter eines anderen endet","Das Smaragd-Karfunkel verliert den Effekt von Steinhaut."
266,49,65535,2048,14,16,0,"Negativer Status auf Familiar/Mitstreiter eines anderen endet","Das Smaragd-Karfunkel erholt sich von dem Effekt von Bio."
267,0,0,0,0,0,0,"",""
268,0,0,0,0,0,0,"",""
269,0,0,0,0,0,0,"",""
270,0,0,0,0,0,0,"",""
