Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8]
88,"Estinien",3,"NONE",1,0,0,0,1,"„Ich bin bereit. Ich erwarte dich, Nidhogg! Sobald du dich zeigst, lösche ich dein Lebenslicht aus!“"
89,"Lucia goe Junius",3,"NONE",1,0,0,1,1,"„Denn wer ewig der Vergangenheit nachhängt, droht den Blick auf die Zukunft zu verlieren.“"
90,"Ysayle",3,"NONE",1,0,0,1,1,"„Wir haben keinen Gott, zu dem wir flehen könnten. So müssen wir uns selbst erlösen!“"
91,"Hilda",3,"NONE",1,0,0,1,1,"„Wer von uns ist hier Abschaum, du verlogener Köter?“"
92,"Matoya",3,"NONE",1,0,0,1,1,"„Schon gut, Junge. Und jetzt mal raus mit der Sprache. Was wollt ihr von einer alten Einsiedlerin wie mir? Ihr seid doch nicht hierher gekommen, nur um zu plaudern, hm?“"
93,"Graf Edmont Fortemps",3,"NONE",1,0,0,0,1,"„Es ist mir eine Ehre, Euch in den Hallen meiner Ahnen begrüßen zu dürfen.“"
94,"Byblos",3,"Byblos",1,0,1,0,0,"Eine verbotene Phantomgestalt, die die verbotenen Hallen der Großen Gubal-Bibliothek bewacht. Vermutlich ist Byblos ein von den Sharlayanern beschworener Nichtsgesandter, der durch einen dunklen Zauber für alle Ewigkeit an seinen Dienst gebunden ist."
95,"Haurchefant",3,"NONE",1,0,0,0,1,"„Meiner Meinung nach kann man sich keine treuere Gefährtin wünschen. Und auch körperlich stellt sie jedes Pferd und jeden Chocobo in den Schatten. Ihre Ausdauer ist geradezu übermenschlich.“"
96,"Aymeric",3,"NONE",1,0,0,0,1,"„Für all jene, die in der Hoffnung auf eine bessere Zukunft starben, und um unserer Freunde Seelen willen werden wir den Frieden erreichen.“"
97,"Ravana",3,"NONE",1,0,0,1,1,"Gott und Erlöser des Stammes der Gnath. Der Primae Ravana erscheint als Krieger und Eroberer, predigt Stärke und verabscheut jegliche Art von Schwäche. Er zelebriert die Heiligkeit des Kampfes und bezwingt würdige Gegner mit seinen tödlichen Mondlicht-Klingen, den legendären Chandrahas."
98,"Bismarck",3,"NONE",1,0,0,0,1,"Der Herr der Wolken wurde lange dem Reich der Legenden zugeschrieben, bis er durch die rasenden Anrufungen der Vanu Gestalt erhielt. Sie glauben, dass er einst ihre Vorfahren zu den schwebenden Inseln führte und sie ihnen als Zuhause gab. Der Primae in Gestalt eines großen weißen Wals beschützt seine Jünger und reißt mit einem sintflutartigen Wasserschwall aus seinem Blasloch all diejenigen vom Himmel, die ihnen feindselig gesinnt sind."
99,"Nidhogg",3,"NONE",1,0,0,0,1,"Einer der sieben großen Drachen, die Midgardsormr, Urvater aller Drachen, einst zeugte. Nidhogg führt die dravanische Drachenbrut an und überzieht seit 1000 Jahren Ishgard mit einem blutigen Krieg. Sein Gebrüll spaltet den Himmel und die Herzen selbst der mutigsten Tempelritter."
100,"Midgardsormr",3,"NONE",1,0,0,0,1,"„Du hast das Antlitz des ersten Hüters vergessen, Einfältiger. Erinnere dich - und erbebe vor mir!“"
