Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x12],4 [0x3][0x13],5 [0x19][0x16],6 [0x3][0x14],7 [0x7][0x8],8 [0x4][0x10],9 [0x3][0x15]
242,"Baiser de guêpe amélioré","Le bonus de dégâts physiques de Baiser de guêpe monte à 20%.\nL'effet de Jugulation devient “inflige Étourdissement pour une durée de 2s”.",5404,29,36,false,0,0,0,93
243,"Aiguillonnement amélioré","La quantité de PT récupérés grâce à Aiguillonnement est accrue.",5406,29,28,false,0,0,0,93
244,"Baiser de vipère amélioré","Le bonus de dégâts physiques de Baiser de vipère monte à 20%.\nL'effet de Rapine devient “récupère en PV 50% des dégâts infligés”.",5405,29,40,false,0,0,0,93
245,"Attaque mutilante améliorée","La durée d'Attaque mutilante monte à 30 secondes.",5407,29,44,false,0,0,0,93
246,"Roseraie fatale améliorée","La puissance de Roseraie fatale monte à 100.",5408,29,48,false,0,0,40,93
247,"Assaut amélioré","",0,0,0,true,4,230,0,93
248,"Assaut amélioré II","",0,0,0,true,4,231,0,93
249,"Assaut amélioré III","",0,0,0,true,4,232,0,93
250,"Vent mauvais amélioré","",0,0,0,true,4,233,0,93
251,"Vent mauvais amélioré II","",0,0,0,true,4,234,0,93
252,"Vent mauvais amélioré III","",0,0,0,true,4,235,0,93
253,"Clairvoyance améliorée","",0,0,0,true,4,237,0,93
254,"Détection améliorée","",0,0,0,true,4,236,0,100
255,"Rétablissement amélioré","",0,0,0,true,4,238,0,97
256,"Rétablissement amélioré II","",0,0,0,true,4,239,0,97
257,"Grâce de Nymeia","Augmente parfois le nombre d'objets sans version HQ récoltés. Les conditions d'activation peuvent être vérifiées grâce à Préparation.",5436,16,42,false,0,0,0,17
258,"Amoureux des pierres V","Votre connaissance des filons de minerai et des carrières vous permet de découvrir leurs propriétés cachées sous certaines conditions.",5437,16,53,false,0,67617,0,17
259,"Furtivité améliorée IV","Vous pouvez vous cacher d'ennemis de niveau 54 ou inférieur.",5438,16,50,false,0,0,54,17
260,"Furtivité améliorée V","Vous pouvez vous cacher d'ennemis de niveau 57 ou inférieur.",5439,16,53,false,0,0,57,17
261,"Furtivité améliorée VI","Vous pouvez vous cacher d'ennemis de niveau 60 ou inférieur.",5440,16,56,false,0,0,60,17
262,"Grâce de Nymeia","Augmente parfois le nombre d'objets sans version HQ récoltés. Les conditions d'activation peuvent être vérifiées grâce à Préparation.",5461,17,42,false,0,0,0,18
263,"Amoureux des arbres V","Votre connaissance des arbres matures et de la végétation vous permet de découvrir leurs propriétés cachées sous certaines conditions.",5462,17,53,false,0,67585,0,18
264,"Furtivité améliorée IV","Vous pouvez vous cacher d'ennemis de niveau 54 ou inférieur.",5463,17,50,false,0,0,54,18
265,"Furtivité améliorée V","Vous pouvez vous cacher d'ennemis de niveau 57 ou inférieur.",5464,17,53,false,0,0,57,18
266,"Furtivité améliorée VI","Vous pouvez vous cacher d'ennemis de niveau 60 ou inférieur.",5465,17,56,false,0,0,60,18
267,"Œil du goéland IV","Vous pouvez pêcher dans les bancs de poissons de niveau 55 et inférieur.",5491,18,55,false,0,0,55,19
268,"Œil du goéland V","Vous pouvez pêcher dans les bancs de poissons de niveau 60 et inférieur.",5492,18,60,false,0,0,60,19
269,"Pêcheur des cieux","Vous pouvez pêcher dans les cieux, depuis les îles flottantes.",5488,18,53,false,0,67622,0,19
270,"Furtivité améliorée IV","Vous pouvez vous cacher d'ennemis de niveau 54 ou inférieur.",5485,18,50,false,0,0,54,19
271,"Furtivité améliorée V","Vous pouvez vous cacher d'ennemis de niveau 57 ou inférieur.",5486,18,53,false,0,0,57,19
272,"Furtivité améliorée VI","Vous pouvez vous cacher d'ennemis de niveau 60 ou inférieur.",5487,18,56,false,0,0,60,19
273,"Pêcheur des enfers","Vous pouvez pêcher dans la lave.",5489,18,55,false,0,67623,0,19
274,"Pêcheur de l'éther","Vous pouvez pêcher dans les fuites magismologiques.",5490,18,58,false,0,67624,0,19
275,"Vitalité améliorée","La vitalité est augmentée de 2 points.",5130,32,8,false,0,0,2,98
276,"Peau d'ombre améliorée","La réduction de dégâts de Peau d'ombre monte à 20%.",6051,32,14,false,0,0,0,98
277,"Vitalité améliorée II","La vitalité est augmentée de 4 points.",5131,32,16,false,0,0,4,98
278,"Fatalité améliorée","La durée d'effet de Fatalité monte à 30 secondes.",6052,32,32,false,0,0,0,98
279,"Vitalité améliorée III","La vitalité est augmentée de 6 points.",5132,32,24,false,0,0,6,98
280,"Arme propre","Le temps de recharge d'Arme de sang est réduit à 40 secondes.",6053,32,20,false,0,0,0,98
281,"Coup bas amélioré","Accorde 30% de chances à chaque parade que le temps de recharge de Coup bas soit réinitialisé.",6054,32,36,false,0,0,30,98
282,"Rétorsion hâtive","Le temps de recharge de Rétorsion est réduit à 30 secondes.",6055,32,28,false,0,0,0,98
283,"Détérioration améliorée","Accorde 30% de chances lors du lancement de Détérioration que le prochain Déchaînement ne consomme pas de PM.\nDurée: 15s",6056,32,40,false,0,0,20,98
284,"Danse ténébreuse améliorée","Le bonus de parade de Danse ténébreuse monte à 30%.",6057,32,44,false,0,0,0,98
285,"Dévoreur d'âme amélioré","Les PV récupérés montent à 100% des dégâts infligés.",6058,32,48,false,0,0,0,98
286,"Dextérité améliorée","La dextérité est augmentée de 2 points.",5120,31,8,false,0,0,2,96
287,"Réassemblage accéléré","Le temps de recharge de Réassemblage est réduit à 60 secondes.",6001,31,28,false,0,0,0,96
288,"Dextérité améliorée II","La dextérité est augmentée de 4 points.",5121,31,16,false,0,0,4,96
289,"Dégâts des actions augmentés","Les dégâts de base des actions sont augmentés de 10%.",6002,31,20,false,0,0,10,96
290,"Dextérité améliorée III","La dextérité est augmentée de 6 points.",5122,31,24,false,0,0,6,96
291,"Tir de plombs lents","La durée de Tir de plombs monte à 30 secondes.",6004,31,14,false,0,0,0,96
292,"Rechargement plus vif","Le temps de recharge de Rechargement vif est réduit à 15 secondes.",6005,31,32,false,0,0,0,96
293,"Tir dispersé amélioré","La portée de Tir dispersé monte à 12 yalms.",6006,31,36,false,0,0,12,96
294,"Dégâts des actions augmentés II","Les dégâts de base des actions sont augmentés de 20%.",6003,31,40,false,0,0,20,96
295,"Feu rapide amélioré","L'effet de Feu rapide dure le temps de trois techniques d'arme.",6007,31,44,false,0,0,1,96
296,"Flambée améliorée","La quantité de dégâts cumulés à chaque attaque monte à 25%.",6008,31,48,false,0,0,0,96
297,"Esprit amélioré","L'esprit est augmenté de 2 points.",5150,33,8,false,0,0,2,99
298,"Esprit amélioré II","L'esprit est augmenté de 4 points.",5151,33,14,false,0,0,4,99
299,"Vitesse de la lumière améliorée","La pénalité de puissance des sorts offensifs est réduite à 25%.",6101,33,16,false,0,0,0,99
300,"Efficacité des actions augmentée","Les soins et les dégâts de base des actions sont augmentés de 10%.",6102,33,32,false,0,0,10,99
301,"Esprit amélioré III","L'esprit est augmenté de 6 points.",5152,33,24,false,0,0,6,99
302,"Ascendant amélioré","Ascendant peut être lancé en combat.",6104,33,20,false,0,0,0,99
303,"Bienfaisance améliorée","Accorde 15% de chances lors du lancement de Bienfaisance que la prochaine Bienfaisance II soit instantanée.\nDurée: 15s",6105,33,36,false,0,0,15,99
304,"Dignité essentielle améliorée","Le temps de recharge de Dignité essentielle est réduit à 40 secondes.",6106,33,28,false,0,0,0,99
305,"Efficacité des actions augmentée II","Les soins et les dégâts de base des actions sont augmentés de 30%.",6103,33,40,false,0,0,30,99
306,"Invalidation améliorée","La réduction de dégâts infligés d'Invalidation monte à 10%.",6107,33,44,false,0,0,0,99
307,"Éther luminifère améliorée","La puissance d'Éther luminifère monte à 80.",6108,33,48,false,0,0,0,99
308,"Entre les yeux amélioré","",0,0,0,true,4,260,0,96
309,"Entre les yeux amélioré II","",0,0,0,true,4,261,0,96
310,"Entre les yeux amélioré III","",0,0,0,true,4,262,10,96
311,"Pistolet étourdissant amélioré","",0,0,0,true,4,263,0,96
312,"Pistolet étourdissant amélioré II","",0,0,0,true,4,264,0,96
313,"Pistolet étourdissant amélioré III","",0,0,0,true,4,265,1,96
314,"Report amélioré","",0,0,0,true,4,266,0,96
315,"Report amélioré II","",0,0,0,true,4,267,15,96
316,"Rétrogradation améliorée","",0,0,0,true,4,268,0,99
317,"Rétrogradation améliorée II","",0,0,0,true,4,269,0,99
318,"Rétrogradation améliorée III","",0,0,0,true,4,270,50,99
319,"Mare de goudron améliorée","",0,0,0,true,4,271,0,98
320,"Mare de goudron améliorée II","",0,0,0,true,4,272,0,98
321,"Mare de goudron améliorée III","",0,0,0,true,4,273,20,98
322,"Froideur charnelle améliorée","",0,0,0,true,4,274,0,98
323,"Froideur charnelle améliorée II","",0,0,0,true,4,275,0,98
324,"Froideur charnelle améliorée III","",0,0,0,true,4,276,10,98
325,"Repoussée améliorée","",0,0,0,true,4,277,0,85
326,"Repoussée améliorée II","",0,0,0,true,4,278,0,85
327,"Repoussée améliorée III","",0,0,0,true,4,279,5,85
328,"Flétrissure améliorée II","",0,0,0,true,4,280,0,69
329,"Lacération glorieuse améliorée III","",0,0,0,true,4,281,5,38
330,"","",0,0,0,false,0,0,0,0
331,"","",0,0,0,false,0,0,0,0
332,"","",0,0,0,false,0,0,0,0
333,"","",0,0,0,false,0,0,0,0
334,"","",0,0,0,false,0,0,0,0
335,"","",0,0,0,false,0,0,0,0
336,"","",0,0,0,false,0,0,0,0
337,"","",0,0,0,false,0,0,0,0
338,"","",0,0,0,false,0,0,0,0
339,"","",0,0,0,false,0,0,0,0
340,"","",0,0,0,false,0,0,0,0
341,"","",0,0,0,false,0,0,0,0
342,"","",0,0,0,false,0,0,0,0
343,"","",0,0,0,false,0,0,0,0
344,"","",0,0,0,false,0,0,0,0
345,"","",0,0,0,false,0,0,0,0
346,"","",0,0,0,false,0,0,0,0
347,"","",0,0,0,false,0,0,0,0
348,"","",0,0,0,false,0,0,0,0
349,"","",0,0,0,false,0,0,0,0
350,"","",0,0,0,false,0,0,0,0
