#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
34,Nr. 1,Ohne Schwerkraft hoppelt man weiter,"Sehr verehrte Leserinnen und Leser, es ist mal wieder so weit: meine Wenigkeit, Reportingway, darf euch in allen Einzelheiten von den Malmensteinen unseres wunderbaren Raumfahrtprojekts berichten. Ich hoffe, die kommenden Berichte werden euch hier auf Oizys ebenso viel Freude beim Lesen bescheren wie ich beim Verfassen haben werde.

Unsere Bemühungen auf Phaenna haben galaktastisch große Früchte getragen, denn mit dem Stellaskop und den vereinten Kräften unseres Forschungsteams, sowie den Astronomen der Magieakademie konnten wir Oizys als nächstes Ziel der Kosmo-Erkundung ausmachen.
„Aber warum gerade dieser Planet?“, fragt ihr euch bestimmt. Ihr habt es sicher schon bemerkt, aber die sogenannten Gravitationsanomalien, die den ganzen Planeten heimzusuchen scheinen, waren selbst­verständ­lich ein äußerst wichtiger Aspekt in der Entscheidungsfindung. Viel wichtiger jedoch: Es war schon einmal jemand vor uns hier!
Anders als bei unserem vorherigen Vorstoß auf Phaenna sind wir diesmal also einer alten Zivilisation auf den Spuren. Ich sage nur: Ausgrabungen, Abenteuer und vielleicht sogar Außerætherische ... Da schlackert ihr mit den Löffeln, nicht wahr?

Für unsere Stationsbasis „Terra Firma“ haben wir die größte Struktur des Planeten wiederverwendet. Und zwar aus dem Grund, dass sie von der Verwüstung der Planetenoberfläche durch die lokalen Schwerkraftdiskrepanzen weitgehend verschont geblieben zu sein scheint. Die Gefahr bleibt unser ständiger Begleiter, doch mit der Unterstützung von euch allen, den tapferen Projektteilnehmern, sollten wir im Nu eine funktionstüchtige Infrastruktur auf die Wege bringen können."
35,Nr. 2,Habitation ist des kleinen Mannes Lohn,"Die ersten Hopser sind getan und wir konnten Habitationsmodule für alle hart rackernden Helferlein errichten. Mitsamt Duschen, wohlgemerkt. Ich hoffe, ihr habt nach einem harten Tag noch genügend Kraft, euch unter eure zu stellen. Zum Wohle der gesamten Erkundung ...
Bisher haben wir uns für Bauten immer die natürliche Beschaffenheit der Erkundungsareale zunutze gemacht, diesmal hatten wir allerdings mit jeder Menge schwebendem Geröll zu kämpfen. Gerade vor dem Hintergrund der fluktuierenden Gravitationsanomalien birgt das ein enormes Sicherheitsrisiko, dem wir niemanden aussetzen wollten.

Nichtsdestotrotz konnten wir wissenschaftlichen Nutzen aus den Räumungsarbeiten ziehen. Position, Gewicht und anderweitig interessante Daten der Schwebebrocken wurden allesamt aufgezeichnet und werden im Laufe der Erkundung sicherlich noch zu tragen kommen.
Natürlich ist jedes Habitationsmodul mit einer eigenen Schwerkraftkontrolleinheit ausgestattet, sodass ihr alle ganz beruhigt vor euch hindösen könnt. Gravitationsanomalien werden euch nicht aus der wohlverdienten Heia reißen, versprochen."
36,Nr. 3,"Zapp, zapp, zapp dich durch die Weiten!","Auch auf Oizys darf unser allseits beliebter Kosmozapper natürlich nicht fehlen. Den Anfang macht das weitläufige Areal in und um die Megalithopolis, wobei ich betonen möchte, wie unglaublich schnell und effizient die Arbeiten diesmal vonstattengingen. Unsere bisherigen Erfahrungen auf dem Mond und Phaenna haben uns dies ermöglicht.

Zudem darf ich verkünden, dass der Kosmozapper nun noch viel zappender ist!
Viele von euch wissen sicher, dass das Zapperbrett sich auf einer Straße aus gefestigtem Äther bewegt, welche zwei Stationen verbindet. Bisher war es dabei wichtig, die Koordinaten beider Ankerpunkte stets gleich zu halten.
Auf einem Planeten mit solch kruder Schwerkraft wie Oizys ist das allerdings ganz und gar nicht praktikabel. Hier bewegt, dreht und wendet sich alles ganz nach Belieben. Und darum kommt der Kosmozapper jetzt auch mit gewissen Abweichungen in der Positionierung seiner Stationen zurecht.

Ich bin schon gespannt, inwiefern uns diese Technologie auf unserer Erkundung zugutekommen wird. Springt aufs Brett und erkundet den Kosmos, meine fleißige Leserschaft! "
37,Nr. 4,Alles klar mit der Infra,"Auch auf Oizys haben wir nun Energisierungs- und Hydrofizierungswerke!

Wenn Anziehungskraft und Abstoßungskraft sich stetig streiten, weint nicht nur der Planet, sondern auch die Infrastruktur der Kosmo-Erkundung.
Und als ihre „Eltern“ ist es die Aufgabe von uns Projektteilnehmern, unsere technischen Wunderwerke zu beschützen. Auf Oizys nutzen wir dafür die Magie Gravitas, um unsere Wassertanks und Stromgeneratoren vor dem Einfluss von Gravitationsanomalien zu wahren.

Hoffentlich müssen wir also nicht eines Tages auf Wassersuche gehen, weil unser Hydrofizierungswerk plötzlich mehrere hundert Malmen über uns schwebt."
38,Nr. 5,"Nicht gaffen, Schwerkraft erschaffen!","Erbaut auf dem Losen Anker als Fundament, ebnet uns der sogenannte „Gravikreator“ nun den Weg zu der Schattenflotte - jener fliegenden Insel, die bisher unerreichbar schien.
Diese wahrlich galaktastische Erfindung sendet einen anhaltenden Strahl aus Gravitas-Magie aus, dessen Anziehungskraft schwebendes Gestein in der Nähe entlang der Linearen ansammelt und so eine Art Brücke erschafft.

Ursprünglich soll die Schwebeflotte Teil der Planetenoberfläche gewesen sein, bis sie von einer Gravisphäre an ihre jetzige Position gezogen wurde. Wir dürfen also gespannt bleiben, was für wundervolle Geheimnisse und Mineralien sie für die Erkundung wohl bereithalten wird ..."
39,Nr. 6,"Zapp, zapp, zapp dich in die Höhen!","Das Kosmozappernetz wurde bis hoch auf die Schattenflotte erweitert!

Die Brücke, die uns der Gravikreator erschaffen hat, ist leider nicht für den Transport von schwerem Gerät und anderer Ausrüstung geeignet - von den vielen Forschern mit Höhenangst, die sich beim Komitee beschwert haben, ganz zu schweigen.
Der Kosmozapper hingegen schafft da mit seiner ultrastabilen Zapperino 1000-Technologie Abhilfe. Allerdings bleibt auch weiterhin zu sehen, wie sich das Netz unter dem verstärkten Einfluss der Gravisphären verhält, der dort oben zu herrschen scheint.

In dem Sinne hoffen ich und der Rest des Projektkomitees auf ein fröhliches Herumzappen in luftigen Höhen!"
40,Nr. 7,Optimierung durch Renovierung,"Terra Firma wurde ordentlich durchrenoviert. Nicht zuletzt, um unsere gute Station für die kommende Restaurierung des großen Kristalls in ihrer Mitte, dem Euhedron, vorzubereiten.

Mehr als je zuvor ist Terra Firma jetzt der Knotenpunkt aller anderen Stationsstrukturen, wobei besonders die Anbindung zu den Energisierungswerken stark verbessert wurde.
Darüber hinaus wurden alle Schalter und sogar der Sternenhangar gleich mit überarbeitet. Hoffentlich erleichtert das allen ihre Arbeit ein wenig.

Als Nächstes wollen wir doch mal schauen, ob wir den Euhedron nicht irgendwie wieder aufgepäppelt bekommen ..."
41,Nr. 8,Kristall hat Aua,"Mit viel Mühe konnten wir dem Euhedron zu einem Teil seines alten Schimmers zurück verhelfen!

Unser Forschungsteam ist sich sicher, dass der Kristall eine Art Datenträger darstellt, der ursprünglich schwebte und aufgrund eines plötzlichen, durch Gravitationsanomalien verursachten Absturzes schwer beschädigt worden ist.
Bis zu seiner vollständigen Wiederherstellung werden wir ihn mit einem Gerüst stützen müssen, um ihn funktionsfähig zu halten.

Inmitten all der vielen Strukturerweiterungen der letzten Zeit haben uns außerdem einige Stimmen erreicht, die sich um die Sicherheit der Habitationsmodule gesorgt haben. Darum haben wir sogenannte Antiabnorm-Platten entwickelt und an den entsprechenden Stellen angebracht. Mit denen haben Gravitationsanomalien keine Chance mehr!"
42,Nr. 9,Mehr Kosmo für das Port(emonnaie),"Der Kosmoport konnte um einige galaktastische Funktionen erweitert werden!

Auch diesmal konnten wir die Stromzufuhr von den Energisierungswerken hochfahren, wodurch das Raumschiff ruckzuck geladen und bereit für Reisen durchs All ist. Aber nicht nur das: Die Antiabnorm-Platten konnten ebenfalls verbaut werden, was Start- und Landemanöver deutlich vereinfacht. Kapitänin Cruisingway wird das sicher freuen!
Zu guter Letzt wurden Leitlinien gezogen, welche die optimalen Routen von unseren Stationsstrukturen zum Raumschiff markieren.

Ihr, meine aufgeweckte Leserschaft, fragt euch sicher, warum diese Änderung erst jetzt durchgeführt wurde. Meine Antwort lautet: Gravisphären. Nur eine leichte Überladung des Raumschiffes hätte seine letzte Lieferung überhaupt bedeutet. Doch dank unserer neuen Antiabnorm-Platten gehört diese Sorge nun ebenfalls der Ver­gangen­heit an. Hoppeltastisch!

Und wo ich gerade von Gravisphären schreibe, fallen mir noch die folgenden Beobachtungen ein, die das Komitee jüngst erreicht haben: Am Rand des Einflussgebiets unseres verlässlichen Zentralkristalls soll Bewegung in den Erdplatten verzeichnet worden sein. Stehen wir vielleicht kurz vor etwas Großem ...?"
43,Nr. 10,Verausgabung durch Ausgrabung,"Gelobt seien die Gravisphären, denn ihre schwerwiegenden Kräfte haben tatsächlich Ruinenüberreste im Tiefgrünen Echo offenbart. Und dank unserer rauhändigen Geröllschlepperinnen und -schleppern konnten wir sogar einen Eingang freilegen!

Namingway fühlte sich bei der Vorstellung von einem Loch in der Erde voller Schätze aus irgendeinem Grund an Wüstenmäuse erinnert, weswegen er der unterirdischen Stätte prompt den Namen „Wüstenbau“ gab.
Ich weiß ja nicht, wie es euch geht, verehrte Leserinnen und Leser, aber meine Löffel vernehmen Geschichtsträchtiges hinter seinen Pforten.

Jetzt wird es ernst, so langsam macht die Erkundung gewaltige Hopser auf den Spuren der Gegangenen. Darum hat sich das Komitee nicht lumpen lassen und das Kosmozappernetz bis zur Fundstätte erweitert. Lasst euch von eurem Entdeckerdrang leiten!"
44,Nr. 11,"Wüstenbau, öffne dich ...","Es ist uns gelungen! Die Pforte zum Wüstenbau konnte geöffnet werden!
Das seltsame Muster auf ihr begann zu glänzen, fast als würde die Ruine uns in ihrem Inneren willkommen heißen.
All die vielen Unter­such­ungen, die uns bis hierher geführt haben, lehren uns eine wichtige Tatsache über die Technologie der Gegangenen: Ihre kristallenen Apparaturen und Mechanismen lassen sich in Bewegung setzen, indem man hochkonzentrierten Äther durch sie fließen lässt.

Der eigentliche Vorstoß ins Ruineninnere steht uns zwar noch bevor, gut ausgeleuchtet ist es aber schon mal. Ein kleiner Spaziergang sollte also in Ordnung gehen.
Einige wissbegierige Forscher waren auch schon mutig genug und haben genau das getan. Dabei haben sie zahlreiche weitere Kristalle entdeckt. Der etablierten Logik folgend sollte ihre Reaktivierung uns immer tiefer in die Geheimnisse der Gegangenen einführen ..."
45,Nr. 12,Der Stein der Weisung,"Wir konnten den Weisungsstein im Ruineninneren aktivieren!

Von einem auf den anderen Moment schien die ganze Struktur des Wüstenbaus ein Ruck zu durchfahren. Überall fing es an zu glühen und leuchten, als wollte man sich bei uns für unsere Mühen bedanken. Es brennt mir immer mehr unter den Pfoten, endlich herauszufinden, zu welchem Zweck die Gegangenen die Stätte zu ihrer Zeit errichtet hatten.

Den Schlüssel zur Lösung dieses Mysteriums dürften wir in dem großen Kristall im tiefsten Inneren des Baus finden. So ähnlich wie er dem Euhedron ist, kann davon ausgegangen werden, dass ihm wichtige Informationen innewohnen.
Es wird also mal wieder Zeit für eine ordentliche Kristallputzkur, liebe Leserinnen und Leser!"
46,Nr. 13,"Metahedron, du bist dran!","Zum Abschluss unserer Arbeiten in der Ruine des Wüstenbaus haben wir nun auch den Metahedron restauriert! Das sanft-saftige Grün, in dem er schimmert, bringt wahrlich Frieden in die Herzen seiner Betrachter. Ich zumindest fühle mich direkt an die Blätter meiner Lieblingskarotten erinnert.

Die Analysen unserer Forscher haben ergeben, dass der Metahedron sich aus dem gleichen Mineral wie zum Beispiel der deutlich kleinere Weisungsstein zusammensetzt, allerdings in vielfach konzentrierterer Form. Vielleicht wirkt das Grün deshalb so viel gesättigter und ... schmackhafter. Für einen ungestörten Ätherfluss ist der Reinheitsgrad des Leiters jedenfalls ziemlich wichtig, wie wir wissen.

Viel interessanter jedoch: Metahedron und Euhedron scheinen auf einer ähnlichen Wellenlänge zu kommunizieren. Was das wohl bedeuten könnte ...?"
47,Nr. 14,"Zapp, zapp, zapp dich durch die Stätte!","Mit dem Abschluss der Ausgrabungsarbeiten im Wüstenbau konnten wir das Kosmozappernetz jetzt auch um einen Radius im Ruineninneren erweitern!

Sowohl der Weisungsstein als auch der Metahedron brauchen regelmäßige Energiezufuhr in Form von Ätherladungen durch Oizys-Jaspis, um sie und somit das gesamte Ruineninnere am Laufen zu halten. Und auf einem Zapperbrett sollte das deutlich schneller von der Pfote gehen, will ich meinen.
Außerdem: Erinnert ihr euch noch, was ich über die Straße aus gefestigtem Äther geschrieben habe, die sich zwischen zwei Zapperstationen erstreckt? Eben diese Straße kann nun ebenfalls als eine Verbindung zwischen Metahedron und Euhedron dienen - zumindest hat man mir das so zugesteckt.

Mit dieser Erweiterung ist das Kosmozappernetz auf Oizys vollständig. Unsere Arbeit ist aber noch lange nicht getan. Schwingen wir uns auf die Bretter und lösen die letzten verbleibenden Mysterien des Planeten!"
48,Nr. 15,Renoviert und kernstabilisiert,"Unsere jüngst renovierte Stationsbasis Terra Firma hat obendrauf noch eine Kernstabilisierung spendiert bekommen. Somit steht weiteren Ausbauten nichts mehr im Weg!

Dabei möchte ich betonen, dass Nachhaltigkeit in der Kosmo-Erkundung großgeschrieben wird. Alle Strukturen, welche wir hier auf Oizys errichtet haben, verwenden eine Bauweise, die einen spurlosen Abbau ermöglicht. Sollte also der Tag unseres endgültigen Abschieds irgendwann kommen, werden wir nichts hinterlassen, was das Ökosystem des Planeten auf irgendeine Weise schädigen oder verändern könnte.
Selbstverständlich erfordert so eine Bauweise einiges an Grips in der Rübe. Doch dank euch, liebe Leserinnen und Leser, ist es uns auch diesmal wieder gelungen!

So kernstabilisiert wie Terra Firma jetzt ist, wollen wir uns als Nächstes um die Errichtung einer „Datenempfangsapparatur“ auf dem Dach kümmern. Damit werden wir endlich die Datensätze aus dem Metahedron empfangen und in den Euhedron einspeisen können.
Und wer die Aussicht genießen will, kann übrigens den mit eingebauten Aufzug nutzen, um auf das Dach zu gelangen. Das Projektkomitee lässt grüßen!"
49,Nr. 16,Guter Empfang,"Die lang ersehnte Datenempfangsapparatur steht und markiert die letzte Erweiterung der Kosmo-Erkundung hier auf Oizys!

Namingway hat der aufrecht stehenden Stationsstruktur den passenden Namen „Orthostat-Türme“ gegeben. Mit ihnen sollte sich das Resonanzverhalten der beiden Kristalle Metahedron und Euhedron nutzen lassen, um die Datensätze des Ersteren in den Letzteren einzuspeisen. Genau diese Daten fehlten uns nämlich, um ihn wieder vollständig funktionstüchtig zu machen und an die wertvollen Informationen in seinem Inneren zu gelangen.

Nun sind wir also wirklich nur noch einen kleinen Hopser von der Wahrheit hinter den Gegangenen entfernt. Vertrauen wir auf das Können unserer Forscherkollegen und hoffen auf ein Gelingen!"
50,Nr. 17,Wohin die Gegangenen gingen,"Sehr verehrte Leserinnen und Leser, es war mir auch dieses Mal wieder eine Freude, unser gemeinsames Abenteuer in Schriftform zu verewigen.
Wer hätte bei unserem Aufbruch von Phaenna gedacht, dass wir am Ende unseres Vorstoßes hier auf Oizys vor der Sternenkarte einer unbekannten Zivilisation stehen würden? Unsere Forscher definitiv nicht, so aufgeregt wie sie seit ihrer Entdeckung durch die Station hoppeln. Die Vor­bereitungen für unser nächstes Abenteuer laufen bereits auf Hochtouren, die *Galacticway* wird schon bald startbereit gemacht.

Was haben die Gegangenen auf ihrer Reise durch die Weiten des Alls für uns hinterlassen? Und wo hat es sie hingeführt?
Fragen, welche zu beantworten die nächste große Mission der Kosmo-Erkundung sein wird. Ich hoffe, ihr bleibt mir bis dahin treu und blickt voller Tatendrang einer galaktastischen Zukunft entgegen!"
