#,SourceMap,Level,TargetMap,Unknown0,Unknown1
336.1,282,519,0,255,False
337.0,53,6445302,313,255,True
337.1,313,1113,0,255,False
338.0,5,6487393,340,255,True
338.1,340,1114,0,255,False
339.0,213,5860265,312,255,True
339.1,312,578,0,255,False
340.0,214,6594862,352,255,True
340.1,352,617,0,255,False
341.0,212,5857218,226,255,True
341.1,226,5857159,256,255,False
341.2,256,432,0,255,False
342.0,215,5861483,235,255,True
342.1,235,436,0,255,False
343.0,212,5921850,404,255,True
343.1,404,446,0,255,False
344.0,215,5921843,407,255,True
344.1,407,447,0,255,False
345.0,216,6215522,283,255,True
345.1,283,517,0,255,False
346.0,218,6358259,307,255,True
346.1,307,6349133,304,255,False
346.2,304,559,0,255,False
347.0,214,6211082,307,255,True
347.1,307,569,0,255,False
348.0,216,6215522,334,255,True
348.1,334,576,0,255,False
349.0,216,6211051,261,255,True
349.1,261,507,0,255,False
350.0,216,6211051,261,255,True
350.1,261,5941509,353,255,False
350.2,353,637,0,255,False
351.0,216,6215522,353,255,True
351.1,353,637,0,255,False
352.0,213,5910294,237,255,True
352.1,237,442,0,255,False
353.0,213,5910294,255,255,True
353.1,255,443,0,255,False
354.0,213,5910294,239,255,True
354.1,239,444,0,255,False
355.0,213,5910294,240,255,True
355.1,240,445,0,255,False
356.0,213,6199986,286,255,True
356.1,286,520,0,255,False
357.0,213,6199986,288,255,True
357.1,288,521,0,255,False
358.0,213,6199986,289,255,True
358.1,289,522,0,255,False
359.0,213,6199986,290,255,True
359.1,290,523,0,255,False
360.0,213,6445802,327,255,True
360.1,327,580,0,255,False
361.0,213,6445802,329,255,True
361.1,329,581,0,255,False
362.0,213,6445802,331,255,True
362.1,331,582,0,255,False
363.0,213,6445802,332,255,True
363.1,332,583,0,255,False
363.2,331,6493890,332,255,False
364.0,213,5909529,260,255,True
364.1,260,505,0,255,False
365.0,213,6199985,291,255,True
365.1,291,553,0,255,False
366.0,213,6445974,331,255,True
366.1,331,588,0,255,False
367.0,371,6957918,336,255,True
367.1,336,616,0,255,False
368.0,366,7004632,363,255,True
368.1,363,663,0,255,False
369.0,370,7005056,361,255,True
369.1,361,662,0,255,False
370.0,216,5937404,443,255,True
370.1,443,743,0,255,False
371.0,213,6082734,482,255,True
371.1,482,788,0,255,False
372.0,370,7691982,489,255,True
372.1,489,806,0,255,False
373.0,369,7722044,518,255,True
373.1,518,7738716,500,255,False
373.2,500,1174,0,255,False
374.0,354,7603507,480,255,True
374.1,480,1173,0,255,False
375.0,354,7182490,463,255,True
375.1,463,759,0,255,False
376.0,371,6840275,400,255,True
376.1,400,674,0,255,False
377.0,354,7343497,479,255,True
377.1,479,7397335,476,255,False
377.2,476,778,0,255,False
378.0,369,7074916,415,255,True
378.1,415,1172,0,255,False
379.0,5,5035505,180,255,True
379.1,180,393,0,255,False
380.0,25,9287621,766,255,True
380.1,766,1061,0,255,False
381.0,213,6445974,341,255,True
381.1,341,588,0,255,False
382.0,212,5921850,256,255,True
382.1,256,432,0,255,False
383.0,24,9168823,764,255,True
383.1,764,9164247,80,255,False
383.2,80,212,0,255,False
384.0,25,9164090,766,255,True
384.1,766,10083516,890,255,False
384.2,890,1182,0,255,False
385.0,25,9164090,766,255,True
385.1,766,10083514,890,255,False
385.2,890,1178,0,255,False
386.0,354,6790188,378,255,True
386.1,378,681,0,255,False
387.0,70,4077455,196,255,True
387.1,196,10215939,891,255,False
387.2,891,1197,0,255,False
387.3,197,5584191,196,255,False
388.0,696,8866629,694,255,True
388.1,694,963,0,255,False
389.0,698,10160207,842,255,True
389.1,842,10110229,864,255,False
389.2,864,1184,0,255,False
390.0,698,10160207,842,255,True
390.1,842,10110229,864,255,False
390.2,864,10110405,0,255,False
391.0,698,10160207,842,255,True
391.1,842,10110229,864,255,False
391.2,864,10110421,0,3,False
391.3,894,10110483,0,4,False
391.4,894,1168,0,255,False
392.0,698,10160207,842,255,True
392.1,842,1162,0,255,False
392.2,894,10113386,842,255,False
392.3,864,10110421,842,255,False
393.0,698,10160207,842,255,True
393.1,842,10110229,864,255,False
393.2,864,10110405,894,255,False
393.3,894,1181,0,255,False
394.0,698,10160207,842,255,True
394.1,842,10110212,865,255,False
394.2,865,1164,0,255,False
395.0,693,10312218,933,255,True
395.1,933,1206,0,255,False
396.0,693,10312219,933,255,True
396.1,933,10339912,855,255,False
396.2,855,1185,0,255,False
397.0,855,10312697,858,255,True
397.1,858,1188,0,255,False
398.0,855,10261501,857,255,True
398.1,857,1187,0,255,False
399.0,855,10314690,898,255,True
399.1,898,1167,0,255,False
400.0,855,10314680,858,255,True
400.1,858,1188,0,255,False
401.0,855,10270393,858,255,True
401.1,858,1188,0,255,False
402.0,857,10284570,904,255,True
402.1,904,1193,0,255,False
403.0,857,10285011,925,255,True
403.1,925,1195,0,255,False
404.0,855,10306278,859,255,True
404.1,859,1189,0,255,False
405.0,859,10321547,916,255,True
405.1,916,1194,0,255,False
406.0,859,10321540,855,255,True
406.1,855,1185,0,255,False
407.0,855,10465666,860,255,True
407.1,860,1190,0,255,False
408.0,855,10602750,931,255,True
408.1,931,1170,0,255,False
409.0,860,10441342,931,255,True
409.1,931,1170,0,255,False
410.0,855,10457843,931,255,True
410.1,931,1170,0,255,False
411.0,855,10457888,860,255,True
411.1,860,1190,0,255,False
412.0,860,10444718,935,255,True
412.1,935,1219,0,255,False
413.0,860,10771771,935,255,True
413.1,935,10497638,899,255,False
413.2,899,1198,0,255,False
414.0,860,10771771,935,255,True
414.1,935,10497594,861,255,False
414.2,861,1191,0,255,False
415.0,861,10516700,932,255,True
415.1,932,1171,0,255,False
416.0,861,10416038,932,255,True
416.1,932,1171,0,255,False
417.0,861,10412983,856,255,True
417.1,856,1186,0,255,False
418.0,856,10414065,934,255,True
418.1,934,1207,0,255,False
418.2,1023,11543785,934,255,False
419.0,861,10415384,856,255,True
419.1,856,1186,0,255,False
420.0,861,10573924,909,255,True
420.1,909,1208,0,255,False
421.0,861,10416084,929,255,True
421.1,929,1220,0,255,False
422.0,861,10416084,0,1,True
422.1,929,10574233,0,2,False
422.2,929,1200,0,255,False
423.0,859,10392694,936,255,True
423.1,936,1222,0,255,False
424.0,859,10392693,936,255,True
424.1,936,1222,0,255,False
425.0,859,10392693,936,255,True
425.1,936,10392735,862,255,False
425.2,862,1192,0,255,False
426.0,859,10392693,936,255,True
426.1,936,10392754,862,255,False
426.2,862,1192,0,255,False
427.0,862,10406999,914,255,True
427.1,914,1199,0,255,False
428.0,862,10406993,928,255,True
428.1,928,1221,0,255,False
429.0,862,10406993,0,1,True
429.1,928,10601213,0,2,False
429.2,928,1202,0,255,False
430.0,862,10406993,928,255,True
430.1,928,10601214,855,255,False
430.2,855,1185,0,255,False
431.0,693,10312219,855,255,True
431.1,855,1185,0,255,False
432.0,860,10791566,901,255,True
432.1,901,1203,0,255,False
433.0,862,10791645,930,255,True
433.1,930,1204,0,255,False
434.0,693,10312219,933,255,True
434.1,933,1206,0,255,False
435.0,491,7937220,496,255,True
435.1,496,818,0,255,False
436.0,695,8959190,699,255,True
436.1,699,960,0,255,False
437.0,695,8953970,699,255,True
437.1,699,960,0,255,False
438.0,856,10438629,938,255,True
438.1,938,1224,0,255,False
439.0,856,10439111,938,255,True
439.1,938,1224,0,255,False
440.0,856,10439111,938,255,True
440.1,938,10439421,927,255,False
440.2,927,1225,0,255,False
441.0,856,10439111,938,255,True
441.1,938,10439421,923,255,False
441.2,923,1227,0,255,False
442.0,856,10439111,938,255,True
442.1,938,10439421,926,255,False
442.2,926,1229,0,255,False
443.0,856,10439111,938,255,True
443.1,938,10439421,924,255,False
443.2,924,1231,0,255,False
444.0,491,7950487,496,255,True
444.1,496,818,0,255,False
445.0,5,6829355,367,255,True
445.1,367,612,0,255,False
446.0,3,10966814,956,255,True
446.1,956,1247,0,255,False
447.0,3,10974732,956,255,True
447.1,956,1253,0,255,False
448.0,3,10966812,956,255,True
448.1,956,1253,0,255,False
449.0,861,11107555,945,255,True
449.1,945,1242,0,255,False
450.0,861,11107551,973,255,True
450.1,973,1254,0,255,False
451.0,859,10967807,951,255,True
451.1,951,1248,0,255,False
452.0,859,10967804,955,255,True
452.1,955,1264,0,255,False
453.0,859,10967805,955,255,True
453.1,955,1265,0,255,False
454.0,14,10953483,957,255,True
454.1,957,1255,0,255,False
455.0,861,11488542,1028,255,True
455.1,1028,1254,0,255,False
456.0,855,11537134,1025,255,True
456.1,1025,11505102,967,255,False
456.2,967,1252,0,255,False
456.3,1025,11745764,967,255,False
457.0,856,10438993,937,255,True
457.1,937,1223,0,255,False
458.0,856,10439111,938,255,True
458.1,938,10439421,992,255,False
458.2,992,1256,0,255,False
459.0,856,10439111,938,255,True
459.1,938,10439421,991,255,False
459.2,991,1258,0,255,False
460.0,856,11532013,1000,255,True
460.1,1000,1276,0,255,False
461.0,856,11532013,1000,1,True
461.1,1000,11555160,0,2,False
461.2,1002,1260,0,255,False
462.0,856,11532013,937,255,True
462.1,937,1223,0,255,False
462.2,1000,11555114,937,255,False
463.0,856,10439111,938,255,True
463.1,938,10439421,993,255,False
463.2,993,1262,0,255,False
464.0,698,11513889,1031,255,True
464.1,1031,1237,0,255,False
465.0,856,10414065,934,255,True
465.1,934,11730363,1023,255,False
465.2,1023,1268,0,255,False
466.0,856,10414065,934,255,True
466.1,934,11546130,1023,255,False
466.2,1023,1268,0,255,False
467.0,856,11555170,1030,255,True
467.1,1030,1275,0,255,False
468.0,856,11555170,1024,255,True
468.1,1024,1274,0,255,False
468.2,1030,11556921,1024,255,False
469.0,856,11555207,999,255,True
469.1,999,1266,0,255,False
470.0,856,11555170,0,1,True
470.1,1030,11556915,0,2,False
470.2,1030,1270,0,255,False
471.0,855,11537116,1026,255,True
471.1,1026,1277,0,255,False
472.0,855,11537116,1026,255,True
472.1,1026,11551705,1025,255,False
472.2,1025,1269,0,255,False
473.0,855,11537126,1025,255,True
473.1,1025,1269,0,255,False
474.0,855,11537134,1025,255,True
474.1,1025,1278,0,255,False
475.0,698,11513798,1004,255,True
475.1,1004,1237,0,255,False
476.0,855,11537111,1026,255,True
476.1,1026,1277,0,255,False
477.0,3,11676295,1061,255,True
477.1,1061,1298,0,255,False
478.0,859,10967805,955,255,True
478.1,955,11826562,1043,255,False
478.2,1043,1304,0,255,False
479.0,857,11859456,1054,255,True
479.1,1054,1297,0,255,False
480.0,3,11834905,956,255,True
480.1,956,1309,0,255,False
481.0,3,11857532,1088,255,True
481.1,1088,1305,0,255,False
481.2,1089,12059094,1088,255,False
481.3,1090,12059096,1088,255,False
482.0,856,11875015,1062,255,True
482.1,1062,1299,0,255,False
483.0,860,11854279,1064,255,True
483.1,1064,1301,0,255,False
484.0,860,11854279,1064,255,True
484.1,1064,11860892,1063,255,False
484.2,1063,1300,0,255,False
485.0,862,11860629,1045,255,True
485.1,1045,1312,0,255,False
486.0,862,11860629,0,1,True
486.1,1045,11941516,0,2,False
486.2,1045,1295,0,255,False
487.0,862,1192,0,255,True
487.1,1045,11860904,862,255,False
488.0,862,11860628,1058,255,True
488.1,1058,1292,0,255,False
489.0,3,11857532,1088,255,True
489.1,1088,12058965,1089,255,False
489.2,1089,1305,0,255,False
489.3,1090,12059096,1088,255,False
490.0,3,11857532,1088,255,True
490.1,1088,12059095,1090,255,False
490.2,1089,12059094,1088,255,False
490.3,1090,1305,0,255,False
491.0,856,11962286,1062,255,True
491.1,1062,1299,0,255,False
492.0,698,11513889,1031,255,True
492.1,1031,11905026,1066,255,False
492.2,1066,1291,0,255,False
493.0,698,11513889,1086,255,True
493.1,1086,1291,0,255,False
494.0,862,12115364,1123,255,True
494.1,1123,1334,0,255,False
495.0,862,12115364,1123,255,True
495.1,1123,12104171,1122,255,False
495.2,1122,1332,0,255,False
496.0,698,11513889,1031,255,True
496.1,1031,1237,0,255,False
497.0,3,12190258,0,255,True
497.1,0,1336,0,255,False
498.0,862,12115364,1123,255,True
498.1,1123,12104171,1122,255,False
498.2,1122,12106956,1125,255,False
498.3,1125,1338,0,255,False
499.0,862,12115364,1123,255,True
499.1,1123,12104171,1122,255,False
499.2,1122,12106956,1125,255,False
499.3,1125,12104004,1100,255,False
499.4,1100,1307,0,255,False
500.0,862,12115364,1123,255,True
500.1,1123,12104170,1097,255,False
500.2,1097,1314,0,255,False
501.0,0,0,0,0,False
501.1,0,0,0,0,False
502.0,856,12248418,1137,255,True
502.1,1137,1344,0,255,False
503.0,856,10439111,938,255,True
503.1,938,10439421,1099,255,False
503.2,1099,1320,0,255,False
504.0,856,10439111,938,255,True
504.1,938,10439421,1112,255,False
504.2,1112,1322,0,255,False
505.0,856,10439111,938,255,True
505.1,938,10439421,1113,255,False
505.2,1113,1324,0,255,False
506.0,856,10439111,938,255,True
506.1,938,10439421,1168,255,False
506.2,1168,1326,0,255,False
507.0,862,12104166,1123,255,True
507.1,1123,1334,0,255,False
508.0,862,12115364,1123,255,True
508.1,1123,12102534,1122,255,False
508.2,1122,1332,0,255,False
509.0,0,0,0,0,False
509.1,0,0,0,0,False
510.0,698,11513889,1160,255,True
510.1,1160,1310,0,255,False
511.0,698,11513889,1031,255,True
511.1,1031,11905026,1086,255,False
511.2,1086,11905086,1139,255,False
511.3,1139,1310,0,255,False
