#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
46,Die Zuflucht der Berge,"Dieser heilige Ort bildet das Gegenstück zur Zuflucht des Wanderers im südlichen Kreszentia und wurde ebenfalls im Namen Oschons errichtet. Eine praktisch identische Stätte findet sich auch in den Gebirgen von Vylbrand, zu der viele Gläubige unter dem Geleitschutz von Abenteurern Pilgerreisen unternehmen. Untersuchungen haben ergeben, dass das Bauwerk auf Kreszentia später als jenes in La Noscea errichtet wurde, auch wenn es aufgrund des verzerrten Umgebungsäthers deutlich stärker unter Wind und Wetter gelitten zu haben scheint und bisher wohl nie ausgebessert wurde.",619,70639,12631762,2,1
47,Der Sphärenpalast,"Die bewusste Platzierung der zahlreichen Kugeln in diesem Bauwerk verleihen ihm eine besondere, heilige Ausstrahlung. Archivs Erzählungen zufolge existierte in der Fünften Ära des Lichts ein eher unscheinbares Reich, dessen Bewohner spezielle Versiegelungstechniken basierend auf Zeitmagie beherrschten und für deren Anwendung kugelförmige Äthergramme verwendeten. Nach aktuellem Wissen blieb dieses Reich bis zum Ende des Krieges der Magi bestehen, wonach es schrittweise den Kontakt mit den anderen Städten unterbrach und letztlich spurlos verschwand. Es kann somit nicht ausgeschlossen werden, dass die Überreste dieser Zivilisation auch heute noch an einem unbekannten Ort darauf warten, wiederentdeckt zu werden.",620,70640,12631763,2,1
48,Rubrum-Drache,"Bei diesem Drachen handelt es sich um einen sogenannten „Fleisch-Golem“, der ähnlich einer magischen Marionette kontrolliert wird. Es ist unklar, ob dieses Geschöpf bereits zu Lebzeiten über seinen jetzigen Giftatem verfügte, der seine Opfer in willenlose Untote verwandeln kann, oder ob sich nach seinem Tod entsprechende Flüche in seinem Körper eingenistet haben. Neben seinem Gift verfügt dieser Kadaver auch über eine besonders starke magische Barriere, die die Bestie frei um sich errichten kann. Dass ein solch gefährliches Wesen hier freigesetzt wurde, könnte ein Indiz dafür sein, dass der unnatürliche Zustand der Nordhälfte beabsichtigt ist.",621,70653,0,4,3
49,Das Verdorbene Viertel,"Allerlei faulige Fungi sprießen zwischen den Überresten dieser Stadt aus sämtlichen Ecken und Winkeln. Neben dem architektonischen Stil erinnert auch die allgemeine Atmosphäre an die Stadt Amdapor. In Eorzea wurde das enorme Pilzwachstum in den Ruinen bisher durch den in der Siebten Katastrophe geschwächten Erdäther des Finsterwalds erklärt. Da diese Katastrophe auf Kreszentia keinen Einfluss gehabt haben sollte, wird vermutet, dass, ähnlich wie beim Krieg der Magi, der Umgebungsäther derart stark beeinflusst wurde, dass eine Mutation des lokalen Ökosystems auf Dauer unausweichlich war.",622,70641,12631764,2,1
50,Alabaster-Klinge,"In der Fünften Ära des Lichts wurde in Amdapor eine große Anzahl steinerner Soldaten erschaffen, die sowohl zum Schutz der Stadt als auch für Feldzüge eingesetzt wurden. Je nach Baujahr und Fähigkeiten wurde diesen Soldaten bei ihrer Aktivierung ein entsprechender Rang zugewiesen, wobei nur wenige je den höchsten erhielten. Die auf Kreszentia entdeckte Alabaster-Klinge ist einer dieser wenigen hochrangigen Soldaten und somit in der Lage, sich auch allein gegen ganze Armeen von Angreifern zu behaupten. Hergestellt kurz vor dem Ende des Krieges der Magi, wurde seine ohnehin schon beeindruckende Schwertkunst mit der Magieklingen-Technik aus Karnak ergänzt, wodurch er seine Waffe magisch verstärken und eine wahre Lawine an Angriffen auf seine Gegner niederprasseln lassen kann.",623,70654,0,4,3
51,Der Schimmelblüten-Weiher,"Dieser mit moosartigen, weißen Pilzblüten gesäumte Weiher mag optisch zwar geradezu mystisch wirken, ist jedoch von überaus toxischen Sporen umgeben, die zu starken Atemproblemen führen können. Auffallend sind weiterhin die großen Turmspitzen einer versunkenen Kirche, die gerade noch aus dem Wasser herausragen. Es wird vermutet, dass es sich hierbei um eine Stätte zur Ehrung Nophicas handelte, die viele Bewohner Amdapors zu ihren Gläubigen zählte. Es kann wohl als Ironie des Schicksals bezeichnet werden, dass das Streben dieser Anhänger nach einem Leben in Harmonie und Frieden im Namen der Göttin der Fruchtbarkeit eine solch leblose Umgebung schaffen würde.",624,70642,12631765,2,1
52,Das Finsterflammen-Fischerdorf,"Diese in finsteres, violettes Flammenlicht gehüllte Siedlung erinnert an ein traditionelles Fischerdorf. Aufgrund der vielen Nichtswesen, die sich dort eingenistet haben, wird davon ausgegangen, dass es sich hierbei um eine Nachbildung von Mhach handelt, welches laut Archiv ursprünglich auch nur ein kleines Fischerdorf in Yafaem war. Eines Tages jedoch zogen die damaligen Bewohner ein antikes Artefakt aus dem Meer, welches einen mächtigen Dämon beherbergte, der sein Wissen mit ihnen teilte. Hiernach fokussierte sich das Dorf dann auf die Erforschung zerstörerischer Magien, was schlussendlich in der Entwicklung der Schwarzmagie durch die Magierin Shatotto mündete und Mhach zu einem gewaltigen Reich heranwachsen ließ.",625,70643,12631766,2,1
53,Calofisteri-Doppelgängerin,"In den Schriften zum Krieg der Magi wird häufig von Calofisteri, einer überaus mächtigen Magierin aus Mhach, berichtet. Sie erlernte von ihrem Großvater eine besondere Technik, mit der sie das Blut von Nichtswesen in sich einpflanzen und sich so in ein sogenanntes „Halbwesen“ verwandeln konnte. In dieser Form übernahm sie die Rolle der Wächterin des Nullsteins, mit dem sich jedes noch so mächtige Nichtswesen beim Bruch eines Pakts auslöschen ließ. Bei der auf Kreszentia gesichteten Doppelgängerin handelt es sich jedoch lediglich um einen von vielen willenlosen Klonen der Großmagierin, die künstlich aus ihren Genen erschaffen wurden. Ob der Herr der Insel die überlebenden Exemplare wohl persönlich auf die Insel gebracht hat?",626,70655,0,4,3
54,Die Nichtssphäre,"Dieser ungewöhnliche, in Dunkelheit gehüllte Hohlraum wurde tief unter dem Finsterflammen-Fischerdorf entdeckt. Sowohl der Raum selbst als auch die Pfade in ihm scheinen von den sich dort aufhaltenden, hochrangigen Nichtswesen beeinflusst worden zu sein und haben teilweise die Eigenschaften des Nichts angenommen. Für Nichtswesen kann eine „Sphäre“ entweder das eigene Revier oder einen speziellen Raum bezeichnen, der von mächtigen Exemplaren ihrer Art frei erschaffen werden kann. Letzteres ähnelt hierbei zwar klassischen magischen Barrieren, die genaue Funktionsweise konnte jedoch auch nach langjähriger Forschung nicht entschlüsselt werden.",627,70644,12631767,2,1
55,Zweiköpfige Avis,"Abgesehen von ihren zwei Köpfen weist diese Riesenschlange viele Ähnlichkeiten zu anderen fliegenden Schuppentieren wie der Sanuwa auf, weshalb möglicherweise eine Verwandtschaft zwischen ihnen bestehen könnte. Da beide Köpfe unterschiedliche Elementaraffinitäten besitzen, könnte diese Avis aus der Fusion zwei ursprünglich getrennter Wesen kreiert worden sein, ähnlich wie die Chimären und Minotauren, die einst von Allagischen Ingenieuren erschaffen worden sind. Somit liegt die Vermutung nahe, dass dieses Ungeheuer während des Krieges der Magi als eine Art Geheimwaffe entwickelt und eingesetzt wurde.",628,70656,0,4,3
56,Schwerttänzer,"Dieses alte Familiar, das im Turm der Magie entdeckt wurde, kombiniert Schwertkunst mit Tanzschritten, um seine unzähligen Schwerter mit fließenden Bewegungen präzise zu kontrollieren. Sowohl im Kampf als auch beim Tanz ist gute Körperbeherrschung die Grundlage, auf der komplexere Techniken aufbauen. Somit haben sich seit jeher die Meister beider Disziplinen untereinander ausgetauscht und diese so weiterentwickelt. In den Bewegungen des Schwerttänzers lassen sich vor allem Ähnlichkeiten zum Kriegstanz des Nahen Ostens erkennen, wobei unbekannt ist, auf welche Weise dieser bis in die heutige Zeit weitergereicht wurde.",629,70657,0,4,3
57,Nekrophobia,"Angefangen beim Allagischen Kaiserreich gab es im Laufe der Geschichte unzählige Experimente und Forschungen zur Unsterblichkeit. Auch während der Fünften Ära des Lichtes wurden allerlei Versuche durchgeführt, die wohl größtenteils auf Heilmagie und Nekromantie basierten. Bei dem als Nekrophobia betitelten Wesen handelt es sich mit hoher Wahrscheinlichkeit um einen Magier aus jener Zeit, der auf der verzweifelten Suche nach Unsterblichkeit einen zäheren, geistlosen Körper seinem natürlichen Fleisch vorzog. Zurück blieb ein gedankenloses Geschöpf, das geradezu instinktiv jegliche lebendigen Wesen attackiert.",630,70658,0,4,3
58,Index,"Ein Großmagier, der als selbsternannter „Allwissender“ über das Dreieck des Todes und Kreszentia herrschte. Er gab sich selbst den Auftrag, das Wissen der Fünften Ära des Lichts auf ewig weiterzuentwickeln und erschuf zu diesem Ziel eine Vielzahl an Familiaren. Der Turm der Magie auf der Nordhälfte der Insel diente ihm als Hauptquartier für sein Vorhaben, wo es schließlich zu einer Konfrontation zwischen ihm und den Abenteurern der Expedition kam. War er zwar im Besitz mehrerer antiker Waffen, die aufgrund ihrer enormen elementaren Macht versiegelt worden waren, so konnte er nach einem erbitterten Kampf doch besiegt werden.",631,70659,0,4,3
59,"Archiv, der Nichtswissende","Geboren kurz vor dem Ende des Krieges der Magi, war dieser junge Mann von klein auf überaus wissbegierig und lernfreudig. Gesegnet mit der Gabe, in die Vergangenheit zu blicken, und mit dem Wunsch nach dem Ende des Kriegs im Herzen, begab er sich auf eine Reise, um so viel Wissen, Macht und Schönheit wie möglich zu erfahren. Im Laufe seiner Reise überwogen jedoch die negativen Eindrücke, wodurch er mehr und mehr das Vertrauen in seine Zeitgenossen verlor und schlussendlich entschied, lediglich die Kulturgüter der Fünften Ära des Lichts vor dem Untergang zu bewahren. So lauten zumindest die Worte des Familiars Iris, das ihren Meister, der sich selbst an nichts mehr erinnern kann, über Jahrhunderte treu begleitet und beobachtet hat.",632,70660,0,3,2
60,Die Schatzkammer des Einsiedlers,"Es wird vermutet, dass Archiv in diesem Zimmer seine Lieblingsstücke aufbewahrte, wobei ein Großteil der dort angesammelten Gegenstände nicht von besonders hohem materiellem Wert zu sein scheinen. Die dort entdeckten natürlichen Magiekatalysatoren, Artefakte mit antiken Äthergrammen und Proben von magisch beeinflussten Lebewesen sind alle Teil der Grundausstattung neuer Schüler zu Beginn eines Magiekunde-Studiums. Es ist möglich, dass Archiv bewusst diese Gegenstände ausgewählt hat, um sowohl die Ursprünge der Magiekultur-Entwicklung seiner Zeit zu bewahren als sie auch sinnbildlich für den Auslöser des Kriegs der Magi als Warnung zu präsentieren.",633,70645,12631768,2,1
