#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Unknown2,Unknown3,ModelChara,EquipHead,EquipBody,EquipLeg,EquipFoot,MoveControl,RideBGM,Icon,UIPriority,MountAction,Unknown_70_1,Unknown_70_2,Unknown16,Unknown17,Order,FlyingCondition,Unknown5,Unknown6,Unknown7,IsFlying,Unknown8,MountCustomize,ExitMoveDist,ExitMoveSpeed,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,Unknown9,ExtraSeats,Unknown10,Unknown11,Unknown12,IsEmote,Unknown20,IsAirborne,ExHotbarEnableConfig,UseEP,Unknown13,IsImmobile,Unknown14,HideHeadgear,Unknown18,Unknown19
78,Kriegslanner,Kriegslanner,4,2,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1514,0,0,0,0,2,374,4057,30103,0,8,23,41,40,56,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
79,,,0,0,0,1,0,0,SE_Bt_Etc_EnsaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_EnsaBye,1411,0,0,0,0,2,319,0,0,15,9,21,39,40,-1,1,45,0,60,1,2,26,15,9,65,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
80,Gloria-Luftschiff,Gloria-Luftschiffe,4,2,0,1,2,0,SE_Bt_Etc_CyoukogataWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_CyoukogataBye,1444,0,0,0,0,2,319,4058,11010,0,17,18,37,37,57,1,45,15,15,1,2,29,0,10,140,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
81,Kumulus,Kumuli,3,2,0,1,0,0,SE_Bt_Etc_KintounWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_KintounBye,1505,0,0,0,0,2,319,4059,16010,0,16,19,37,52,58,1,45,15,15,1,2,30,20,20,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
82,Original-Chocomoppel,Original-Chocomoppel,4,2,0,1,0,0,SE_Bt_Etc_DebuCyokoboWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_DebuCyokoboBye,1520,0,0,0,0,2,193,4060,302,0,8,23,37,37,59,1,45,0,15,1,0,0,20,10,100,0,0,70,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False
83,Astrope,Astrope,3,1,0,0,0,1,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,1476,0,0,0,0,2,319,4061,3030,0,9,19,41,40,60,1,45,15,80,1,2,31,20,10,65,0,0,60,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False
84,Moppel-Mogry,Moppel-Mogrys,4,1,0,1,0,0,SE_Bt_Etc_MogKikyuuWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MogKikyuuBye,1532,0,0,0,0,2,396,4062,400,20,17,19,37,37,61,1,45,15,15,1,2,32,20,10,100,0,0,50,1,0,0,False,True,True,True,True,False,False,False,False,False,False,False
85,,,0,0,0,1,0,0,SE_Bt_Etc_WaterRizardWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_WaterRizardBye,820,0,0,0,0,2,121,0,0,16,32,21,43,42,-1,0,45,15,15,0,0,7,20,10,100,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
86,Bommelin,Bommelin,4,1,0,1,0,0,SE_Bt_Etc_PopoWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_PopoBye,1515,0,0,0,0,2,319,4063,16020,19,17,20,37,40,63,1,45,15,15,1,2,33,20,10,100,0,0,70,0,0,0,False,True,True,True,True,False,False,False,False,False,False,False
87,Whisper-Gondel,Whisper-Gondeln,3,1,0,1,1,0,SE_Bt_Etc_YoukaiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_YoukaiBye,1534,0,0,0,0,2,319,4064,40500,0,18,20,43,42,64,1,45,15,15,1,2,34,0,10,200,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
88,,,0,0,0,1,0,0,SE_Bt_Etc_TwinTaniaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TwinTaniaBye,1412,0,0,0,0,2,319,0,0,17,8,21,39,38,-1,1,45,15,50,1,2,25,20,20,120,9,3,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
89,,,0,0,0,1,0,0,SE_Bt_Etc_PopoWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_PopoBye,1515,0,0,0,0,2,319,0,0,18,17,20,37,40,-1,1,45,15,15,1,2,33,20,10,100,0,0,70,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
90,Düsterlanner,Düsterlanner,4,2,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1580,0,0,0,0,2,395,4065,30104,0,8,23,41,40,65,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
91,Aerodynamisches System,Aerodynamische Systeme,4,2,0,1,2,0,SE_Bt_Etc_DaragabWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_DaragabBye,1636,0,0,0,0,2,319,4066,10501,9,17,19,39,40,66,1,45,15,15,1,0,16,0,10,100,12,4,100,0,0,0,False,True,True,True,True,False,False,False,False,False,False,False
92,Nichtskopf,Nichtsköpfe,4,2,0,1,0,0,SE_Bt_Etc_AhrimanWhistle,SE_Bt_Etc_ChocoboWhistle_only,SE_Bt_Etc_AhrimanBye,1635,0,0,0,0,2,319,4068,5010,0,19,23,41,44,67,1,45,15,70,1,2,4,20,10,100,0,0,50,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
93,Managarm,Managarm,3,1,0,0,0,1,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1629,0,0,0,0,2,319,4067,3281,0,9,21,41,42,68,1,45,15,70,1,2,35,20,10,100,0,6,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
94,Whisper-Gondel Spezial,Whisper-Gondeln Spezial,3,1,0,1,1,0,SE_Bt_Etc_YoukaiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_YoukaiBye,1646,0,0,0,0,2,319,4069,40501,0,18,20,43,42,69,1,45,15,15,1,2,34,0,10,200,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
95,Goten,Goten,3,1,0,0,0,1,SE_Bt_Etc_GaroWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GaroBye,1585,0,0,0,0,2,319,4074,40600,0,9,19,41,40,70,1,45,70,70,1,2,36,20,10,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
96,Ginga,Ginga,3,1,0,0,0,1,SE_Bt_Etc_GaroWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GaroBye,1586,0,0,0,0,2,319,4075,40601,0,9,19,41,40,71,1,45,70,70,1,2,36,20,10,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
97,Mystischer Panda,Mystische Pandas,4,1,0,1,0,0,SE_Bt_Etc_PandaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_PandaBye,1593,0,0,0,0,2,638,4070,3252,0,9,19,41,38,72,1,45,15,70,1,2,9,20,10,65,12,3,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
98,Sophia-Lanner,Sophia-Lanner,4,2,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1768,0,0,0,0,2,415,4071,30105,0,8,23,41,40,73,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
99,Sternenlicht-Bär,Sternenlicht-Bären,6,1,0,1,0,0,SE_Bt_Etc_XmasKumaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_XmasKumaBye,1658,0,0,0,0,2,319,4102,3253,32,9,19,41,38,74,1,45,15,70,1,2,9,20,10,65,12,3,70,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
100,Schwarzer Pegasus,Schwarze Pegasus,3,1,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,1472,0,0,0,0,2,319,4072,3021,0,9,19,41,40,75,1,45,15,80,1,2,24,20,10,65,0,0,60,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
101,Arrhidaios,NONE,3,1,0,1,0,0,SE_Bt_Etc_AlxWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_AlxBye,1704,0,0,0,0,2,416,4073,10600,0,18,21,41,40,76,1,45,15,15,1,2,38,0,10,100,0,0,70,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False
102,Raigo,Raigo,3,1,0,0,0,1,SE_Bt_Etc_GaroWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GaroBye,1587,0,0,0,0,2,319,4076,40602,0,9,19,41,40,79,1,45,70,70,1,2,39,20,10,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
103,Roter Baron,Roter Baron,3,1,0,0,0,1,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,327681,0,0,2,331,0,0,23,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
104,Dämonen-Lanner,Dämonen-Lanner,4,2,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1857,0,0,0,0,2,424,4077,30106,0,8,23,41,40,77,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
105,Feuervogel,Feuervögel,4,2,0,1,0,0,SE_Bt_Etc_HououWhistle,SE_Bt_Etc_HououBye,SE_Bt_Etc_HououBye,1765,0,0,0,0,2,425,4078,30150,0,18,21,41,42,78,1,45,15,70,1,2,46,20,10,55,0,0,60,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
106,Wundereisystem,Wundereisysteme,4,2,0,1,2,0,SE_Bt_Etc_DaragabWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_EggBye,1777,0,0,0,0,2,319,4079,16030,25,17,18,39,40,80,1,45,15,15,1,0,0,0,10,100,0,0,70,0,0,0,False,True,True,True,True,False,False,False,False,False,False,False
107,,,0,0,0,1,0,0,SE_Bt_Etc_DaragabWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_EggBye,1777,0,0,0,0,2,319,0,0,24,17,18,39,40,-1,1,45,15,15,1,0,0,0,10,100,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
108,Höllenhund-Einzelgänger,Höllenhund-Einzelgänger,4,2,0,1,0,0,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1276,0,0,0,0,2,319,4080,3300,0,9,21,41,42,81,1,45,15,70,1,0,40,20,10,65,0,6,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
109,Höllenhund-Alphatier,Höllenhund-Alphatiere,4,2,0,1,2,0,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1837,0,0,0,0,2,319,4081,3301,0,9,21,41,42,82,1,45,15,70,1,0,40,20,10,65,0,6,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
110,Exegeten-Thron,Exegeten-Throne,4,2,0,1,0,0,SE_Bt_Etc_IsuWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_IsuBye,1776,0,0,0,0,2,319,4084,16040,0,17,19,39,38,83,1,45,15,15,1,2,41,0,10,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
111,Syldra,Syldra,3,0,0,0,1,1,SE_Bt_Etc_ShirudoraWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_ShirudoraBye,1676,0,0,0,0,2,319,4085,7020,0,17,19,41,40,95,1,45,70,70,1,2,42,20,10,100,0,0,100,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
112,Falke,Falke,3,1,0,0,1,1,SE_Bt_Etc_HitorinoriWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_HitorinoriBye,1773,0,0,0,0,2,319,4086,10080,0,9,22,41,40,96,1,45,15,15,3,4,43,0,10,100,0,0,100,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
113,Feenhund-Einzelgänger,Feenhund-Einzelgänger,4,2,0,1,0,0,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1858,0,0,0,0,2,319,4082,3302,0,9,21,41,42,85,1,45,15,70,1,0,40,20,10,65,0,6,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
114,Feenhund-Alphatier,Feenhund-Alphatiere,4,2,0,1,2,0,SE_Bt_Etc_FenrirWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FenrirBye,1876,0,0,0,0,2,319,4083,3303,0,9,21,41,42,84,1,45,15,70,1,0,40,20,10,65,0,6,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
115,Gepflegter Kamuy,Gepflegte Kamuy,3,1,0,1,0,0,SE_Bt_Etc_InugamiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_InugamiBye,1835,0,0,0,0,2,494,4087,30200,0,9,19,41,42,86,1,45,85,85,1,0,44,20,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
116,Verspielter Kamuy,Verspielte Kamuy,3,1,0,1,0,0,SE_Bt_Etc_InugamiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_InugamiBye,1836,0,0,0,0,2,493,4088,30201,0,9,19,41,42,87,1,45,85,85,1,0,44,20,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
117,,,0,0,0,1,0,0,SE_Bt_Etc_HarpieWhistle,SE_Bt_Etc_HarpieWhistle_only,SE_Bt_Etc_HarpieBye,1894,0,0,0,0,2,319,0,0,0,18,21,41,42,-1,1,45,15,70,1,0,46,20,10,100,0,0,60,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
118,,,0,0,0,1,0,0,SE_Bt_Etc_MantaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MantaBye,1995,0,0,0,0,2,319,0,0,0,9,19,41,40,-1,1,45,15,15,5,2,45,20,10,100,9,3,70,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
119,,,0,0,0,1,0,0,SE_Bt_Etc_BirdWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_BirdBye,1953,0,0,0,0,2,483,0,0,0,8,23,41,40,-1,1,45,15,70,1,2,28,20,10,90,0,0,50,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
120,,,0,0,0,1,0,0,SE_Bt_Etc_UnicornWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_UnicornBye,1952,0,0,0,0,2,319,0,0,0,9,19,41,40,-1,0,45,15,15,0,0,5,20,10,65,0,0,100,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
121,Magitek-Prädator,Magitek-Prädatoren,4,1,0,1,0,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2298,0,0,0,0,2,319,4089,10010,0,0,23,39,38,88,1,45,0,15,1,2,0,0,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
122,Kampflöwe,Kampflöwen,8,1,0,1,0,0,SE_Bt_Etc_LionWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_LionBye,1725,0,0,0,0,2,319,4090,3241,0,9,21,43,40,89,1,45,70,50,1,2,8,20,10,150,13,4,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
123,Kampfbär,Kampfbären,6,1,0,1,0,0,SE_Bt_Etc_KumaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_KumaBye,718,0,0,0,0,2,319,4091,3251,0,9,19,41,38,90,1,45,15,70,1,2,9,20,10,65,12,3,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
124,Kampfpanther,Kampfpanther,4,2,0,1,0,0,SE_Bt_Etc_CuahrWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_CuahrBye,2049,0,0,0,0,2,319,4092,3202,0,10,21,41,42,91,1,45,70,70,1,2,3,20,10,60,0,0,60,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
125,Yol,Yol,3,1,0,1,0,0,SE_Bt_Etc_HarpieWhistle,SE_Bt_Etc_HarpieWhistle_only,SE_Bt_Etc_HarpieBye,1894,0,0,0,0,2,319,4093,5030,0,18,21,41,42,92,1,45,15,70,1,0,46,20,10,100,0,0,80,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
126,Alte Roite,Alte Roite,3,1,0,1,0,0,SE_Bt_Etc_JuraeibisWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_JuraeibisBye,1713,0,0,0,0,2,534,4094,7030,0,0,0,37,37,93,1,45,15,85,1,2,47,20,10,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
127,Centurio-Tiger,Centurio-Tiger,4,2,0,1,0,0,SE_Bt_Etc_ToraWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_ToraBye,2173,0,0,0,0,2,319,4095,3310,0,9,19,41,42,94,1,45,15,65,1,2,48,20,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
128,Erbeutete Magitek-Kampfmaschine,Erbeutete Magitek-Kampfmaschinen,3,1,0,1,1,0,SE_Bt_Etc_MadoWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MadoBye,2,0,65537,0,0,2,121,0,0,27,30,23,41,40,-1,0,45,0,15,0,0,0,0,10,77,0,0,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
129,,,0,0,0,1,0,0,SE_Bt_Etc_MantaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MantaBye,1995,0,0,0,0,2,319,0,0,26,9,19,41,40,-1,1,45,15,15,5,0,45,20,10,100,9,3,70,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
130,Ixion,Ixion,3,1,0,0,0,1,SE_Bt_Etc_IxionWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_IxionBye,2061,0,0,0,0,2,319,4096,3320,0,9,19,39,40,97,1,45,70,85,1,2,49,20,20,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
131,,,0,0,0,1,0,0,SE_Bt_Etc_GobrinTunkWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_GobrinTunkBye,2095,0,0,0,0,2,397,0,0,28,0,0,37,37,-1,0,45,15,15,0,0,0,0,10,30,0,0,100,0,0,0,False,True,False,False,False,False,True,True,False,False,False,False
132,,,0,0,0,1,0,0,SE_Bt_Etc_GobrinTunkWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_GobrinTunkBye,2096,0,0,0,0,2,397,0,0,28,0,0,37,37,-1,0,45,15,15,0,0,0,0,10,30,0,0,100,0,0,0,False,True,False,False,False,False,True,True,False,False,False,False
133,Legendärer Kamuy,Legendäre Kamuy,3,1,0,1,0,0,SE_Bt_Etc_InugamiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_InugamiBye,2116,0,0,0,0,2,505,4101,30202,0,9,19,41,42,99,1,45,85,85,1,0,44,20,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
134,,,0,0,0,1,0,0,SE_Bt_Etc_XmasKumaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_XmasKumaBye,1658,0,0,0,0,2,319,0,0,31,9,19,41,38,-1,1,45,15,70,1,2,9,20,10,65,12,3,70,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
135,Feuerwind,Feuerwinde,4,2,0,1,0,0,SE_Bt_Etc_FuukaNirinWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_FuukaNirinBye,2030,0,0,0,0,2,637,4097,15000,0,9,19,39,38,98,1,45,15,15,1,2,50,0,20,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
136,Streifenrochen,Streifenrochen,4,1,0,1,0,0,SE_Bt_Etc_MantaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MantaBye,2117,0,0,0,0,2,319,4103,7040,30,9,19,41,40,100,1,45,15,15,5,2,45,20,10,30,9,3,70,0,0,0,False,True,True,True,True,False,False,False,False,False,False,False
137,,,0,0,0,1,0,0,SE_Bt_Etc_MantaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MantaBye,2117,0,0,0,0,2,319,0,0,29,9,19,41,40,-1,1,45,15,15,5,2,45,20,10,30,9,3,70,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False
138,Aquamarin-Karfunkel,Aquamarin-Karfunkel,3,1,0,1,2,0,SE_Bt_Etc_CarbuncleWhistle,SE_Bt_Etc_HarpieWhistle_only,SE_Bt_Etc_CarbuncleBye,2073,0,0,0,0,2,638,4104,3330,0,9,21,41,40,101,1,45,70,70,1,2,51,20,10,120,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
139,Citrin-Karfunkel,Citrin-Karfunkel,3,1,0,1,2,0,SE_Bt_Etc_CarbuncleWhistle,SE_Bt_Etc_HarpieWhistle_only,SE_Bt_Etc_CarbuncleBye,2125,0,0,0,0,2,638,4105,3331,0,9,21,41,40,102,1,45,70,70,1,2,51,20,10,120,0,0,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
140,Fliegender Sessel,Fliegende Sessel,4,2,0,1,0,0,SE_Bt_Etc_LanosceasofaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_LanosceasofaBye,2115,0,0,0,0,2,319,4106,16050,0,17,18,41,40,103,1,45,85,85,1,2,52,0,10,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
141,Magitek-Rächer,Magitek-Rächer,4,2,0,1,0,0,SE_Bt_Etc_MekagoriraWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_MekagoriraBye,2072,0,0,0,0,2,319,4107,10090,0,0,23,41,40,104,1,45,15,70,1,0,53,20,10,100,12,3,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
142,Koloss-Korpokkur,Koloss-Korpokkur,3,1,0,1,0,0,SE_Bt_Etc_MarimokunWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_MarimokunBye,2071,0,0,0,0,2,319,4108,1040,0,8,19,37,38,105,1,45,15,70,1,2,54,20,10,120,0,0,40,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
143,Feuerross,Feuerrösser,2,2,0,1,2,0,SE_Bt_Etc_SekitobaWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_SekitobaBye,2119,0,0,0,0,2,637,4109,3040,0,9,19,41,40,106,1,10,70,70,1,2,55,20,10,100,0,0,55,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
144,Glücklicher Kamuy,Glückliche Kamuy,3,1,0,1,0,0,SE_Bt_Etc_InugamiWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_InugamiBye,2167,0,0,0,0,2,536,4110,30203,0,9,19,41,42,107,1,45,85,85,1,0,44,20,10,100,0,0,70,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
145,Magitek-Todesklaue,Magitek-Todesklauen,3,1,0,1,1,0,SE_Bt_Etc_DeathClawWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_DeathClawBye,2118,0,0,0,0,2,319,4111,10020,0,18,19,37,37,108,1,45,70,70,1,2,0,0,10,100,0,0,50,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
146,Maride,Mariden,8,1,0,1,0,0,SE_Bt_Etc_ElephantWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_ElephantBye,2074,0,0,0,0,2,319,4112,3340,38,0,18,39,38,109,1,45,70,15,1,0,0,20,10,100,0,0,60,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
147,Maride,,0,0,0,1,0,0,SE_Bt_Etc_ElephantWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_ElephantBye,2074,0,0,0,0,2,319,0,0,37,0,18,39,38,-1,1,45,70,15,1,0,0,20,10,100,0,0,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
148,Urgreif,Urgreife,6,2,0,1,0,0,SE_Bt_Etc_GrifinWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GrifinBye,2191,0,0,0,0,2,319,4113,3291,36,9,21,41,40,110,1,45,70,60,1,2,20,20,20,60,9,3,60,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False
149,Urgreif,,0,0,0,1,0,0,SE_Bt_Etc_GrifinWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_GrifinBye,2191,0,0,0,0,2,319,0,0,35,9,21,41,40,-1,1,45,70,60,1,2,20,20,20,60,9,3,60,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False
150,Tyrannosaurus,Tyrannosaurier,3,2,0,1,0,0,SE_Bt_Etc_TRexWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_TRexBye,2126,0,0,0,0,2,319,4116,1050,0,8,19,39,40,111,1,45,30,30,1,2,56,20,20,100,0,0,60,0,0,0,False,True,True,False,False,False,False,False,False,False,False,False
151,Regalia Typ-G,Regalia Typ-G,3,1,0,0,0,1,SE_Bt_Etc_CarWhistle,SE_Bt_Etc_MadoWhistle_only,SE_Bt_Etc_CarBye,2135,0,0,0,0,2,614,4138,40010,0,0,19,37,37,112,1,45,85,85,1,2,57,0,10,100,0,0,70,3,0,0,False,True,True,False,False,False,False,False,False,False,False,False
152,Gebrochenes Herz (rechts),Gebrochene Herzen (rechts),3,1,0,1,2,0,SE_Bt_Etc_RightHeartWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_RightHeartBye,2179,0,0,0,0,2,319,4114,16061,0,9,19,51,50,113,1,45,85,85,1,2,41,0,10,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
153,Gebrochenes Herz (links),Gebrochene Herzen (links),3,1,0,1,2,0,SE_Bt_Etc_RightHeartWhistle,SE_Bt_Etc_GuuBooWhistle_only,SE_Bt_Etc_RightHeartBye,2180,0,0,0,0,2,319,4115,16060,0,9,19,37,37,114,1,45,85,85,1,2,41,0,10,100,0,0,70,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False
