#,SupplyData[0].Item[0],SupplyData[0].Item[1],SupplyData[0].Item[2],SupplyData[0].ItemCount[0],SupplyData[0].ItemCount[1],SupplyData[0].ItemCount[2],SupplyData[1].Item[0],SupplyData[1].Item[1],SupplyData[1].Item[2],SupplyData[1].ItemCount[0],SupplyData[1].ItemCount[1],SupplyData[1].ItemCount[2],SupplyData[2].Item[0],SupplyData[2].Item[1],SupplyData[2].Item[2],SupplyData[2].ItemCount[0],SupplyData[2].ItemCount[1],SupplyData[2].ItemCount[2],SupplyData[3].Item[0],SupplyData[3].Item[1],SupplyData[3].Item[2],SupplyData[3].ItemCount[0],SupplyData[3].ItemCount[1],SupplyData[3].ItemCount[2],SupplyData[4].Item[0],SupplyData[4].Item[1],SupplyData[4].Item[2],SupplyData[4].ItemCount[0],SupplyData[4].ItemCount[1],SupplyData[4].ItemCount[2],SupplyData[5].Item[0],SupplyData[5].Item[1],SupplyData[5].Item[2],SupplyData[5].ItemCount[0],SupplyData[5].ItemCount[1],SupplyData[5].ItemCount[2],SupplyData[6].Item[0],SupplyData[6].Item[1],SupplyData[6].Item[2],SupplyData[6].ItemCount[0],SupplyData[6].ItemCount[1],SupplyData[6].ItemCount[2],SupplyData[7].Item[0],SupplyData[7].Item[1],SupplyData[7].Item[2],SupplyData[7].ItemCount[0],SupplyData[7].ItemCount[1],SupplyData[7].ItemCount[2],SupplyData[8].Item[0],SupplyData[8].Item[1],SupplyData[8].Item[2],SupplyData[8].ItemCount[0],SupplyData[8].ItemCount[1],SupplyData[8].ItemCount[2],SupplyData[9].Item[0],SupplyData[9].Item[1],SupplyData[9].Item[2],SupplyData[9].ItemCount[0],SupplyData[9].ItemCount[1],SupplyData[9].ItemCount[2],SupplyData[10].Item[0],SupplyData[10].Item[1],SupplyData[10].Item[2],SupplyData[10].ItemCount[0],SupplyData[10].ItemCount[1],SupplyData[10].ItemCount[2]
76,26111,26112,26116,1,1,1,27867,27868,27869,3,3,3,27778,27777,0,1,1,1,26150,0,0,1,1,1,26142,26158,26164,1,1,1,26171,26120,26122,1,1,1,26147,26159,26163,1,1,1,26108,26121,26123,1,1,1,27700,0,0,10,1,1,27821,27686,27779,10,10,10,27490,27550,27553,1,4,4
77,27129,27133,27135,1,1,1,27871,27870,27872,3,3,3,26118,26119,27959,1,1,3,27125,27126,26125,1,1,1,26127,26134,27188,1,1,1,26132,26177,27124,1,1,1,27181,27184,26135,1,1,1,27138,27131,27123,1,1,1,27701,0,0,10,1,1,27780,0,0,10,1,1,27493,27558,27559,1,4,4
78,26271,26272,26277,1,1,1,27874,27875,27873,3,3,3,26278,26279,27781,1,1,1,26290,26293,26298,1,1,1,26294,26305,26302,1,1,1,26282,26329,26345,1,1,1,26295,26319,26322,1,1,1,26273,26280,26284,1,1,1,27782,0,0,10,1,1,27819,27783,27837,10,10,10,27464,27563,27564,1,4,4
79,27228,27229,27230,1,1,1,27876,27877,27878,3,3,3,27788,27790,0,3,3,1,26285,0,0,1,1,1,26318,26326,26317,1,1,1,26333,26341,26342,1,1,1,26304,26313,26307,1,1,1,27151,27153,27158,1,1,1,27702,0,0,10,1,1,27784,27785,27759,10,10,10,27495,27575,0,1,4,1
80,27150,27154,27156,1,1,1,27880,27881,27882,3,3,3,27786,27787,27789,3,3,3,27146,27147,0,1,1,1,27193,27195,27197,1,1,1,27145,27222,27224,1,1,1,27191,27192,27194,1,1,1,27143,27144,27148,1,1,1,27703,0,0,10,1,1,27687,0,0,10,1,1,27500,27573,27579,1,4,4
81,34088,35330,35409,1,1,1,36037,0,0,3,1,1,34090,34091,36237,1,1,1,34099,34117,35326,1,1,1,34111,34124,34130,1,1,1,34092,34110,34148,1,1,1,34123,34132,35405,1,1,1,34080,35321,35328,1,1,1,36174,36162,0,20,20,1,36190,36202,0,20,20,1,36392,36549,0,2,5,1
82,34233,34234,34287,1,1,1,36038,36039,36040,3,3,3,34240,34241,0,1,1,1,34254,34257,34259,1,1,1,34262,34269,34279,1,1,1,34239,34255,34304,1,1,1,34260,34270,34275,1,1,1,34232,34243,34246,1,1,1,36163,36175,0,20,20,1,36086,36098,0,20,20,1,36404,36553,0,2,5,1
83,34295,34296,34299,1,1,1,36041,36042,36043,3,3,3,36227,36229,36231,3,3,3,34249,34251,34256,1,1,1,34253,34261,34273,1,1,1,34290,34292,34293,1,1,1,34266,34277,34281,1,1,1,34231,34237,34248,1,1,1,36176,0,0,20,1,1,36091,36092,0,20,20,1,36425,36565,0,2,5,1
84,34383,34388,0,1,1,1,36044,36045,0,3,3,1,34390,34391,0,1,1,1,34448,34449,34452,1,1,1,34402,34417,34429,1,1,1,34394,34397,34443,1,1,1,34420,34425,34433,1,1,1,34384,34386,34395,1,1,1,36241,0,0,20,1,1,36204,36093,0,20,20,1,36448,36557,36561,2,5,5
85,35351,35355,35357,1,1,1,36046,36047,0,3,3,1,36114,36239,36240,3,1,1,34400,34405,35348,1,1,1,34406,35416,35423,1,1,1,34435,34437,35346,1,1,1,35417,35419,35420,1,1,1,35341,35344,35359,1,1,1,36164,0,0,20,1,1,36090,0,0,20,1,1,36461,36559,36563,2,5,5
86,34539,34592,35452,1,1,1,36048,36049,36050,3,3,3,34540,34541,0,1,1,1,34550,34557,34574,1,1,1,34561,34577,35457,1,1,1,34542,34595,34602,1,1,1,34566,34573,34580,1,1,1,34530,34532,34537,1,1,1,36165,36177,0,20,20,1,36193,36205,0,20,20,1,36465,36537,36585,2,5,5
87,35372,35376,35378,1,1,1,36053,36054,0,3,3,1,36115,36238,0,3,1,1,34551,34556,35368,1,1,1,35426,35428,35431,1,1,1,34565,34586,34589,1,1,1,35424,35427,35430,1,1,1,35364,35366,35381,1,1,1,36181,0,0,20,1,1,36096,36089,0,20,20,1,36484,36529,36567,2,5,5
88,34683,34684,34688,1,1,1,36055,36057,36059,3,3,3,34690,34691,0,1,1,1,34707,34717,34727,1,1,1,34709,34714,34719,1,1,1,34694,34697,34750,1,1,1,34720,34725,34730,1,1,1,34681,34693,34698,1,1,1,36263,0,0,20,1,1,36095,36094,0,20,20,1,36489,36533,36579,2,5,5
89,35460,35462,35463,1,1,1,36060,36061,0,3,3,1,36106,36108,36116,3,3,3,34699,34701,34724,1,1,1,34721,34731,35464,1,1,1,34741,34743,34749,1,1,1,34708,34711,34718,1,1,1,35394,35400,35402,1,1,1,36166,0,0,20,1,1,36206,0,0,20,1,1,36510,36545,36575,2,5,5
90,35393,35397,35399,1,1,1,36063,36064,36066,3,3,3,36104,36105,36107,3,3,3,35389,35390,0,1,1,1,35436,35441,35443,1,1,1,35388,0,0,1,1,1,35434,35435,35442,1,1,1,35384,35385,35392,1,1,1,36178,0,0,20,1,1,36194,36097,0,20,20,1,36519,36547,36581,2,5,5
91,41894,43210,43331,1,1,1,44073,44081,44079,3,3,3,44049,41843,41844,2,1,1,41857,43206,43207,1,1,1,41859,41867,41880,1,1,1,41840,43205,43325,1,1,1,41861,41866,41884,1,1,1,41836,41846,43220,1,1,1,43992,0,0,20,1,1,44024,44042,43978,20,20,20,43673,43666,43806,2,2,5
92,41994,41995,0,1,1,1,44074,44094,0,3,3,1,41997,41998,42010,1,1,1,42011,42014,42019,1,1,1,42029,42034,42039,1,1,1,42012,42049,42057,1,1,1,42027,42037,42042,1,1,1,41991,42000,42001,1,1,1,44002,43982,0,20,20,1,44014,43990,43989,20,20,20,43695,43809,43819,2,5,5
93,41993,42008,0,1,1,1,44082,44083,44084,3,3,3,44044,44046,44048,6,6,6,42013,42018,42021,1,1,1,42031,42035,42041,1,1,1,41999,42052,42063,1,1,1,42023,42030,42045,1,1,1,41990,42003,42005,1,1,1,44003,0,0,20,1,1,44015,43979,0,20,20,1,43684,43817,43825,2,5,5
94,42148,43235,43237,1,1,1,44093,44085,0,3,3,1,44050,42151,42164,2,1,1,42165,0,0,1,1,1,42180,42181,42196,1,1,1,42162,42198,42204,1,1,1,42186,43294,43299,1,1,1,42146,42155,42159,1,1,1,43993,0,0,20,1,1,44025,44040,43980,20,20,20,43706,43815,43823,2,5,5
95,42147,42208,42209,1,1,1,44088,44099,0,3,3,1,44013,44167,42152,2,3,1,42167,42172,43228,1,1,1,42170,43298,43301,1,1,1,42156,42219,42220,1,1,1,42169,43295,43302,1,1,1,42161,43223,43229,1,1,1,43994,0,0,20,1,1,44016,43991,43981,20,20,20,43725,43813,43827,2,5,5
96,42301,43332,43335,1,1,1,44086,44101,44089,3,3,3,44168,42306,42318,3,1,1,42319,42327,42330,1,1,1,42354,43336,43338,1,1,1,42316,42345,42359,1,1,1,42337,42347,42352,1,1,1,42299,42314,42317,1,1,1,44004,44034,0,20,20,1,43986,44026,43988,20,20,20,43759,43733,43738,2,2,2
97,42303,43252,43256,1,1,1,44077,44078,0,3,3,1,44051,44169,42305,6,3,1,42324,42326,42341,1,1,1,42328,42346,43306,1,1,1,42310,42360,42371,1,1,1,43305,43307,43309,1,1,1,42307,43257,43260,1,1,1,43995,44007,0,20,20,1,44017,44018,44052,20,20,20,43748,43763,43835,2,2,5
98,42455,42457,0,1,1,1,44092,44100,44095,3,3,3,42459,42472,0,1,1,1,42473,42476,42486,1,1,1,42503,42508,0,1,1,1,42470,42512,42526,1,1,1,42492,42495,42501,1,1,1,42453,42456,42463,1,1,1,44006,0,0,20,1,1,44028,43987,0,20,20,1,43768,43779,43831,2,2,5
99,43277,43279,43346,1,1,1,44091,44103,0,3,3,1,44159,44161,42460,3,3,1,42480,42488,42498,1,1,1,42477,42482,42485,1,1,1,42466,42484,42494,1,1,1,42500,42502,42507,1,1,1,42467,43274,43280,1,1,1,44005,0,0,20,1,1,44039,43984,43985,20,20,20,43774,43845,43839,2,5,5
100,43273,43318,43323,1,1,1,44098,44087,44090,3,3,3,44157,44158,44160,3,3,3,43269,43270,43347,1,1,1,43316,43319,43321,1,1,1,43341,43342,43344,1,1,1,43314,43317,43320,1,1,1,43263,43266,43272,1,1,1,43996,0,0,20,1,1,43983,44041,44043,20,20,20,43783,43790,43833,2,2,5
