#,Action,ReplaceActions[0],ReplaceActions[1],ReplaceActions[2],ReplaceActions[3],Param1,Param2,Param3,Param4,Type1,Type2,Type3,Type4,ReplaceSettable,Unknown_70
45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
