#,Level[0],Level[1],Level[2],Level[3],Level[4]
3918,9496527,1,0,0,0
3919,9496528,0,0,1,0
3920,9496529,0,0,1,0
3921,9496530,0,0,1,0
4000,0,0,0,0,0
4001,9527447,0,0,0,1
4002,9527448,0,0,0,1
4003,9527449,0,0,0,1
4004,9527450,0,1,0,0
4005,9527451,9395104,9395119,9395105,0
4006,9527452,9395096,9395097,9395098,9395099
4007,9527453,9395116,9395117,9395118,0
4008,9527454,1,0,0,0
4009,9527455,0,1,0,0
4010,9527456,9395106,9395107,0,0
4011,9527457,9395092,9395095,9395093,9395094
4012,9527458,9395108,9395109,0,0
4013,9527459,1,0,0,0
4014,9527460,0,1,0,0
4015,9527461,9395113,9395115,0,9395114
4016,9527462,9395100,9395101,9395102,9395103
4017,9527463,9395110,9395112,0,9395111
4018,9527464,1,0,0,0
4019,9527465,0,0,1,0
4020,9527466,0,0,1,0
4021,9527467,0,0,1,0
4100,0,0,0,0,0
4101,9527490,0,0,0,1
4102,9527491,0,0,0,1
4103,9527492,0,0,0,1
4104,9527493,0,1,0,0
4105,9527494,9429409,0,9429408,9429407
4106,9527495,0,0,9429400,9429399
4107,9527496,0,9429402,9429403,9429401
4108,9527497,1,0,0,0
4109,9527498,0,1,0,0
4110,9527499,9429389,9429390,9429388,9429387
4111,9527500,9429384,9429385,9429386,9429383
4112,9527501,9429393,9429394,9429392,9429391
4113,9527502,1,0,0,0
4114,9527503,0,1,0,0
4115,9527504,9429396,0,9429410,9429395
4116,9527505,0,0,9429398,9429397
4117,9527506,0,9429405,9429406,9429404
4118,9527507,1,0,0,0
4119,9527508,0,0,1,0
4120,9527509,0,0,1,0
4121,9527510,0,0,1,0
4200,0,0,0,0,0
4201,9554083,0,0,0,1
4202,9554084,0,0,0,1
4203,9554085,0,0,0,1
4204,9554086,0,1,0,0
4205,9554087,9391265,9391264,9391263,0
4206,9554088,9391269,9391268,9391267,9391270
4207,9554089,9391272,9391271,9391274,0
4208,9554090,1,0,0,0
4209,9554091,0,1,0,0
4210,9554092,9391275,9391276,0,0
4211,9554093,9391282,9391279,9391281,9391280
4212,9554094,9391286,9391283,0,0
4213,9554095,1,0,0,0
4214,9554096,0,1,0,0
4215,9554097,9391290,9391287,0,9391288
4216,9554098,9391291,9391293,9391292,9391294
4217,9554099,9391297,9391295,0,9391298
4218,9554100,1,0,0,0
4219,9554101,0,0,1,0
4220,9554102,0,0,1,0
4221,9554103,0,0,1,0
4300,0,0,0,0,0
4301,9554344,0,0,0,1
4302,9554345,0,0,0,1
4303,9554346,0,0,0,1
4304,9554347,0,1,0,0
4305,9554348,9391303,0,9391306,9391305
4306,9554349,0,0,9391325,9391326
4307,9554350,0,9391308,9391310,9391309
4308,9554351,1,0,0,0
4309,9554352,0,1,0,0
4310,9554353,9391299,9391300,9391301,9391302
4311,9554354,9391327,9391328,9391329,9391330
4312,9554355,9391319,9391320,9391321,9391322
4313,9554356,1,0,0,0
4314,9554357,0,1,0,0
4315,9554358,9391313,0,9391312,9391314
4316,9554359,0,0,9391333,9391334
4317,9554360,0,9391315,9391316,9391318
4318,9554361,1,0,0,0
4319,9554362,0,0,1,0
4320,9554363,0,0,1,0
4321,9554364,0,0,1,0
4400,0,0,0,0,0
4401,9555166,0,0,0,1
4402,9555167,0,0,0,1
4403,9555168,0,0,0,1
4404,9555169,0,1,0,0
4405,9555170,9422090,9422089,9422088,0
4406,9555171,9422093,9422092,9422091,9422094
4407,9555172,9422096,9422095,9422097,0
4408,9555173,1,0,0,0
4409,9555174,0,1,0,0
4410,9555175,9422098,9422099,0,0
4411,9555176,9422103,9422100,9422102,9422101
4412,9555177,9422105,9422104,0,0
4413,9555178,1,0,0,0
4414,9555179,0,1,0,0
4415,9555180,9422108,9422106,0,9422107
4416,9555181,9422109,9422111,9422110,9422112
4417,9555182,9422114,9422113,0,9422115
4418,9555183,1,0,0,0
4419,9555184,0,0,1,0
4420,9555185,0,0,1,0
4421,9555186,0,0,1,0
4500,0,0,0,0,0
4501,9555208,0,0,0,1
4502,9555209,0,0,0,1
4503,9555210,0,0,0,1
4504,9555211,0,1,0,0
4505,9555212,9422120,0,9422122,9422121
4506,9555213,0,0,9422136,9422137
4507,9555214,0,9422123,9422125,9422124
4508,9555215,1,0,0,0
4509,9555216,0,1,0,0
4510,9555217,9422116,9422117,9422118,9422119
4511,9555218,9422138,9422139,9422140,9422141
4512,9555219,9422132,9422133,9422134,9422135
4513,9555220,1,0,0,0
4514,9555221,0,1,0,0
4515,9555222,9422127,0,9422126,9422128
4516,9555223,0,0,9422142,9422143
4517,9555224,0,9422129,9422130,9422131
4518,9555225,1,0,0,0
4519,9555226,0,0,1,0
4520,9555227,0,0,1,0
4521,9555228,0,0,1,0
4600,0,0,0,0,0
4601,9564934,0,0,0,1
4602,9564935,0,0,0,1
4603,9564936,0,0,0,1
4604,9564937,0,1,0,0
4605,9564938,9405433,9405448,9405434,0
4606,9564939,9405425,9405426,9405427,9405428
4607,9564940,9405445,9405446,9405447,0
4608,9564941,1,0,0,0
4609,9564942,0,1,0,0
4610,9564943,9405435,9405436,0,0
4611,9564944,9405421,9405424,9405422,9405423
4612,9564945,9405437,9405438,0,0
4613,9564946,1,0,0,0
4614,9564947,0,1,0,0
4615,9564948,9405442,9405444,0,9405443
4616,9564949,9405429,9405430,9405431,9405432
4617,9564950,9405439,9405441,0,9405440
4618,9564951,1,0,0,0
4619,9564952,0,0,1,0
4620,9564953,0,0,1,0
4621,9564954,0,0,1,0
4700,0,0,0,0,0
4701,9564977,0,0,0,1
4702,9564978,0,0,0,1
4703,9564979,0,0,0,1
4704,9564980,0,1,0,0
4705,9564981,9426994,0,9426993,9426992
4706,9564982,0,0,9426985,9426984
4707,9564983,0,9426987,9426988,9426986
4708,9564984,1,0,0,0
4709,9564985,0,1,0,0
4710,9564986,9426974,9426975,9426973,9426972
4711,9564987,9426969,9426970,9426971,9426968
4712,9564988,9426978,9426979,9426977,9426976
4713,9564989,1,0,0,0
4714,9564990,0,1,0,0
4715,9564991,9426981,0,9426995,9426980
4716,9564992,0,0,9426983,9426982
4717,9564993,0,9426990,9426991,9426989
4718,9564994,1,0,0,0
4719,9564995,0,0,1,0
4720,9564996,0,0,1,0
4721,9564997,0,0,1,0
4800,0,0,0,0,0
4801,11760036,0,0,0,1
4802,11760037,0,0,0,1
4803,11760038,0,0,0,1
4804,11760039,0,1,0,0
4805,11760040,11607078,11607079,11607077,0
4806,11760041,11607073,11607075,11607076,11607074
4807,11760042,11596805,11607091,11607092,0
4808,11760043,1,0,0,0
4809,11760044,0,1,0,0
4810,11760045,11607071,11607072,0,0
4811,11760046,11607067,11607069,11607068,11607070
4812,11760047,11596802,11607090,0,0
4813,11760048,1,0,0,0
4814,11760049,0,1,0,0
4815,11760050,11607082,11607080,0,11607081
4816,11760051,11607084,11607086,11596797,11607085
4817,11760052,11607087,11607089,0,11607088
4818,11760053,1,0,0,0
4819,11760054,0,0,1,0
4820,11760055,0,0,1,0
4821,11760056,0,0,1,0
4900,0,0,0,0,0
4901,11760081,0,0,0,1
4902,11760082,0,0,0,1
4903,11760083,0,0,0,1
4904,11760084,0,1,0,0
4905,11760085,11618890,0,11618891,11618892
4906,11760086,0,0,11618879,11618880
4907,11760087,0,11618885,11618886,11618887
4908,11760088,1,0,0,0
4909,11760089,0,1,0,0
4910,11760090,11618899,11618872,11618893,11618897
4911,11760091,11618878,11618876,11618875,11618877
4912,11760092,11618882,11618884,11618881,11618883
4913,11760093,1,0,0,0
4914,11760094,0,1,0,0
4915,11760095,11618894,0,11618896,11618895
4916,11760096,0,0,11618873,11618898
4917,11760097,0,11618889,11618874,11618888
4918,11760098,1,0,0,0
4919,11760099,0,0,1,0
4920,11760100,0,0,1,0
4921,11760101,0,0,1,0
5000,0,0,0,0,0
5001,11779439,0,0,0,1
5002,11779440,0,0,0,1
5003,11779441,0,0,0,1
5004,11779442,0,1,0,0
5005,11779443,11749043,11749041,11749042,0
5006,11779444,11749044,11749046,11749045,11749047
5007,11779445,11749048,11749029,11749030,0
5008,11779446,1,0,0,0
5009,11779447,0,1,0,0
5010,11779448,11749036,11749037,0,0
5011,11779449,11749035,11749039,11749040,11749038
5012,11779450,11749050,11749049,0,0
5013,11779451,1,0,0,0
5014,11779452,0,1,0,0
5015,11779453,11749032,11749056,0,11749031
5016,11779454,11749053,11749052,11749051,11749054
5017,11779455,11749055,11749034,0,11749033
5018,11779456,1,0,0,0
5019,11779457,0,0,1,0
5020,11779458,0,0,1,0
5021,11779459,0,0,1,0
5100,0,0,0,0,0
5101,11779483,0,0,0,1
5102,11779484,0,0,0,1
5103,11779485,0,0,0,1
5104,11779486,0,1,0,0
5105,11779487,11749059,0,11749060,11749082
5106,11779488,0,0,11749064,11749063
5107,11779489,0,11749070,11749071,11749069
5108,11779490,1,0,0,0
5109,11779491,0,1,0,0
5110,11779492,11749079,11749080,11749078,11749077
5111,11779493,11749076,11749074,11749073,11749075
5112,11779494,11749065,11749067,11749068,11749066
5113,11779495,1,0,0,0
5114,11779496,0,1,0,0
5115,11779497,11749061,0,11749081,11749062
5116,11779498,0,0,11749083,11749084
5117,11779499,0,11749058,11749072,11749057
5118,11779500,1,0,0,0
5119,11779501,0,0,1,0
5120,11779502,0,0,1,0
5121,11779503,0,0,1,0
5200,0,0,0,0,0
5201,11775200,0,0,0,1
5202,11775201,0,0,0,1
5203,11775202,0,0,0,1
5204,11775203,0,1,0,0
5205,11775204,11573799,11573814,11573800,0
5206,11775205,11573791,11573792,11573793,11573794
5207,11775206,11573811,11573812,11573813,0
5208,11775207,1,0,0,0
5209,11775208,0,1,0,0
5210,11775209,11573801,11573802,0,0
5211,11775210,11573787,11573790,11573788,11573789
5212,11775211,11573803,11573804,0,0
5213,11775212,1,0,0,0
5214,11775213,0,1,0,0
5215,11775214,11573808,11573810,0,11573809
5216,11775215,11573795,11573796,11573797,11573798
5217,11775216,11573805,11573807,0,11573806
5218,11775217,1,0,0,0
5219,11775218,0,0,1,0
5220,11775219,0,0,1,0
5221,11775220,0,0,1,0
5300,0,0,0,0,0
5301,11775243,0,0,0,1
5302,11775244,0,0,0,1
5303,11775245,0,0,0,1
5304,11775246,0,1,0,0
5305,11775247,11574212,0,11574230,11574231
5306,11775248,0,0,11574214,11574229
5307,11775249,0,11574225,11574213,11574224
5308,11775250,1,0,0,0
5309,11775251,0,1,0,0
5310,11775252,11574218,11574234,11574232,11574233
5311,11775253,11574215,11574228,11574226,11574227
5312,11775254,11574211,11574223,11574221,11574222
5313,11775255,1,0,0,0
5314,11775256,0,1,0,0
5315,11775257,11574217,0,11574235,11574236
5316,11775258,0,0,11574216,11574237
5317,11775259,0,11574219,11574220,11574210
5318,11775260,1,0,0,0
5319,11775261,0,0,1,0
5320,11775262,0,0,1,0
5321,11775263,0,0,1,0
5400,0,0,0,0,0
5401,11780244,0,0,0,1
5402,11780245,0,0,0,1
5403,11780246,0,0,0,1
5404,11780247,0,1,0,0
5405,11780248,11569637,11569643,11569640,0
5406,11780249,11569647,11569644,11569646,11569650
5407,11780250,11569655,11569651,11569653,0
5408,11780251,1,0,0,0
5409,11780252,0,1,0,0
5410,11780253,11569572,11569607,0,0
5411,11780254,11569614,11569617,11569616,11569618
5412,11780255,11569621,11569619,0,0
5413,11780256,1,0,0,0
5414,11780257,0,1,0,0
5415,11780258,11569622,11569625,0,11569623
5416,11780259,11569629,11569626,11569630,11569627
5417,11780260,11569634,11569632,0,11569633
5418,11780261,1,0,0,0
5419,11780262,0,0,1,0
5420,11780263,0,0,1,0
5421,11780264,0,0,1,0
5500,0,0,0,0,0
5501,11780287,0,0,0,1
5502,11780288,0,0,0,1
5503,11780289,0,0,0,1
5504,11780290,0,1,0,0
5505,11780291,11632628,0,11632627,11632613
5506,11780292,0,0,11632624,11632611
5507,11780293,0,11632625,11632626,11632619
5508,11780294,1,0,0,0
5509,11780295,0,1,0,0
5510,11780296,11632629,11632616,11632615,11632614
5511,11780297,11632636,11632637,11632638,11632635
5512,11780298,11632622,11632634,11632621,11632620
5513,11780299,1,0,0,0
5514,11780300,0,1,0,0
5515,11780301,11632630,0,11632618,11632617
5516,11780302,0,0,11632612,11632632
5517,11780303,0,11632633,11632623,11632631
5518,11780304,1,0,0,0
5519,11780305,0,0,1,0
5520,11780306,0,0,1,0
5521,11780307,0,0,1,0
5600,0,0,0,0,0
5601,11780907,0,0,0,1
5602,11780908,0,0,0,1
5603,11780909,0,0,0,1
5604,11780910,0,1,0,0
5605,11780911,11746563,11746558,11746577,0
5606,11780912,11746560,11746559,11746578,11746561
5607,11780913,11746562,11746574,11746565,0
5608,11780914,1,0,0,0
5609,11780915,0,1,0,0
5610,11780916,11746576,11746551,0,0
5611,11780917,11746570,11746567,11746569,11746568
5612,11780918,11746552,11746572,0,0
5613,11780919,1,0,0,0
5614,11780920,0,1,0,0
5615,11780921,11746571,11746553,0,11746566
5616,11780922,11746555,11746554,11746556,11746575
5617,11780923,11746557,11746573,0,11746564
5618,11780924,1,0,0,0
5619,11780925,0,0,1,0
5620,11780926,0,0,1,0
5621,11780927,0,0,1,0
5700,0,0,0,0,0
5701,11780950,0,0,0,1
5702,11780951,0,0,0,1
5703,11780952,0,0,0,1
5704,11780953,0,1,0,0
5705,11780954,11746593,0,11746601,11746581
5706,11780955,0,0,11746605,11746579
5707,11780956,0,11746600,11746591,11746586
5708,11780957,1,0,0,0
5709,11780958,0,1,0,0
5710,11780959,11746606,11746584,11746583,11746582
5711,11780960,11746596,11746597,11746598,11746595
5712,11780961,11746589,11746599,11746588,11746587
5713,11780962,1,0,0,0
5714,11780963,0,1,0,0
5715,11780964,11746592,0,11746585,11746594
5716,11780965,0,0,11746580,11746604
5717,11780966,0,11746603,11746590,11746602
5718,11780967,1,0,0,0
5719,11780968,0,0,1,0
5720,11780969,0,0,1,0
5721,11780970,0,0,1,0
5800,0,0,0,0,0
5801,11781484,0,0,0,1
5802,11781485,0,0,0,1
5803,11781486,0,0,0,1
5804,11781487,0,1,0,0
5805,11781488,11575044,11575045,11575043,0
5806,11781489,11575046,11575047,11575048,11575049
5807,11781490,11575051,11575052,11575050,0
5808,11781491,1,0,0,0
5809,11781492,0,1,0,0
5810,11781493,11575053,11575054,0,0
5811,11781494,11575055,11575056,11575057,11575058
5812,11781495,11575059,11575060,0,0
5813,11781496,1,0,0,0
5814,11781497,0,1,0,0
5815,11781498,11575061,11575063,0,11575062
5816,11781499,11575064,11575067,11575065,11575066
5817,11781500,11575068,11575070,0,11575069
5818,11781501,1,0,0,0
5819,11781502,0,0,1,0
5820,11781503,0,0,1,0
5821,11781504,0,0,1,0
5900,0,0,0,0,0
5901,11781527,0,0,0,1
5902,11781528,0,0,0,1
5903,11781529,0,0,0,1
5904,11781530,0,1,0,0
5905,11781531,11575075,0,11575076,11575077
5906,11781532,0,0,11575078,11575079
5907,11781533,0,11575082,11575080,11575081
5908,11781534,1,0,0,0
5909,11781535,0,1,0,0
5910,11781536,11575083,11575086,11575084,11575085
5911,11781537,11575087,11575090,11575088,11575089
5912,11781538,11575091,11575094,11575093,11575092
5913,11781539,1,0,0,0
5914,11781540,0,1,0,0
5915,11781541,11575095,0,11575096,11575097
5916,11781542,0,0,11575098,11575099
5917,11781543,0,11575102,11575101,11575100
5918,11781544,1,0,0,0
5919,11781545,0,0,1,0
5920,11781546,0,0,1,0
5921,11781547,0,0,1,0
