#,Scale,ArrayEventHandler,Behavior,ModelChara,BNpcCustomize,NpcEquip,Special,Unknown9,Battalion,LinkRace,Rank,SEPack,Unknown0,BNpcParts,Unknown1,Unknown2,Unknown3,Unknown10,Unknown4,IsOmnidirectional,Unknown6,IsTargetLine,IsDisplayLevel,Unknown7,Unknown_70,Unknown8
2019,1,0,0,380,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2020,1,0,0,361,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2021,1.5,0,0,226,0,0,3292,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2022,1,0,0,402,0,0,0,0,4,0,0,2,3,0,1,0,0,0,0,True,False,False,True,False,False,False
2023,1,0,0,224,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2024,1,0,0,559,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2025,1.5,0,0,560,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2026,1,0,0,379,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2027,1.1,0,0,0,293,725,7621,0,4,0,6,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2028,1,0,0,0,37,380,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2029,1,0,0,0,38,381,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2030,1,0,0,0,223,382,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2031,3.5,0,0,253,0,662,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2032,1,0,0,477,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,False,False
2033,1,0,0,523,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,False,False
2034,1,0,0,557,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,False,True,True,False,False,False
2035,1,0,0,512,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,False,False
2036,1,0,0,513,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,True,False,False,True,False,False,False
2037,1,0,0,55,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2038,1,0,0,304,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2039,1.5,0,0,306,0,0,0,0,4,0,2,0,0,3,1,0,0,0,0,False,True,True,True,False,False,False
2040,2,0,0,303,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2041,1,0,0,550,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2042,1,0,0,510,0,0,0,0,4,0,6,0,8,0,1,0,0,0,0,True,True,True,False,False,False,False
2043,1,0,0,480,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2044,1,0,0,0,45,473,7602,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2045,1,0,0,0,306,668,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2046,1,0,0,6,0,680,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2047,1,0,0,6,0,319,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2048,0.9,0,0,0,332,692,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2049,1,0,0,412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2050,1,0,0,0,31,477,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2051,1,0,0,0,49,386,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2052,1,0,30052,0,186,388,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2053,1,0,0,0,333,693,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2054,1,0,0,0,334,694,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2055,0.9,0,0,0,332,692,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2056,1,0,0,412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2057,1,0,0,0,50,387,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2058,1,0,0,0,186,26,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2059,0.9,0,0,0,214,540,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2060,1,0,0,0,49,386,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2061,0.9,0,0,0,335,695,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2062,1,0,0,412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2063,1,0,0,0,333,693,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2064,1,0,0,0,334,694,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2065,1,0,0,10,0,345,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2066,1,0,0,10,0,344,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2067,1,0,0,0,249,544,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2068,2.8,0,0,63,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2069,1.5,0,0,63,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2070,2,0,0,110,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2071,1,0,0,0,31,477,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2072,1,0,0,0,49,386,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2073,1,0,0,0,50,387,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2074,0.9,0,0,0,187,520,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2075,0.9,0,0,0,332,723,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2076,1,0,0,412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2077,1,0,0,532,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,False,False,True,True,False,False,False
2078,0.9,0,0,0,214,540,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2079,1,0,0,0,249,544,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2080,1,0,30052,0,418,702,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2081,2,0,0,341,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2082,1,0,0,361,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2083,1,0,0,400,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2084,1,0,0,401,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2085,1,0,0,519,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2086,1,0,0,520,0,735,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2087,10,0,0,103,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2088,2,0,912,100,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2089,1,852243,0,58,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2090,1.5,852281,0,24,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2091,6,852282,0,562,0,0,3362,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2092,2,852322,0,101,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2093,1,852272,0,365,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2094,1.5,852374,0,362,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2095,1,852196,0,0,49,386,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2096,1,852197,0,0,51,388,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2097,1,0,0,0,188,521,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2098,1,852289,0,0,49,386,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2099,1,0,0,0,188,521,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2100,1,0,0,0,51,388,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2101,1,852292,0,0,50,387,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2102,1.1,852201,0,0,51,388,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2103,1,0,0,0,214,699,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2104,1,0,0,528,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2105,1,0,0,0,221,156,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2106,1,0,0,0,214,106,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2107,1,0,0,488,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2108,1,0,0,530,0,0,0,0,4,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2109,1,0,0,1,0,434,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2110,1.5,0,0,3,0,300,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2111,1.5,0,0,5,0,314,0,0,5,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2112,1,0,0,0,218,199,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2113,1.2,0,0,3,0,300,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2114,1.2,0,0,3,0,303,0,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2115,1,0,0,531,0,0,0,0,4,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2116,1.2,0,0,0,462,390,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2117,6,0,0,110,0,0,3317,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2118,2,0,0,145,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2119,1.2,0,0,0,36,379,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2120,2.5,0,0,7,0,325,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2121,2.5,0,0,7,0,323,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2122,2.5,0,0,7,0,324,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2123,3,0,0,45,0,0,3251,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2124,3,0,0,121,0,422,3115,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2125,2,0,0,106,0,0,3117,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2126,2,0,0,5,0,315,3320,0,8,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2127,5,0,0,178,0,0,3250,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2128,5,0,0,267,0,0,3315,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2129,2.5,0,0,378,0,0,3311,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2130,2,0,0,95,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2131,2,0,0,3,0,301,3325,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2132,2,0,0,3,0,303,3325,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2133,1.3,0,0,0,67,404,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2134,2,0,0,3,0,302,3325,0,7,1,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2135,4,0,0,169,0,0,3279,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2136,3,0,0,215,0,0,3289,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2137,3,0,0,228,0,0,3294,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2138,5,0,0,101,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2139,1,0,0,0,318,682,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2140,1,0,0,0,319,683,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2141,2,0,0,18,0,427,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2142,3,0,0,65,0,0,3269,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2143,2.5,0,0,198,0,0,3287,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2144,7,0,0,358,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2145,2,0,0,9,0,339,3322,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2146,2,0,0,9,0,339,3322,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2147,2,0,0,9,0,340,3322,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2148,3,0,0,356,0,0,3312,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2149,4,0,0,355,0,0,3260,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2150,3,0,0,364,0,0,3261,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2151,1.2,0,0,10,0,343,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2152,3,0,0,67,0,0,3269,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2153,2,0,0,5,0,313,3320,0,8,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2154,2,0,0,5,0,314,3320,0,8,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2155,5,0,0,80,0,0,3313,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2156,6,0,0,131,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2157,3,0,0,81,0,0,3114,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2158,2,0,0,216,0,0,3290,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2159,2,0,0,376,0,0,3309,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2160,2,0,0,372,0,0,3308,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2161,1,0,0,480,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2162,1,0,0,0,237,700,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2163,1,0,0,0,248,700,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2164,1,0,0,0,246,199,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2165,1,0,0,0,221,156,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2166,1,0,0,0,214,194,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2167,1,0,0,0,213,98,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2168,1,0,0,0,218,681,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2169,1,0,0,0,225,380,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2170,1,0,0,0,213,381,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2171,1,0,0,0,242,384,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2172,1,0,0,0,301,660,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2173,1,0,0,0,302,661,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2174,1,0,0,412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2175,1,0,0,0,221,385,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2176,1,0,0,0,214,379,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2177,2,0,0,213,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2178,2,0,0,253,0,662,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2179,1,0,0,1287,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,False,True,False,False,False,False
2180,1,0,0,0,410,385,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2181,1,0,0,0,217,700,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2182,1,0,0,0,216,700,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2183,1,0,0,316,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2184,0.5,0,0,317,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2185,0.5,0,0,319,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2186,0.5,0,0,322,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2187,2.5,852356,0,61,0,0,3059,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2188,2,852365,0,137,0,0,3274,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2189,2,852326,0,149,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2190,1,0,0,0,65,403,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2191,1,0,0,0,66,404,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2192,1,0,0,0,67,405,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2193,2.5,852249,0,145,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2194,1.5,0,0,59,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2195,1.5,852328,0,5,0,312,0,0,8,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2196,1.7,852366,0,151,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2197,2.5,852368,0,188,0,0,3284,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2198,2,852321,0,265,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2199,1,0,0,529,0,0,0,0,4,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2200,1.5,0,0,17,0,416,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2201,1,0,0,480,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2202,2,0,0,17,0,417,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2203,1,0,0,416,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2204,1,0,0,386,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2205,1,0,0,84,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2206,1,0,0,0,308,670,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2207,1,0,0,415,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2208,0.9,0,0,0,307,669,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2209,1,0,0,417,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2210,1,0,0,302,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2211,0.9,0,0,0,307,669,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2212,0.4,0,0,417,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2213,0.4,0,0,417,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2214,1,0,0,0,237,652,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2215,1,0,0,0,213,654,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2216,1,0,0,0,214,653,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2217,1,0,0,0,227,651,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2218,1,0,0,0,308,670,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2219,2,0,0,537,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2220,0.9,0,0,0,307,669,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2221,0.6,0,0,376,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2222,2,0,0,389,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2223,1.5,0,0,160,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2224,1,0,0,7,0,323,0,0,5,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2225,1,0,0,7,0,324,0,0,5,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2226,1,0,0,7,0,325,0,0,5,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2227,1,0,0,533,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2228,2,0,0,233,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2229,1,0,0,541,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,False,True,False,False,False,False
2230,1,0,0,518,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,False,False,True,True,False,False,False
2231,1,0,0,0,237,652,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2232,1,0,0,249,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,True,True,True,False,False,False
2233,1,0,0,237,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,True,True,True,False,False,False
2234,1,0,0,480,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,False,False,True,False,False,False
2235,1,852031,0,14,0,360,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2236,1,0,0,381,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2237,1,0,0,488,0,0,0,0,4,0,0,2,3,0,1,0,0,0,0,True,True,False,False,False,False,False
2238,1,852349,0,0,61,399,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2239,1.5,852372,0,24,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2240,2.5,852373,0,24,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2241,2,852369,0,36,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2242,2,852370,0,36,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2243,3,852371,0,36,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2244,1,0,0,405,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,True,False,False,True,False,False,False
2245,1,0,0,536,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,False,False,True,False,False,False,False
2246,1,852315,0,0,221,111,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2247,1,0,0,0,330,690,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,True,False,False,False
2248,1.1,0,0,0,213,724,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2249,3.5,0,0,253,0,662,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2250,1,0,0,331,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2251,1.1,0,0,0,213,724,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2252,3.5,0,0,253,0,662,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2253,1,0,0,331,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2254,1.1,0,0,0,213,724,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2255,2,0,0,213,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2256,1,0,0,331,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2257,1,852363,0,0,217,240,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2258,1,852364,0,0,218,240,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2259,1.1,852359,0,0,81,730,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2260,1.1,852367,0,0,82,731,0,0,4,0,1,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2261,3,0,0,90,0,656,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2262,1,0,0,508,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2263,1,0,0,387,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2264,2,852376,0,37,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2265,2,852378,0,81,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2266,2,852381,0,100,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
