#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
116,bottle of G1 wildfire weakener,bottles of G1 wildfire weakener,G1 Wildfire Weakener,"Grants **Through Fire** to self and nearby allies.
**Through Fire Effect:** 50% chance to absorb fire damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243176,47,2
117,bottle of G2 wildfire weakener,bottles of G2 wildfire weakener,G2 Wildfire Weakener,"Grants **Through Fire** to self and nearby allies.
**Through Fire Effect:** 70% chance to absorb fire damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243177,95,2
118,bottle of G1 wildwave weakener,bottles of G1 wildwave weakener,G1 Wildwave Weakener,"Grants **Through Water** to self and nearby allies.
**Through Water Effect:** 50% chance to absorb water damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243178,47,2
119,bottle of G2 wildwave weakener,bottles of G2 wildwave weakener,G2 Wildwave Weakener,"Grants **Through Water** to self and nearby allies.
**Through Water Effect:** 70% chance to absorb water damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243179,95,2
120,bottle of G1 wildearth weakener,bottles of G1 wildearth weakener,G1 Wildearth Weakener,"Grants **Through Earth** to self and nearby allies.
**Through Earth Effect:** 50% chance to absorb earth damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243180,47,2
121,bottle of G2 wildearth weakener,bottles of G2 wildearth weakener,G2 Wildearth Weakener,"Grants **Through Earth** to self and nearby allies.
**Through Earth Effect:** 70% chance to absorb earth damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243181,95,2
122,bottle of G1 wildthunder weakener,bottles of G1 wildthunder weakener,G1 Wildthunder Weakener,"Grants **Through Thunder** to self and nearby allies.
**Through Thunder Effect:** 50% chance to absorb lightning damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243182,47,2
123,bottle of G2 wildthunder weakener,bottles of G2 wildthunder weakener,G2 Wildthunder Weakener,"Grants **Through Thunder** to self and nearby allies.
**Through Thunder Effect:** 70% chance to absorb lightning damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243183,95,2
124,bottle of G1 wildgale weakener,bottles of G1 wildgale weakener,G1 Wildgale Weakener,"Grants **Through Wind** to self and nearby allies.
**Through Wind Effect:** 50% chance to absorb wind damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243184,47,2
125,bottle of G2 wildgale weakener,bottles of G2 wildgale weakener,G2 Wildgale Weakener,"Grants **Through Wind** to self and nearby allies.
**Through Wind Effect:** 70% chance to absorb wind damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243185,95,2
126,bottle of G1 wildfreeze weakener,bottles of G1 wildfreeze weakener,G1 Wildfreeze Weakener,"Grants **Through Ice** to self and nearby allies.
**Through Ice Effect:** 50% chance to absorb ice damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243186,47,2
127,bottle of G2 wildfreeze weakener,bottles of G2 wildfreeze weakener,G2 Wildfreeze Weakener,"Grants **Through Ice** to self and nearby allies.
**Through Ice Effect:** 70% chance to absorb ice damage as HP
**Duration:** 15s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243187,95,2
128,fang of fire,fangs of fire,Fang of Fire,"Deals ranged fire damage with a potency of 2,500 to target and all enemies within 12 yalms of it.
**Additional Effect:** Targets suffering from **Deep Freeze** receive additional damage with a potency of 1,000
Damage is affected by magic damage increase effects of other beast gear, items, or abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243188,45,2
129,fang of ice,fangs of ice,Fang of Ice,"Deals ranged ice damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
**Additional Effect:** Afflicts target with **Deep Freeze**
**Duration:** 20s
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243189,45,2
130,fang of water,fangs of water,Fang of Water,"Deals ranged water damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
**Additional Effect:** Removes one beneficial status from target, thereby granting 100 TP
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243190,45,2
131,fang of lightning,fangs of lightning,Fang of Lightning,"Deals ranged lightning damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
**Additional Effect:** Afflicts target with **Paralysis**
**Duration:** 30s
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243191,45,2
132,fang of earth,fangs of earth,Fang of Earth,"Deals ranged earth damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
**Additional Effect:** Afflicts target with **Heavy**
**Duration:** 60s
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243192,45,2
133,fang of wind,fangs of wind,Fang of Wind,"Deals ranged wind damage with a potency of 2,000 to target and all enemies within 12 yalms of it.
**Additional Effect:** 15-yalm knockback
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243193,45,2
134,vampiric fang,vampiric fangs,Vampiric Fang,"Deals ranged piercing physical damage with a potency of 1,500 to target and all enemies within 12 yalms of it.
Potency increases up to 3,300 as your maximum HP increases, and damage is partially absorbed as HP.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243194,68,2
135,bottle of vampiric essence,bottles of vampiric essence,Vampiric Essence,"Grants **Life Siphon** to self or familiar.
**Life Siphon Effect:** Absorbs 10% of damage dealt as HP
**Duration:** 60s
**Additional Effect:** When carrying demonic armor, duration increases to 90s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243195,378,2
136,tome of reflection,tomes of reflection,Tome of Reflection,"Grants **Reflect** to self or familiar.
**Reflect Effect:** Reflects most magic attacks back at the caster
**Duration:** 30s
**Additional Effect:** When carrying a hexed hat, duration increases to 60s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243196,81,2
137,tome of the impervious,tomes of the impervious,Tome of the Impervious,"Grants five stacks of **Blink** to self or familiar.
**Blink Effect:** Nullifies most physical attacks, reducing one stack per nullification
**Duration:** 120s
**Spirit of the Breathtaker Effect:** Grants three additional stacks
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243197,63,2
138,pinch of temporal sand,pinches of temporal sands,Temporal Sand,"Grants **Sandstill** to self.
**Sandstill Effect:** Returns you to the moment combat commences upon incapacitation
※Can only be used outside of combat.",,0,0,0,1,0,0,243198,315,2
139,pinch of celestial sand,pinches of celestial sands,Celestial Sand,"Calls down a **Starstorm** that deals fire damage with a potency of 3,000 to target and all enemies within 18 yalms of it.
**Additional Effect:** Increases **TP Gauge** by 50 for every enemy hit
**Additional Effect:** Reduces target's fire resistance by 20%
**Duration:** 60s
Damage is affected by magic damage increase effects of other beast gear, items, and abilities.
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243199,72,2
140,beast potion kit,beast potion kits,Beast Potion Kit,"Grants **Auto-potion** to self.
**Auto-potion Effect:** Restores 40% of HP automatically when HP falls below 50%
50% chance for the effect to expire when triggered. Chance is reduced to 10% when under the effect of **Spirit of the Breathtaker**.
**Duration:** 150s
**Additional Effect:** When carrying thief's garb, duration increases to 240s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243200,189,2
141,beast remedy kit,beast remedy kits,Beast Remedy Kit,"Grants **Auto-remedy** to self.
**Auto-remedy Effect:** Automatically cures the next status ailment suffered
**Duration:** 240s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243201,32,2
142,spellforge tome,spellforge tomes,Spellforge Tome,"Ensures all attacks deal magic damage. Effects also apply to familiars.
**Duration:** 180s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243202,63,2
143,steelsting tome,steelsting tomes,Steelsting Tome,"Ensures all attacks deliver physical damage. Effects also apply to familiars.
**Duration:** 180s
※Can only be used on Crucible battlegrounds.",,0,0,0,1,0,0,243203,63,2
144,G1 primafodder,G1 primafodders,G1 Primafodder,"Maximum HP +15%
Damage Dealt +5%
**Additional Effect:** Restores 10% of HP upon consumption
**Additional Effect:** Increases familiar's earned EXP by 25%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243076,0,3
145,G2 primafodder,G2 primafodders,G2 Primafodder,"Maximum HP +30%
Damage Dealt +10%
**Additional Effect:** Restores 18% of HP upon consumption
**Additional Effect:** Increases familiar's earned EXP by 50%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243077,0,3
146,meat simular,meat simulars,Meat Simular,"Physical Damage Dealt +20%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243078,0,3
147,hydrolixer,hydrolixers,Hydrolixer,"**Aetheric Burst** Potency +35%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243079,0,3
148,honey simular,honey simulars,Honey Simular,"Physical Vulnerability -25%
**Aetheric Burst** Potency +10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243080,0,3
149,crab ball simular,crab ball simulars,Crab Ball Simular,"Critical Hit Rate +35%
Magic Vulnerability -30%
Maximum HP +10%
**Additional Effect:** Restores 7% of HP upon consumption
[Suitable for soulkin.]",,0,0,0,1,0,0,243081,0,3
150,banana simular,banana simulars,Banana Simular,"**Aetheric Burst** Potency +10%
Grants one stack of **Physical Damage Up** upon landing a critical hit.
**Physical Damage Up Effect:** Increases physical damage dealt by 10%
**Duration:** 30s
**Maximum Stacks:** 5
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243082,0,3
151,berry simular,berry simulars,Berry Simular,"Critical Hit Power +60
**Aetheric Burst** Potency +10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243083,0,3
152,egg simular,egg simulars,Egg Simular,"**Haste** +5%
Physical Damage Dealt +25%
[Suitable for beastkin, vilekin, cloudkin, wavekin, and scalekin.]",,0,0,0,1,0,0,243084,0,3
153,yellow egg simular,yellow egg simulars,Yellow Egg Simular,"**Haste** +15%
Damage Dealt +5%
Maximum HP +35%
**Additional Effect:** Restores 20% of HP upon consumption
[Suitable for seedkin.]",,0,0,0,1,0,0,243085,0,3
154,tomato simular,tomato simulars,Tomato Simular,"Evasion +10%
Physical Damage Dealt +10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, and ashkin.]",,0,0,0,1,0,0,243086,0,3
155,milk simular,milk simulars,Milk Simular,"**Haste** +5%
Maximum HP +50%
**Additional Effect:** Restores 26% of HP upon consumption
[Suitable for beastkin, vilekin, cloudkin, wavekin, and scalekin.]",,0,0,0,1,0,0,243087,0,3
156,rolanberry cheese simular,rolanberry cheese simulars,Rolanberry Cheese Simular,"**Haste** +5%
**Aetheric Burst** Potency +25%
[Suitable for beastkin, vilekin, cloudkin, wavekin, and scalekin.]",,0,0,0,1,0,0,243088,0,3
157,porcini simular,porcini simulars,Porcini Simular,"Poison Resistance +100%
Damage Taken -10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243089,0,3
158,morel simular,morel simulars,Morel Simular,"Paralysis Resistance +100%
Damage Taken -10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243090,0,3
159,black truffle simular,black truffle simulars,Black Truffle Simular,"Blind Resistance +100%
Damage Taken -10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243091,0,3
160,white truffle simular,white truffle simulars,White Truffle Simular,"Petrification Resistance +100%
Damage Taken -10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243092,0,3
161,mushroom simular,mushroom simulars,Mushroom Simular,"Sleep Resistance +100%
Damage Taken -10%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243093,0,3
162,sole simular,sole simulars,Sole Simular,"Physical Damage Dealt +20%
TP Accumulation +50%
[Suitable for cloudkin.]",,0,0,0,1,0,0,243094,0,3
163,magnum water,magnum waters,Magnum Water,"Maximum HP +30%
Damage Dealt +15%
**Additional Effect:** Restores 18% of HP upon consumption
Grants one stack of **Rehabilitation** upon defeating an enemy.
**Rehabilitation Effect:** Restores 3% of maximum HP at regular intervals
**Duration:** 6s
**Maximum Stacks:** 8
[Suitable for wavekin.]",,0,0,0,1,0,0,243095,0,3
164,blood simular,blood simulars,Blood Simular,"Critical Hit Rate +50%
Damage Dealt +35%
**Additional Effect:** Inflicts damage over time on self
[Suitable for vilekin.]",,0,0,0,1,0,0,243096,0,3
165,noble blood simular,noble blood simulars,Noble Blood Simular,"Maximum HP +20%
Critical Hit Rate +15%
**Additional Effect:** Restores 13% of HP upon consumption
5% chance to grant one stack of **Rehabilitation** upon landing a critical hit.
**Rehabilitation Effect:** Restores 3% of maximum HP at regular intervals
**Duration:** 6s
**Maximum Stacks:** 8
[Suitable for wavekin.]",,0,0,0,1,0,0,243097,0,3
166,lily simular,lily simulars,Lily Simular,"Damage Dealt +10%
Damage Taken -10%
**Additional Effect:** Preserves the effects of feed when resting at a campsite
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243098,0,3
167,flounder simular,flounder simulars,Flounder Simular,"Physical Damage Dealt +10%
30% chance to recover TP upon completing a combo with a familiar instinctual skill.
[Suitable for beastkin, vilekin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243099,0,3
168,white scorpion simular,white scorpion simulars,White Scorpion Simular,"Grants **Reflect** when summoned by a beastmaster.
**Reflect Effect:** Reflects most magic attacks back at the caster
**Duration:** 60s
[Suitable for scalekin.]",,0,0,0,1,0,0,243100,0,3
169,black scorpion simular,black scorpion simulars,Black Scorpion Simular,"Damage Dealt +15%
Damage Taken -35%
3% chance to inflict **Poison** on self upon suffering damage.
**Duration:** 30s
[Suitable for scalekin.]",,0,0,0,1,0,0,243101,0,3
170,herring simular,herring simulars,Herring Simular,"**Aetheric Burst** Potency +25%
35% chance to recover TP upon completing a combo with a familiar instinctual skill.
[Suitable for cloudkin.]",,0,0,0,1,0,0,243102,0,3
171,angelfish simular,angelfish simulars,Angelfish Simular,"Damage Taken -10%
TP Accumulation +30%
[Suitable for beastkin, vilekin, seedkin, wavekin, and ashkin.]",,0,0,1,1,0,0,243103,0,3
172,grape simular,grape simulars,Grape Simular,"Critical Hit Rate +35%
Physical Damage Dealt +15%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243104,0,3
173,orange simular,orange simulars,Orange Simular,"Critical Hit Rate +25%
**Aetheric Burst** Potency +20%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,1,1,0,0,243105,0,3
174,lugworm simular,lugworm simulars,Lugworm Simular,"Maximum HP +30%
**Additional Effect:** Restores 18% of HP upon consumption
Grants one stack of **Magic Vulnerability Down** upon suffering damage.
**Magic Vulnerability Down Effect:** Reduces magic damage taken by 5%
**Duration:** 60s
**Maximum Stacks:** 8
[Suitable for soulkin.]",,0,0,0,1,0,0,243106,0,3
175,crucible tonic,crucible tonics,Crucible Tonic,"Grants one stack of **High Wire** upon defeating an enemy.
**High Wire Effect:** Increases damage dealt by 15% and reduces damage taken by 8%
**Duration:** 60s
**Maximum Stacks:** 4
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243107,0,3
176,carrot simular,carrot simulars,Carrot Simular,"Evasion +10%
**Aetheric Burst** Potency +5%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, and ashkin.]",,0,0,0,1,0,0,243108,0,3
177,onion simular,onion simulars,Onion Simular,"Evasion +15%
Damage Taken -5%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, and ashkin.]",,0,0,1,1,0,0,243109,0,3
178,lettuce simular,lettuce simulars,Lettuce Simular,"Evasion +5%
Grants one stack of **High Wire** for each attack evaded.
**High Wire Effect:** Increases damage dealt by 15% and reduces damage taken by 8%
**Duration:** 60s
**Maximum Stacks:** 4
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, and ashkin.]",,0,0,0,1,0,0,243110,0,3
179,lemon simular,lemon simulars,Lemon Simular,"**Aetheric Burst** Potency +10%
Grants one stack of **Blink** upon landing a critical hit.
**Blink Effect:** Nullifies most physical attacks, reducing one stack per nullification
**Duration:** 120s
**Maximum Stacks:** 5
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243111,0,3
180,untaming oil,untaming oils,Untaming Oil,"**Haste** +20%
Grants one stack of **High Wire** for each combo completed with a familiar instinctual skill.
**High Wire Effect:** Increases damage dealt by 15% and reduces damage taken by 8%
**Duration:** 60s
**Maximum Stacks:** 4
[Suitable for soulkin.]",,0,0,0,1,0,0,243112,0,3
181,mucus simular,mucus simulars,Mucus Simular,"Damage Dealt +30%
Damage Taken -30%
Inflicts **Nightmare** on self upon landing a critical hit.
**Duration:** 30s
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243113,0,3
182,sap simular,sap simulars,Sap Simular,"Physical Vulnerability -40%
**Aetheric Burst** Potency +20%
[Suitable for scalekin.]",,0,0,0,1,0,0,243114,0,3
183,salt simular,salt simulars,Salt Simular,"Evasion +25%
15% chance to grant **Stoneskin** upon evading an attack.
**Stoneskin Effect:** Absorbs damage equivalent to 12% of maximum HP
**Duration:** 60s
[Suitable for soulkin.]",,0,0,0,1,0,0,243115,0,3
184,syrup simular,syrup simulars,Syrup Simular,"Damage Dealt +30%
Physical Vulnerability -30%
3% chance to inflict **Paralysis** on self upon suffering damage.
**Duration:** 30s
[Suitable for vilekin.]",,0,0,0,1,0,0,243116,0,3
185,cream cheese simular,cream cheese simulars,Cream Cheese Simular,"Maximum HP +50%
Damage Taken -20%
**Additional Effect:** Restores 26% of HP upon consumption
50% chance to grant one stack of **Haste** upon suffering damage.
**Haste Effect:** Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 3%
**Duration:** 60s
**Maximum Stacks:** 5
[Suitable for seedkin.]",,0,0,0,1,0,0,243117,0,3
186,red egg simular,red egg simulars,Red Egg Simular,"**Haste** +15%
Damage Dealt +30%
**Additional Effect:** Inflicts damage over time on self
[Suitable for beastkin, vilekin, cloudkin, wavekin, and scalekin.]",,0,0,0,1,0,0,243118,0,3
187,toast simular,toast simulars,Toast Simular,"Magic Vulnerability -30%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243119,0,3
188,cornbread simular,cornbread simulars,Cornbread Simular,"Magic Vulnerability -40%
**Aetheric Burst** Potency +10%
Maximum HP +15%
**Additional Effect:** Restores 10% of HP upon consumption
[Suitable for vilekin.]",,0,0,0,1,0,0,243120,0,3
189,mandrake simular,mandrake simulars,Mandrake Simular,"Physical Damage Dealt +40%
Inflicts **Blind** on self upon landing a critical hit.
**Duration:** 30s
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243121,0,3
190,tarantula simular,tarantula simulars,Tarantula Simular,"Critical Hit Rate +25%
Grants one stack of **Damage Up** upon landing a critical hit.
**Damage Up Effect:** Increases damage dealt by 10%
**Duration:** 60s
**Maximum Stacks:** 5
[Suitable for soulkin.]",,0,0,0,1,0,0,243122,0,3
191,belladonna simular,belladonna simulars,Belladonna Simular,"Damage Taken -30%
Maximum HP +30%
**Additional Effect:** Restores 18% of HP upon consumption
3% chance to inflict **Petrification** on self upon suffering damage.
**Duration:** 30s
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, soulkin, and ashkin.]",,0,0,0,1,0,0,243123,0,3
192,steak simular,steak simulars,Steak Simular,"Delivers blunt physical damage with a potency of 350 each time your familiar suffers physical damage.
Counter damage is affected by physical damage increase effects of other feed and crucible items, and your familiar's strength.
[Suitable for beastkin, vilekin, cloudkin, scalekin, and ashkin.]",,0,0,0,1,0,0,243124,0,3
193,roe simular,roe simulars,Roe Simular,"**Aetheric Burst** Potency +10%
30% chance to recover TP upon completing a combo with a familiar instinctual skill.
[Suitable for beastkin, vilekin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243125,0,3
194,herbal tea simular,herbal tea simulars,Herbal Tea Simular,"Grants **Stoneskin** when summoned by a beastmaster.
**Stoneskin Effect:** Absorbs damage equivalent to 24% of maximum HP
**Duration:** 60s
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243126,0,3
195,honeycomb simular,honeycomb simulars,Honeycomb Simular,"Physical Vulnerability -30%
Damage Dealt +10%
30% chance to recover TP upon completing a combo with a familiar instinctual skill.
[Suitable for soulkin.]",,0,0,0,1,0,0,243127,0,3
196,orange juice simular,orange juice simulars,Orange Juice Simular,"Magic Damage Dealt +30%
**Aetheric Burst** Potency +15%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,1,1,0,0,243128,0,3
197,grape juice simular,grape juice simulars,Grape Juice Simular,"Physical Damage Dealt +30%
**Aetheric Burst** Potency +50%
Maximum HP -80%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243129,0,3
198,skewer simular,skewer simulars,Skewer Simular,"**Slow** +200%
Physical Damage Dealt +50%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243130,0,3
199,pineapple juice simular,pineapple juice simulars,Pineapple Juice Simular,"**Slow** +200%
Magic Damage Dealt +50%
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, scalekin, and ashkin.]",,0,0,0,1,0,0,243131,0,3
200,oyster simular,oyster simulars,Oyster Simular,"Increases **Familiar TP Gauge** by 100 upon commencing battle or when summoned by a beastmaster during combat.
[Suitable for cloudkin.]",,0,0,1,1,0,0,243132,0,3
201,blue cheese simular,blue cheese simulars,Blue Cheese Simular,"Deals unaspected damage with a potency of 350 each time your familiar suffers magic damage.
Counter damage is affected by magic damage increase effects of other feed and crucible items, and your familiar's intelligence.
[Suitable for seedkin and wavekin.]",,0,0,0,1,0,0,243133,0,3
202,cottage cheese simular,cottage cheese simulars,Cottage Cheese Simular,"Maximum HP +30%
**Haste** +15%
**Additional Effect:** Restores 18% of HP upon consumption
30% chance to recover TP upon completing a combo with a familiar instinctual skill.
[Suitable for vilekin.]",,0,0,0,1,0,0,243134,0,3
203,lassi simular,lassi simulars,Lassi Simular,"Maximum HP +30%
**Additional Effect:** Restores 18% of HP upon consumption
**Additional Effect:** Completely restores HP at campsites
[Suitable for beastkin, vilekin, cloudkin, seedkin, wavekin, and scalekin.]",,0,0,0,1,0,0,243135,0,3
204,,,,,,0,0,0,1,0,0,0,0,0
205,,,,,,0,0,0,1,0,0,0,0,0
