#,X,Y,Z,Rot,ENPC,Behavior
119.0,0.02,23.6,-3.26,360,1043467,33403
119.1,-9.11,17.49,-2.31,308.955,1043467,33403
119.2,-0.01,0.24,8.28,180,1043467,33403
119.3,-7.47,6.5,7.69,335.274,1043467,33403
119.4,7.33,15.54,-4.07,90,1043467,33403
119.5,-3.38,0,11.17,163.146,1043101,33410
120.0,-12.65,21.94,11.39,-50.5759,1043467,33410
120.1,9.39,9.39,-2.35,89.1816,1043467,33410
120.2,-0.98,13.3,-8.76,-127.075,1043467,33410
120.3,8.03,13.65,-1.93,89.1044,1043467,33410
120.4,2.28,6.87,-1.95,-55.8798,1043467,33410
120.5,2.98,0,15.54,-178.132,1043101,33410
121.0,0.01,41.6,2.83,0,1043467,33410
121.1,-4.79,29.92,4.84,-46.5493,1043467,33410
121.2,-2.09,10.24,1.57,-162.79,1043467,33410
121.3,-9.89,0.5,0.12,89.1044,1043467,33410
121.4,4.59,18.52,-4.59,-13.6731,1043467,33410
121.5,-2.95,0,14.57,175.426,1043101,33410
122.0,5.73,0.05,0.15,-96.0646,1043468,33394
122.1,2.8,0.05,-4.99,-25.8593,1043468,33394
122.2,-3,0.05,-4.86,38.2669,1043468,33394
122.3,-6.11,0.05,0.13,93.9321,1043468,33394
123.0,-1.41,6.72,-0.87,85.213,1043467,33396
123.1,-2.9,5.07,0.06,94.397,1043467,33396
123.2,6.1,0.16,6.06,51.4319,1043467,33398
123.3,-0.02,8.23,1.6,186.2,1043455,33610
124.0,-0.94,8.3,6.99,-3.7224,1043467,33403
124.1,-8.92,5,0.03,-97,1043467,33403
124.2,1.85,5,-6.95,167.077,1043467,33403
124.3,8.95,7,0.03,104.158,1043467,33403
124.4,6.41,7,6.37,46.8964,1043467,33403
125.0,6.55,0.05,-4.81,168.432,1043456,33607
125.1,-5.75,0.16,5.85,141.575,1043467,33527
125.2,9.04,7,0,92.7992,1043467,33415
125.3,-6.34,0.09,-4.48,-28.5101,1043467,33412
125.4,-7.02,0.1,-3.12,158.249,1043467,33412
126.0,6.96,0.75,-3.09,-33.9833,1043467,33398
126.1,-8,0.75,-6.08,-23.0504,1043467,33398
126.2,-5.21,0.75,9.89,-165.302,1043467,33398
126.3,5.43,0.75,3.6,-94.3026,1043467,33396
127.0,-2.02,11.17,7.54,90,1043467,33398
127.1,2.35,11.06,7.53,-90,1043467,33398
127.2,-2.14,6.33,-10.25,-174,1043467,33398
127.3,4.86,5.72,0.22,-3.68334,1043467,33398
128.0,-0.02,1.13,-9.48,0,1043467,33410
128.1,0.66,1.16,-6.32,180,1043467,33410
128.2,-0.54,1.16,-6.35,180,1043467,33410
128.3,-0.02,1.24,9.64,0,1043467,33410
128.4,2.07,11.59,7.85,11.6206,1043467,33410
129.0,-5.44,0.75,6.57,176.179,1043467,33412
129.1,-5.44,0.75,4.42,-14.3103,1043467,33412
129.2,-8.35,0.75,-6.66,50.6514,1043467,33396
129.3,8.15,0.75,-3.08,56.3209,1043456,33607
129.4,0,10.45,-3.96,0,1043467,33398
130.0,-0.55,26,0,0,1043467,33410
130.1,-12.22,0,6.51,110.975,1043467,33410
130.2,14.36,0,-13.06,-60.4464,1043467,33410
130.3,-8.47,0,12.37,2.14003,1044156,0
130.4,1.68,1.01,-4.1,0,1043464,0
130.5,3.35,1.03,-4.1,0,1043463,0
130.6,-8.26,-0.01,17.72,-26.7856,1043078,0
130.7,4.28,-0.01,22.39,-73.1999,1043081,0
130.8,-3.87,0,14.59,156.837,1043080,33654
130.9,-5.46,0,14.12,158.094,1043101,33410
131.0,6.07,0.5,-10,36.3689,1043467,33606
131.1,7.71,0.5,-7.96,-145.202,1043467,33606
131.2,-3.15,8,-4.21,-42.4831,1043467,33412
131.3,-5.2,8,-1.93,138.776,1043467,33412
131.4,-10.63,0,-4.52,132.226,1043456,33607
132.0,-9.58,1,5.93,111.15,1043467,33402
132.1,-2.27,0.5,5.13,210.715,1043467,33396
132.2,-4.4,1.25,-1.25,87.6068,1043471,33395
132.3,-4.05,12.05,0.88,176.105,1043467,33398
132.4,9.26,5.68,1.77,96.7308,1043467,33396
133.0,-2.39,0.5,6.82,162.394,1043467,33403
133.1,1.99,27.36,-0.03,360.194,1043467,33403
133.2,5.26,10.88,4.79,25.5224,1043467,33403
133.3,-8.69,20.35,6.67,308.004,1043467,33403
133.4,-5.76,6.5,2.24,303.954,1043467,33403
134.0,-2.25,0.5,6.45,180,1043459,33609
134.1,-5.38,12,-1.79,260.127,1043467,33396
134.2,9.41,0.5,-2.3,204.041,1043467,33397
134.3,-7.69,1,-0.31,269.208,1043467,33396
134.4,7.64,11.16,-2.41,100.899,1043456,33607
135.0,-10.05,1,-6.64,342.899,1043456,33607
135.1,7.93,10.88,0.56,77.0557,1043467,33611
135.2,-2.65,0.5,-5.03,191.855,1043467,33527
136.0,-0.17,9.85,-0.23,364.988,1043467,33402
136.1,-7.07,7.76,5.56,334.703,1043471,33401
136.2,5.71,1.28,-9.16,175.507,1043467,33396
136.3,-8.86,7.61,-7.92,180.526,1043471,33401
136.4,-2.19,13.5,-1.72,155.594,1043471,33395
137.0,0.03,18.98,-4.3,0,1043467,33403
137.1,-7.59,7.8,6.23,332.043,1043467,33403
137.2,3.32,8.52,7.08,16.9673,1043467,33403
137.3,-1.22,1,2.95,143.814,1043467,33403
137.4,3.84,14.12,6.23,26.1259,1043467,33403
138.0,-9.45,13.5,1.65,341.262,1043456,33607
138.1,5.56,13.5,-6.27,150.417,1043455,33610
138.2,-2.81,7.5,0.54,310.097,1043459,33609
138.3,-7.77,1.5,6.1,179.024,1043467,33396
138.4,-7.78,1.5,-3.35,229.961,1043459,33609
139.0,-0.94,8.3,6.99,-3.7224,1043467,33403
139.1,-8.92,5,0.03,-97,1043467,33403
139.2,1.85,5,-6.95,167.077,1043467,33403
139.3,8.95,7,0.03,104.158,1043467,33403
139.4,6.41,7,6.37,46.8964,1043467,33403
139.5,-5.26,0,11.56,151.264,1043101,33410
140.0,-0.02,1.13,-9.48,0,1043467,33412
140.1,0.66,1.16,-6.32,180,1043467,33403
140.2,-0.54,1.16,-6.35,180,1043467,33403
140.3,-0.02,1.24,9.64,0,1043467,33403
140.4,2.07,11.59,7.85,11.6206,1043467,33403
140.5,-2.85,0,13.15,158.74,1043101,33410
141.0,-2.39,0.5,6.82,162.394,1043467,33403
141.1,1.99,27.36,-0.03,360.194,1043467,33403
141.2,5.26,10.88,4.79,25.5224,1043467,33403
141.3,-8.69,20.35,6.67,308.004,1043467,33403
141.4,-5.76,6.5,2.24,303.954,1043467,33403
141.5,7.78,0,7.74,213.869,1043101,33403
142.0,0.03,18.98,-4.3,0,1043467,33403
142.1,-7.59,7.8,6.23,332.043,1043467,33403
142.2,3.32,8.55,7.08,16.9673,1043467,33403
142.3,-1.22,1,2.95,143.814,1043467,33403
142.4,3.84,14.13,6.23,26.1259,1043467,33403
142.5,5.42,0,8.25,204.851,1043101,33403
