#,HyurMidlanderMaleScale,HyurMidlanderFemaleScale,HyurHighlanderMaleScale,HyurHighlanderFemaleScale,ElezenMaleScale,ElezenFemaleScale,LalaMaleScale,LalaFemaleScale,MiqoMaleScale,MiqoFemaleScale,RoeMaleScale,RoeFemaleScale,AuRaMaleScale,AuRaFemaleScale,HrothgarMaleScale,HrothgarFemaleScale,VieraMaleScale,VieraFemaleScale,HyurMidlanderMaleCameraHeight,HyurMidlanderFemaleCameraHeight,HyurHighlanderMaleCameraHeight,HyurHighlanderFemaleCameraHeight,ElezenMaleCameraHeight,ElezenFemaleCameraHeight,LalaMaleCameraHeight,LalaFemaleCameraHeight,MiqoMaleCameraHeight,MiqoFemaleCameraHeight,RoeMaleCameraHeight,RoeFemaleCameraHeight,AuRaMaleCameraHeight,AuRaFemaleCameraHeight,HrothgarMaleCameraHeight,HrothgarFemaleCameraHeight,VieraMaleCameraHeight,VieraFemaleCameraHeight,Unknown0,Unknown1,Unknown_70_1,Unknown_70_2,Unknown2,Unknown3,Unknown4
147,75,68,75,68,79,75,45,45,68,64,88,83,81,62,92,75,75,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
148,150,140,165,145,165,160,100,100,145,135,220,175,170,130,190,166,150,160,100,100,100,100,100,100,100,100,100,140,140,100,100,100,100,100,100,100,100,100,100,100,100,100,True
149,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
150,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,101,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
151,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
152,70,63,70,63,76,70,42,42,63,60,77,77,76,57,71,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
153,60,55,60,55,67,65,40,40,57,50,75,68,70,50,69,65,60,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
154,60,54,60,54,68,60,42,42,54,51,75,75,70,49,61,60,60,64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
155,22,21,25,23,29,24,17,17,22,20,35,28,26,19,32,26,23,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
156,80,73,87,79,87,84,50,50,75,70,100,92,98,68,92,88,80,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
157,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
158,80,72,80,72,84,80,48,48,72,68,88,88,86,66,82,80,80,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
159,100,90,105,98,108,104,60,60,90,85,120,110,110,82,106,104,100,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
160,90,80,98,87,99,94,62,62,85,76,111,100,105,74,102,97,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
161,60,54,60,54,68,60,42,42,54,51,75,75,70,49,61,60,60,64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
162,75,68,75,68,79,75,45,45,68,64,88,83,81,62,92,75,75,80,100,100,100,100,100,100,100,100,100,140,140,100,100,100,100,100,100,100,100,100,100,100,100,100,True
163,100,94,110,103,114,110,65,65,95,90,121,119,120,88,112,113,102,109,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
164,30,27,30,28,32,31,18,18,27,26,36,34,34,25,33,32,30,32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
165,100,89,103,96,108,102,60,60,90,85,115,113,110,82,105,104,100,106,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
166,170,153,181,164,178,177,110,110,157,144,200,200,196,139,185,182,170,176,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
167,300,270,300,270,315,300,180,180,270,255,330,330,324,246,306,300,300,321,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
168,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
169,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
170,100,90,100,90,106,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
171,100,91,110,98,116,104,47,47,95,86,130,113,120,83,120,107,103,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
172,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
174,60,54,60,54,63,60,36,36,54,51,66,66,65,49,61,60,60,64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
175,73,66,73,66,77,73,44,44,66,62,80,80,79,60,75,73,73,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
