#,LGBSharedGroup,RequirementRow[0],RequirementRow[1],RequirementRow[2],RequirementRow[3],RequirementRow[4],RequirementRow[5],Unknown0,RequirementQuestSequence[0],RequirementQuestSequence[1],RequirementQuestSequence[2],RequirementQuestSequence[3],RequirementQuestSequence[4],RequirementQuestSequence[5],Unknown1,RequirementType[0],RequirementType[1],RequirementType[2],RequirementType[3],RequirementType[4],RequirementType[5],Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
44.2,9167820,70081,70082,70083,70084,70085,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
45.0,8905301,69922,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
45.1,8905079,69928,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
46.0,8465766,69933,70276,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
46.1,8465762,69934,70276,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,False,False,False,False,False,False,False
46.2,8794413,69934,69934,0,0,0,0,0,2,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
46.3,8464943,69935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
46.4,9627908,70217,70218,70219,70220,70221,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
46.5,9808974,70276,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
46.6,9838150,70277,70285,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,False,False,False,False,False,False,False
46.7,11534096,70789,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.0,8964469,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.1,8998095,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.2,8998096,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.3,8626516,69995,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.4,8628847,69996,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.5,8628848,69996,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.6,8628849,69998,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.7,8628850,69998,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.8,8927217,69997,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.9,8773008,69999,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.10,8802589,69999,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.11,8483021,69999,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.12,8996912,69999,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
47.13,9342606,70137,70142,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
47.14,8961773,69704,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
47.15,9385708,70137,70137,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
48.0,8996066,69690,69691,69692,69694,69695,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
48.1,8872864,69697,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
48.2,8792715,69698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
49.0,8766060,69913,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
49.1,8994337,69948,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.0,8964469,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.1,8998095,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.2,8998096,69991,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.3,8626516,69995,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.4,8628847,69996,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.5,8628848,69996,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.6,8628849,69998,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.7,8628850,69998,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.8,8927217,69997,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.9,8773008,69999,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.10,8802589,69999,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.11,8483021,69999,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.12,9060003,69999,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
50.13,9342606,70137,70142,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
50.14,8961773,69704,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
50.15,9385708,70137,70137,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
51.0,10628680,70401,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
51.1,10628605,70415,70415,0,0,0,0,0,3,4,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
51.2,10632805,70495,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
51.3,10757216,70455,70462,0,0,0,0,0,255,3,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
51.4,10638074,70455,70478,0,0,0,0,0,255,1,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
51.5,10653871,70455,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
52.0,10570830,70427,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
53.0,9867101,70405,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
53.1,10562741,70406,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
53.2,10562742,70406,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
53.3,10613522,70406,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
53.4,10429375,70422,70424,0,0,0,0,0,255,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
53.5,11140956,70729,70730,70731,70732,70733,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
54.0,10614014,70439,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
54.1,11741016,70791,70792,70793,70794,70795,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
55.0,10399297,70478,70495,0,0,0,0,0,3,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
55.1,10558455,70495,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
55.2,10968008,70781,70786,70903,70907,0,0,0,2,5,255,6,0,0,0,2,2,2,2,0,0,0,False,False,False,False,False,False,False
56.0,10511646,70455,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
56.1,9872339,70455,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
56.2,10746983,70459,70478,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
56.3,10510357,70461,70462,70785,0,0,0,0,255,3,255,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
56.4,10515675,70462,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
57.0,10617550,70469,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
57.1,11861199,70908,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
58.0,10591852,70486,70486,70909,0,0,0,0,9,255,2,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
58.1,10591856,70488,70909,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
58.2,10613110,70491,70909,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
58.3,10613109,70494,70909,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
58.4,10596151,70495,70906,70909,0,0,0,0,255,255,2,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
58.5,10109854,70488,70909,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False
59.0,11622293,70849,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
60.0,11849003,70905,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.1,11849052,70904,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.2,11849207,70904,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.3,11849254,70905,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.4,11850862,70904,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.5,11851720,70905,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.6,11851722,70904,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
60.7,11851723,70905,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
61.0,11986969,70866,70867,70868,70869,70870,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,False,False,False,False,False,False,False
62.0,11863576,70764,70767,70767,0,0,0,0,7,1,5,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
62.1,12001802,70767,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
63.0,11877921,70917,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
64.0,12279801,70985,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
