#,ConditionValue,Unknown0,Unknown1,BonusValue,Unknown2,Condition,BonusType,Unknown3
748,0,0,0,0,0,0,0,False
749,0,0,0,0,0,0,0,False
750,0,0,0,0,0,0,0,False
751,0,0,0,0,0,0,0,False
752,0,0,0,0,0,0,0,False
753,0,0,0,0,0,0,0,False
754,0,0,0,0,0,0,0,False
755,1294,0,1488,1,3,14,17,False
756,1562,0,1796,1,3,14,17,False
757,1606,0,1846,1,3,14,17,False
758,1691,0,1944,1,3,14,17,False
759,1775,0,2041,1,3,14,17,False
760,1859,0,2137,1,3,14,17,False
761,0,0,0,0,0,0,0,False
762,0,0,0,0,0,0,0,False
763,0,0,0,0,0,0,0,False
764,0,0,0,0,0,0,0,False
765,0,0,0,0,0,0,0,False
766,0,0,0,0,0,0,0,False
767,680,0,710,1,2,19,19,False
768,685,0,715,1,2,19,19,False
769,695,0,725,1,2,19,19,False
770,705,0,735,1,2,19,19,False
771,715,0,745,1,2,19,19,False
772,725,0,755,1,2,19,19,False
773,0,0,0,0,0,0,0,False
774,0,0,0,0,0,0,0,False
775,0,0,0,0,0,0,0,False
776,0,0,0,0,0,0,0,False
777,0,0,0,0,0,0,0,False
778,0,0,0,0,0,0,0,False
779,0,0,0,0,0,0,0,False
780,0,0,0,0,0,0,0,False
781,0,0,0,0,0,0,0,False
782,0,0,0,0,0,0,0,False
783,0,0,0,0,0,0,0,False
784,0,0,0,0,0,0,0,False
785,0,0,0,0,0,0,0,False
786,0,0,0,0,0,0,0,False
787,0,0,0,0,0,0,0,False
788,0,0,0,0,0,0,0,False
789,0,0,0,0,0,0,0,False
790,0,0,0,0,0,0,0,False
791,0,0,0,0,0,0,0,False
792,0,0,0,0,0,0,0,False
793,0,0,0,0,0,0,0,False
794,0,0,0,0,0,0,0,False
795,0,0,0,0,0,0,0,False
796,0,0,0,0,0,0,0,False
797,0,0,0,0,0,0,0,False
798,0,0,0,0,0,0,0,False
799,0,0,0,0,0,0,0,False
800,0,0,0,0,0,0,0,False
801,0,0,0,0,0,0,0,False
802,0,0,0,0,0,0,0,False
803,0,0,0,0,0,0,0,False
804,0,0,0,0,0,0,0,False
805,0,0,0,0,0,0,0,False
806,0,0,0,0,0,0,0,False
807,0,0,0,0,0,0,0,False
808,0,0,0,0,0,0,0,False
809,0,0,0,0,0,0,0,False
810,0,0,0,0,0,0,0,False
811,0,0,0,0,0,0,0,False
812,0,0,0,0,0,0,0,False
813,0,0,0,0,0,0,0,False
814,0,0,0,0,0,0,0,False
815,0,0,0,0,0,0,0,False
816,0,0,0,0,0,0,0,False
