#,Quest,Unknown2,Image[0],Image[1],Image[2],Image[3],Image[4],Image[5],Image[6],Image[7],Image[8],Image[9],Image[10],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7],Text[8],Text[9],Text[10],Unknown0,Unknown1
60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,753,754,0,0,0,0,0,0,0,0,0,0,0
60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,755,756,0,0,0,0,0,0,0,0,0,0,0
61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,574,0,0,0,0,0,0,0,0,0,0,0
62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,577,0,0,0,0,0,0,0,0,0,0,0
62.1,0,0,0,86160,86161,86162,0,0,0,0,0,0,0,578,579,580,581,0,0,0,0,0,0,0,0,0
62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,582,583,0,0,0,0,0,0,0,0,0,0,0
63.0,0,0,0,86163,0,0,0,0,0,0,0,0,0,585,586,613,0,0,0,0,0,0,0,0,0,0
63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,587,588,0,0,0,0,0,0,0,0,0,0,0
63.2,0,0,0,86164,0,0,0,0,0,0,0,0,0,589,590,591,0,0,0,0,0,0,0,0,0,0
63.3,0,0,0,86166,180595,86165,86168,0,0,0,0,0,0,592,593,594,595,596,597,0,0,0,0,0,0,0
63.4,0,0,0,86169,86170,86171,0,0,0,0,0,0,0,598,599,600,601,0,0,0,0,0,0,0,0,0
63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,982,983,0,0,0,0,0,0,0,0,0,0,0
64.0,0,0,0,86172,0,0,0,0,0,0,0,0,0,603,604,0,0,0,0,0,0,0,0,0,0,0
64.1,0,0,0,86173,86174,86175,0,0,0,0,0,0,0,605,606,607,608,0,0,0,0,0,0,0,0,0
64.2,0,0,0,86176,86177,86178,86271,0,0,0,0,0,0,609,610,611,612,0,0,0,0,0,0,0,0,0
64.3,0,0,0,86190,86191,86192,86193,86194,0,0,0,0,0,894,895,896,897,898,899,0,0,0,0,0,0,0
64.4,0,0,0,86198,86199,86200,86201,86202,86203,86204,86205,0,0,984,985,986,987,0,0,988,989,0,0,0,0,0
64.5,0,0,0,86310,86311,0,0,0,0,0,0,0,0,1420,1421,1422,0,0,0,0,0,0,0,0,0,0
65.0,0,0,0,86179,0,0,0,0,0,0,0,0,0,626,668,669,0,0,0,0,0,0,0,0,1028,0
65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,627,670,0,0,0,0,0,0,0,0,0,1029,0
65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,628,671,0,0,0,0,0,0,0,0,0,1030,0
65.3,0,0,0,180521,180522,0,0,0,0,0,0,0,0,629,672,673,674,0,0,0,0,0,0,0,1031,0
66.0,0,0,0,86180,0,0,0,0,0,0,0,0,0,630,675,676,0,0,0,0,0,0,0,0,1032,0
66.1,0,0,0,180523,0,0,0,0,0,0,0,0,0,631,677,678,0,0,0,0,0,0,0,0,1033,0
67.0,34,0,0,86181,180524,0,0,0,0,0,0,0,0,632,679,680,681,0,0,0,0,0,0,0,1034,3
68.0,40,0,0,86182,0,0,0,0,0,0,0,0,0,633,682,683,0,0,0,0,0,0,0,0,1035,3
68.1,35,0,0,0,0,0,0,0,0,0,0,0,0,634,684,0,0,0,0,0,0,0,0,0,1036,3
68.2,36,0,0,180525,0,0,0,0,0,0,0,0,0,635,685,686,0,0,0,0,0,0,0,0,1037,3
69.0,37,0,0,86183,180526,0,0,0,0,0,0,0,0,636,687,688,689,0,0,0,0,0,0,0,1038,3
69.1,38,0,0,180527,0,0,0,0,0,0,0,0,0,637,690,691,0,0,0,0,0,0,0,0,1039,3
69.2,36,0,0,180528,0,0,0,0,0,0,0,0,0,638,692,693,0,0,0,0,0,0,0,0,1040,3
69.3,36,0,0,180529,0,0,0,0,0,0,0,0,0,639,694,695,0,0,0,0,0,0,0,0,1041,3
69.4,39,0,0,180530,0,0,0,0,0,0,0,0,0,640,696,697,0,0,0,0,0,0,0,0,1042,3
70.0,40,0,0,180531,0,0,0,0,0,0,0,0,0,641,698,699,0,0,0,0,0,0,0,0,1043,3
71.0,41,0,0,86184,0,0,0,0,0,0,0,0,0,642,700,701,0,0,0,0,0,0,0,0,1044,3
71.1,41,0,0,0,0,0,0,0,0,0,0,0,0,643,702,0,0,0,0,0,0,0,0,0,1045,3
71.2,41,0,0,180532,180533,0,0,0,0,0,0,0,0,644,703,704,0,0,0,0,0,0,0,0,1046,3
71.3,41,0,0,180532,180534,0,0,0,0,0,0,0,0,645,705,706,0,0,0,0,0,0,0,0,1047,3
71.4,49,0,0,0,0,0,0,0,0,0,0,0,0,646,707,0,0,0,0,0,0,0,0,0,1048,3
71.5,42,0,0,0,0,0,0,0,0,0,0,0,0,647,708,0,0,0,0,0,0,0,0,0,1049,3
72.0,43,0,0,86185,0,0,0,0,0,0,0,0,0,648,709,710,0,0,0,0,0,0,0,0,1050,3
73.0,44,0,0,86186,0,0,0,0,0,0,0,0,0,649,711,712,0,0,0,0,0,0,0,0,1051,3
73.1,44,0,0,180535,180536,0,0,0,0,0,0,0,0,650,713,714,0,0,0,0,0,0,0,0,1052,3
73.2,50,0,0,0,0,0,0,0,0,0,0,0,0,651,715,0,0,0,0,0,0,0,0,0,1053,3
73.3,50,0,0,0,0,0,0,0,0,0,0,0,0,652,716,0,0,0,0,0,0,0,0,0,1054,3
73.4,50,0,0,0,0,0,0,0,0,0,0,0,0,653,717,0,0,0,0,0,0,0,0,0,1055,3
73.5,44,0,0,0,0,0,0,0,0,0,0,0,0,654,718,0,0,0,0,0,0,0,0,0,1056,3
73.6,44,0,0,0,0,0,0,0,0,0,0,0,0,655,719,0,0,0,0,0,0,0,0,0,1057,3
73.7,45,0,0,0,0,0,0,0,0,0,0,0,0,656,720,0,0,0,0,0,0,0,0,0,1058,3
74.0,46,0,0,86187,0,0,0,0,0,0,0,0,0,657,721,722,0,0,0,0,0,0,0,0,1059,3
74.1,46,0,0,180539,0,0,0,0,0,0,0,0,0,658,723,724,0,0,0,0,0,0,0,0,1060,3
74.2,46,0,0,180537,180538,180548,0,0,0,0,0,0,0,659,725,726,727,728,0,0,0,0,0,0,1061,3
74.3,46,0,0,180550,180542,0,0,0,0,0,0,0,0,660,729,730,0,0,0,0,0,0,0,0,1062,3
74.4,46,0,0,0,0,0,0,0,0,0,0,0,0,661,731,0,0,0,0,0,0,0,0,0,1063,3
74.5,46,0,0,180551,0,0,0,0,0,0,0,0,0,662,732,733,0,0,0,0,0,0,0,0,1064,3
74.6,46,0,0,180540,180541,0,0,0,0,0,0,0,0,663,780,781,0,0,0,0,0,0,0,0,1065,3
74.7,46,0,0,180543,0,0,0,0,0,0,0,0,0,777,782,783,0,0,0,0,0,0,0,0,1072,3
74.8,46,0,0,180544,0,0,0,0,0,0,0,0,0,778,784,785,0,0,0,0,0,0,0,0,1073,3
74.9,46,0,0,0,0,0,0,0,0,0,0,0,0,779,786,0,0,0,0,0,0,0,0,0,1074,3
75.0,47,0,0,86188,0,0,0,0,0,0,0,0,0,664,734,735,0,0,0,0,0,0,0,0,1066,3
75.1,47,0,0,180545,180546,0,0,0,0,0,0,0,0,665,736,737,738,0,0,0,0,0,0,0,1067,3
75.2,47,0,0,0,0,0,0,0,0,0,0,0,0,666,739,0,0,0,0,0,0,0,0,0,1068,3
76.0,48,0,0,86189,180547,0,0,0,0,0,0,0,0,667,740,741,742,0,0,0,0,0,0,0,1069,3
77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,759,0,0,0,0,0,0,0,0,0,0,0
78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,762,0,0,0,0,0,0,0,0,0,0,0
78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,763,764,0,0,0,0,0,0,0,0,0,0,0
79.0,46,0,0,86187,0,0,0,0,0,0,0,0,0,770,772,773,0,0,0,0,0,0,0,0,1070,3
79.1,46,0,0,180548,180539,180549,0,0,0,0,0,0,0,771,774,775,776,0,0,0,0,0,0,0,1071,3
79.2,46,0,0,180551,0,0,0,0,0,0,0,0,0,787,789,790,0,0,0,0,0,0,0,0,1075,3
79.3,46,0,0,0,0,0,0,0,0,0,0,0,0,788,791,0,0,0,0,0,0,0,0,0,1076,3
80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,794,0,0,0,0,0,0,0,0,0,0,0
80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,795,796,0,0,0,0,0,0,0,0,0,0,0
80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,797,798,0,0,0,0,0,0,0,0,0,0,0
80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,799,800,0,0,0,0,0,0,0,0,0,0,0
80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,801,802,0,0,0,0,0,0,0,0,0,0,0
80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,803,804,0,0,0,0,0,0,0,0,0,0,0
81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,807,0,0,0,0,0,0,0,0,0,0,0
82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,810,0,0,0,0,0,0,0,0,0,0,0
82.1,0,0,0,0,0,0,0,0,0,0,0,0,0,811,812,0,0,0,0,0,0,0,0,0,0,0
82.2,0,0,0,0,0,0,0,0,0,0,0,0,0,813,814,0,0,0,0,0,0,0,0,0,0,0
83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,817,0,0,0,0,0,0,0,0,0,0,0
83.1,0,0,0,0,0,0,0,0,0,0,0,0,0,818,819,0,0,0,0,0,0,0,0,0,0,0
83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,820,821,0,0,0,0,0,0,0,0,0,0,0
84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,824,0,0,0,0,0,0,0,0,0,0,0
85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,827,0,0,0,0,0,0,0,0,0,0,0
85.1,0,0,0,0,0,0,0,0,0,0,0,0,0,828,829,0,0,0,0,0,0,0,0,0,0,0
85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,830,831,0,0,0,0,0,0,0,0,0,0,0
86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,834,0,0,0,0,0,0,0,0,0,0,0
86.1,0,0,0,0,0,0,0,0,0,0,0,0,0,835,836,0,0,0,0,0,0,0,0,0,0,0
87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,839,0,0,0,0,0,0,0,0,0,0,0
87.1,0,0,0,0,0,0,0,0,0,0,0,0,0,840,841,0,0,0,0,0,0,0,0,0,0,0
87.2,0,0,0,0,0,0,0,0,0,0,0,0,0,842,843,0,0,0,0,0,0,0,0,0,0,0
88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,844,0,0,0,0,0,0,0,0,0,0,0
89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,845,0,0,0,0,0,0,0,0,0,0,0
89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,811,846,0,0,0,0,0,0,0,0,0,0,0
89.2,0,0,0,0,0,0,0,0,0,0,0,0,0,813,847,0,0,0,0,0,0,0,0,0,0,0
90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,850,0,0,0,0,0,0,0,0,0,0,0
90.1,0,0,0,0,0,0,0,0,0,0,0,0,0,851,852,0,0,0,0,0,0,0,0,0,0,0
90.2,0,0,0,0,0,0,0,0,0,0,0,0,0,853,854,0,0,0,0,0,0,0,0,0,0,0
91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,856,0,0,0,0,0,0,0,0,0,0,0
91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,857,858,0,0,0,0,0,0,0,0,0,0,0
92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,861,0,0,0,0,0,0,0,0,0,0,0
92.1,0,0,0,0,0,0,0,0,0,0,0,0,0,862,863,0,0,0,0,0,0,0,0,0,0,0
92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,864,865,0,0,0,0,0,0,0,0,0,0,0
93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,866,0,0,0,0,0,0,0,0,0,0,0
94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,867,0,0,0,0,0,0,0,0,0,0,0
94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,811,868,0,0,0,0,0,0,0,0,0,0,0
94.2,0,0,0,0,0,0,0,0,0,0,0,0,0,813,882,0,0,0,0,0,0,0,0,0,0,0
95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,871,0,0,0,0,0,0,0,0,0,0,0
95.1,0,0,0,0,0,0,0,0,0,0,0,0,0,872,873,0,0,0,0,0,0,0,0,0,0,0
95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,874,875,0,0,0,0,0,0,0,0,0,0,0
96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,877,0,0,0,0,0,0,0,0,0,0,0
96.1,0,0,0,0,0,0,0,0,0,0,0,0,0,878,879,0,0,0,0,0,0,0,0,0,0,0
97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,884,0,0,0,0,0,0,0,0,0,0,0
97.1,0,0,0,0,0,0,0,0,0,0,0,0,0,828,885,0,0,0,0,0,0,0,0,0,0,0
97.2,0,0,0,0,0,0,0,0,0,0,0,0,0,830,886,0,0,0,0,0,0,0,0,0,0,0
98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,887,0,0,0,0,0,0,0,0,0,0,0
98.1,0,0,0,0,0,0,0,0,0,0,0,0,0,835,888,0,0,0,0,0,0,0,0,0,0,0
99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,889,0,0,0,0,0,0,0,0,0,0,0
99.1,0,0,0,0,0,0,0,0,0,0,0,0,0,828,890,0,0,0,0,0,0,0,0,0,0,0
99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,830,891,0,0,0,0,0,0,0,0,0,0,0
100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,892,0,0,0,0,0,0,0,0,0,0,0
100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,835,893,0,0,0,0,0,0,0,0,0,0,0
101.0,48,0,0,86195,180552,0,0,0,0,0,0,0,0,901,902,903,904,0,0,0,0,0,0,0,1077,3
102.0,0,0,0,86196,0,0,0,0,0,0,0,0,0,905,910,911,0,0,0,0,0,0,0,0,0,0
102.1,0,0,0,86197,0,0,0,0,0,0,0,0,0,906,912,913,0,0,0,0,0,0,0,0,0,0
102.2,0,0,0,180553,180554,0,0,0,0,0,0,0,0,907,914,918,0,0,0,0,0,0,0,0,0,0
102.3,0,0,0,0,0,0,0,0,0,0,0,0,0,908,915,0,0,0,0,0,0,0,0,0,0,0
102.4,0,0,0,0,0,0,0,0,0,0,0,0,0,909,916,0,0,0,0,0,0,0,0,0,0,0
102.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,1100,0,0,0,0,0,0,0,0,0,0,0
103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,921,0,0,0,0,0,0,0,0,0,0,0
103.1,0,0,0,0,0,0,0,0,0,0,0,0,0,923,924,0,0,0,0,0,0,0,0,0,0,0
103.2,0,0,0,0,0,0,0,0,0,0,0,0,0,929,930,0,0,0,0,0,0,0,0,0,0,0
104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,927,0,0,0,0,0,0,0,0,0,0,0
104.1,0,0,0,0,0,0,0,0,0,0,0,0,0,956,928,0,0,0,0,0,0,0,0,0,0,0
104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,957,931,0,0,0,0,0,0,0,0,0,0,0
104.3,15,0,0,0,0,0,0,0,0,0,0,0,0,958,932,0,0,0,0,0,0,0,0,0,0,2
104.4,0,0,0,0,0,0,0,0,0,0,0,0,0,959,934,0,0,0,0,0,0,0,0,0,0,0
105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,940,0,0,0,0,0,0,0,0,0,0,0
105.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,953,0,0,0,0,0,0,0,0,0,0,0
107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,963,0,0,0,0,0,0,0,0,0,0,0
107.1,0,0,0,0,0,0,0,0,0,0,0,0,0,964,965,0,0,0,0,0,0,0,0,0,0,0
108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,968,0,0,0,0,0,0,0,0,0,0,0
108.1,0,0,0,0,0,0,0,0,0,0,0,0,0,969,970,0,0,0,0,0,0,0,0,0,0,0
109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,973,0,0,0,0,0,0,0,0,0,0,0
109.1,0,0,0,0,0,0,0,0,0,0,0,0,0,974,975,0,0,0,0,0,0,0,0,0,0,0
109.2,0,0,0,0,0,0,0,0,0,0,0,0,0,976,977,0,0,0,0,0,0,0,0,0,0,0
109.3,0,0,0,0,0,0,0,0,0,0,0,0,0,978,979,0,0,0,0,0,0,0,0,0,0,0
109.4,0,0,0,0,0,0,0,0,0,0,0,0,0,980,981,0,0,0,0,0,0,0,0,0,0,0
110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,993,0,0,0,0,0,0,0,0,0,0,0
110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,994,995,0,0,0,0,0,0,0,0,0,0,0
110.2,0,0,0,0,0,0,0,0,0,0,0,0,0,996,997,0,0,0,0,0,0,0,0,0,0,0
110.3,0,0,0,0,0,0,0,0,0,0,0,0,0,998,999,0,0,0,0,0,0,0,0,0,0,0
110.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1001,0,0,0,0,0,0,0,0,0,0,0
111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1003,0,0,0,0,0,0,0,0,0,0,0
111.1,0,0,0,180555,0,0,0,0,0,0,0,0,0,1004,1005,0,0,0,0,0,0,0,0,0,0,0
111.2,0,0,0,180556,0,0,0,0,0,0,0,0,0,1006,1007,0,0,0,0,0,0,0,0,0,0,0
112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1052,0,0,0,0,0,0,0,0,0,0,0
113.0,14,0,0,0,0,0,0,0,0,0,0,0,0,1017,1085,0,0,0,0,0,0,0,0,0,0,2
113.1,14,0,0,86212,86213,0,0,0,0,0,0,0,0,1018,1086,1087,1088,0,0,0,0,0,0,0,0,2
113.2,14,0,0,0,0,0,0,0,0,0,0,0,0,1019,1089,0,0,0,0,0,0,0,0,0,0,2
113.3,14,0,0,180557,180558,180559,0,0,0,0,0,0,0,1020,1090,1091,1092,1093,0,0,0,0,0,0,0,2
113.4,14,0,0,180560,0,0,0,0,0,0,0,0,0,1021,1094,1095,0,0,0,0,0,0,0,0,0,2
113.5,14,0,0,86214,0,0,0,0,0,0,0,0,0,1022,1096,1097,0,0,0,0,0,0,0,0,0,2
113.6,14,3,0,0,0,0,0,0,0,0,0,0,0,1023,1098,0,0,0,0,0,0,0,0,0,0,4
114.0,15,0,0,0,0,0,0,0,0,0,0,0,0,1024,1053,0,0,0,0,0,0,0,0,0,0,2
114.1,15,0,0,0,0,0,0,0,0,0,0,0,0,1025,1054,0,0,0,0,0,0,0,0,0,0,2
114.2,15,0,0,86206,0,0,0,0,0,0,0,0,0,1026,1055,1056,0,0,0,0,0,0,0,0,0,2
114.3,15,0,0,0,0,0,0,0,0,0,0,0,0,1027,1057,0,0,0,0,0,0,0,0,0,0,2
114.4,15,0,0,0,0,0,0,0,0,0,0,0,0,1028,1058,0,0,0,0,0,0,0,0,0,0,2
114.5,15,0,0,0,0,0,0,0,0,0,0,0,0,1029,1059,0,0,0,0,0,0,0,0,0,0,2
114.6,15,0,0,0,0,0,0,0,0,0,0,0,0,1030,1060,0,0,0,0,0,0,0,0,0,0,2
114.7,15,0,0,0,0,0,0,0,0,0,0,0,0,1031,1061,0,0,0,0,0,0,0,0,0,0,2
114.8,15,0,0,0,0,0,0,0,0,0,0,0,0,1032,1062,0,0,0,0,0,0,0,0,0,0,2
114.9,15,3,0,0,0,0,0,0,0,0,0,0,0,1033,1063,0,0,0,0,0,0,0,0,0,0,4
114.10,15,372,0,0,0,0,0,0,0,0,0,0,0,1034,1064,0,0,0,0,0,0,0,0,0,0,4
115.0,15,0,0,0,0,0,0,0,0,0,0,0,0,1035,1065,0,0,0,0,0,0,0,0,0,0,2
115.1,15,0,0,86207,0,0,0,0,0,0,0,0,0,1036,1066,1067,0,0,0,0,0,0,0,0,0,2
115.2,15,0,0,0,0,0,0,0,0,0,0,0,0,1037,1068,0,0,0,0,0,0,0,0,0,0,2
115.3,15,0,0,0,0,0,0,0,0,0,0,0,0,1160,1164,0,0,0,0,0,0,0,0,0,0,2
115.4,15,0,0,86269,0,0,0,0,0,0,0,0,0,1161,1165,1166,0,0,0,0,0,0,0,0,0,2
115.5,15,0,0,0,0,0,0,0,0,0,0,0,0,1162,1167,0,0,0,0,0,0,0,0,0,0,2
115.6,15,0,0,86270,86331,0,0,0,0,0,0,0,0,1163,1168,1169,1596,0,0,0,0,0,0,0,0,2
115.7,15,0,0,86269,0,0,0,0,0,0,0,0,0,1597,1598,1599,0,0,0,0,0,0,0,0,0,2
116.0,15,0,0,0,0,0,0,0,0,0,0,0,0,1038,1069,0,0,0,0,0,0,0,0,0,0,2
116.1,15,0,0,0,0,0,0,0,0,0,0,0,0,1039,1070,0,0,0,0,0,0,0,0,0,0,2
116.2,15,0,0,0,0,0,0,0,0,0,0,0,0,1040,1071,0,0,0,0,0,0,0,0,0,0,2
116.3,15,0,0,86208,0,0,0,0,0,0,0,0,0,1041,1072,0,0,0,0,0,0,0,0,0,0,2
116.4,15,0,0,0,0,0,0,0,0,0,0,0,0,1042,1073,0,0,0,0,0,0,0,0,0,0,2
116.5,15,0,86209,0,0,0,0,0,0,0,0,0,0,1043,1074,0,0,0,0,0,0,0,0,0,0,2
117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1075,0,0,0,0,0,0,0,0,0,0,0
117.1,0,0,0,86210,0,0,0,0,0,0,0,0,0,1045,1076,1077,0,0,0,0,0,0,0,0,0,0
117.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,1078,0,0,0,0,0,0,0,0,0,0,0
117.3,15,0,0,0,0,0,0,0,0,0,0,0,0,1047,1079,0,0,0,0,0,0,0,0,0,0,2
118.0,0,0,0,86215,0,0,0,0,0,0,0,0,0,1048,1083,1084,0,0,0,0,0,0,0,0,0,0
119.0,66049,1,0,86211,0,0,0,0,0,0,0,0,0,1049,1080,0,0,0,0,0,0,0,0,0,0,1
119.1,66049,1,0,0,0,0,0,0,0,0,0,0,0,1050,1081,0,0,0,0,0,0,0,0,0,0,1
119.2,66049,1,0,0,0,0,0,0,0,0,0,0,0,1051,1082,0,0,0,0,0,0,0,0,0,0,1
120.0,0,0,0,86240,86241,0,0,0,0,0,0,0,0,1102,1103,1104,0,0,0,0,0,0,0,0,0,0
120.1,0,0,0,180565,0,0,0,0,0,0,0,0,0,1170,1171,1172,0,0,0,0,0,0,0,0,0,0
120.2,0,0,0,180561,180562,180563,0,0,0,0,0,0,0,1105,1106,1107,1108,1109,0,0,0,0,0,0,0,0
120.3,0,0,0,180564,86272,0,0,0,0,0,0,0,0,1110,1111,1112,0,0,0,0,0,0,0,0,0,0
121.0,69408,0,0,86242,0,0,0,0,0,0,0,0,0,1114,1115,1116,0,0,0,0,0,0,0,0,0,0
121.1,69408,0,0,86243,0,0,0,0,0,0,0,0,0,1117,1118,0,0,0,0,0,0,0,0,0,0,0
121.2,69408,0,0,86244,86245,0,0,0,0,0,0,0,0,1119,1120,1121,0,0,0,0,0,0,0,0,0,0
121.3,69408,0,0,0,86246,86247,86248,86249,0,0,0,0,0,1122,1123,1124,1125,1126,1127,0,0,0,0,0,0,0
121.4,69408,0,0,86250,0,0,0,0,0,0,0,0,0,1128,1129,0,0,0,0,0,0,0,0,0,0,0
121.5,69408,0,0,86251,86252,86253,0,0,0,0,0,0,0,1130,1131,1132,1133,0,0,0,0,0,0,0,0,0
121.6,69408,0,0,86254,86255,0,0,0,0,0,0,0,0,1134,1135,1136,0,0,0,0,0,0,0,0,0,0
121.7,69408,0,0,86256,86257,0,0,0,0,0,0,0,0,1137,1138,1139,0,0,0,0,0,0,0,0,0,0
121.8,69408,0,0,86258,86259,86260,0,0,0,0,0,0,0,1140,1141,1142,1143,0,0,0,0,0,0,0,0,0
121.9,69408,0,0,86261,86262,0,0,0,0,0,0,0,0,1144,1145,1146,0,0,0,0,0,0,0,0,0,0
121.10,69408,0,0,86263,0,0,0,0,0,0,0,0,0,1147,1148,0,0,0,0,0,0,0,0,0,0,0
121.11,69408,0,0,86264,0,0,0,0,0,0,0,0,0,1149,1150,0,0,0,0,0,0,0,0,0,0,0
121.12,69408,0,0,86265,86266,86267,0,0,0,0,0,0,0,1151,1152,1153,1154,0,0,0,0,0,0,0,0,0
122.0,0,0,0,180566,0,0,0,0,0,0,0,0,0,1156,1157,0,0,0,0,0,0,0,0,0,0,0
122.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,1159,0,0,0,0,0,0,0,0,0,0,0
124.0,0,0,0,86304,0,0,0,0,0,0,0,0,0,1209,1232,1233,0,0,0,0,0,0,0,0,0,0
125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,1234,0,0,0,0,0,0,0,0,0,0,0
125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,1235,0,0,0,0,0,0,0,0,0,0,0
125.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,1236,0,0,0,0,0,0,0,0,0,0,0
126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,1237,0,0,0,0,0,0,0,0,0,0,0
126.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,1242,0,0,0,0,0,0,0,0,0,0,0
126.2,0,0,0,180587,180588,0,0,0,0,0,0,0,0,1406,1410,1411,0,0,0,0,0,0,0,0,0,0
126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,1238,0,0,0,0,0,0,0,0,0,0,0
126.4,0,0,0,86305,0,0,0,0,0,0,0,0,0,1215,1239,1240,0,0,0,0,0,0,0,0,0,0
126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,1241,0,0,0,0,0,0,0,0,0,0,0
126.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,1413,0,0,0,0,0,0,0,0,0,0,0
126.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,1419,0,0,0,0,0,0,0,0,0,0,0
126.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,1243,0,0,0,0,0,0,0,0,0,0,0
127.0,0,0,0,180583,0,0,0,0,0,0,0,0,0,1219,1244,1245,0,0,0,0,0,0,0,0,0,0
127.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,1246,0,0,0,0,0,0,0,0,0,0,0
128.0,0,0,0,180584,0,0,0,0,0,0,0,0,0,1221,1247,1248,0,0,0,0,0,0,0,0,0,0
129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,1249,0,0,0,0,0,0,0,0,0,0,0
129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,1250,0,0,0,0,0,0,0,0,0,0,0
