#,Name,Addon,QuestChapter,Unknown0,Unknown1,Unknown2,Type
68482,T_VER400_02A_22,0,29,21220,22,481,0
68483,T_VER400_02A_25,0,29,21250,25,484,0
68489,T_VER400_01B_13,0,27,20530,13,437,0
68490,T_VER400_01A_12,0,26,20120,12,406,0
68491,T_VER400_01A_13,0,26,20130,13,407,0
68498,T_VER410_01_01,0,31,22010,1,517,0
68499,T_VER410_01_02,0,31,22020,2,518,0
68500,T_VER410_01_03,0,31,22030,3,519,0
68501,T_VER410_01_04,0,31,22040,4,520,0
68502,T_VER410_01_05,0,31,22050,5,521,0
68503,T_VER410_01_06,0,31,22060,6,522,0
68504,T_VER410_01_07,0,31,22070,7,523,0
68505,T_VER410_01_08,0,31,22080,8,524,0
68506,T_VER410_01_09,0,31,22090,9,525,0
68507,T_VER410_01_10,0,31,22100,10,526,0
68508,T_VER410_01_11,0,31,22110,11,527,0
68558,T_VER420_01_01,0,32,23010,1,528,0
68559,T_VER420_01_02,0,32,23020,2,529,0
68560,T_VER420_01_03,0,32,23030,3,530,0
68561,T_VER420_01_04,0,32,23040,4,531,0
68562,T_VER420_01_05,0,32,23050,5,532,0
68563,T_VER420_01_06,0,32,23060,6,533,0
68564,T_VER420_01_07,0,32,23070,7,534,0
68565,T_VER420_01_08,0,32,23080,8,535,0
68606,T_VER430_01_01,0,33,24010,1,536,0
68607,T_VER430_01_02,0,33,24020,2,537,0
68608,T_VER430_01_03,0,33,24030,3,538,0
68609,T_VER430_01_04,0,33,24040,4,539,0
68610,T_VER430_01_05,0,33,24050,5,540,0
68611,T_VER430_01_06,0,33,24060,6,541,0
68612,T_VER430_01_07,0,33,24070,7,542,0
68679,T_VER440_01_01,0,34,25010,1,543,0
68680,T_VER440_01_02,0,34,25020,2,544,0
68681,T_VER440_01_03,0,34,25030,3,545,0
68682,T_VER440_01_04,0,34,25040,4,546,0
68683,T_VER440_01_05,0,34,25050,5,547,0
68684,T_VER440_01_06,0,34,25060,6,548,0
68685,T_VER440_01_07,0,34,25070,7,549,0
68715,T_VER450_01_01,0,35,26010,1,550,0
68716,T_VER450_01_02,0,35,26020,2,551,0
68717,T_VER450_01_03,0,35,26030,3,552,0
68718,T_VER450_01_04,0,35,26040,4,553,0
68719,T_VER450_01_05,0,35,26050,5,554,0
68720,T_VER450_01_06,0,35,26060,6,555,0
68721,T_VER450_01_07,0,35,26070,7,556,0
68815,T_VER500_01A_01,0,36,30010,1,557,0
68816,T_VER500_01A_02,0,36,30020,2,558,0
68817,T_VER500_01A_03,0,36,30030,3,559,0
68818,T_VER500_01A_04,0,36,30040,4,560,0
68819,T_VER500_01A_05,0,36,30050,5,561,0
68820,T_VER500_01A_06,0,36,30060,6,562,0
68821,T_VER500_01A_07,0,36,30070,7,563,0
68822,T_VER500_01A_08,0,36,30080,8,564,0
68823,T_VER500_01A_09,0,36,30090,9,565,0
68824,T_VER500_01A_10,0,36,30100,10,566,0
68825,T_VER500_01A_11,0,36,30110,11,567,0
68826,T_VER500_01A_12,0,36,30120,12,568,0
68827,T_VER500_01A_13,0,36,30130,13,569,0
68828,T_VER500_01A_14,0,36,30140,14,570,0
68829,T_VER500_01A_15,0,36,30150,15,571,0
68830,T_VER500_01A_16,0,36,30160,16,572,0
68831,T_VER500_01A_17,0,36,30170,17,573,0
68832,T_VER500_01A_18,0,36,30180,18,574,0
68833,T_VER500_01A_19,0,36,30190,19,575,0
68834,T_VER500_01A_20,0,36,30200,20,576,0
68835,T_VER500_01A_21,0,36,30210,21,577,0
68836,T_VER500_01B_01,0,37,30310,1,578,0
68837,T_VER500_01B_02,0,37,30320,2,579,0
68838,T_VER500_01B_03,0,37,30330,3,580,0
68839,T_VER500_01B_04,0,37,30340,4,581,0
68840,T_VER500_01B_05,0,37,30350,5,582,0
68841,T_VER500_01B_06,0,37,30360,6,583,0
68842,T_VER500_01B_07,0,37,30370,7,584,0
68843,T_VER500_01B_08,0,37,30380,8,585,0
68844,T_VER500_01B_09,0,37,30390,9,586,0
68845,T_VER500_01B_10,0,37,30400,10,587,0
68846,T_VER500_01B_11,0,37,30410,11,588,0
68847,T_VER500_01B_12,0,37,30420,12,589,0
68848,T_VER500_01B_13,0,37,30430,13,590,0
68849,T_VER500_01B_14,0,37,30440,14,591,0
68850,T_VER500_01B_15,0,37,30450,15,592,0
68851,T_VER500_01B_16,0,37,30460,16,593,0
68852,T_VER500_01B_17,0,37,30470,17,594,0
68853,T_VER500_01B_18,0,37,30480,18,595,0
68854,T_VER500_01B_19,0,37,30490,19,596,0
68855,T_VER500_01B_20,0,37,30500,20,597,0
68856,T_VER500_01B_21,0,37,30510,21,598,0
68857,T_VER500_01B_22,0,37,30520,22,599,0
68858,T_VER500_01C_01,0,38,30610,1,600,0
68859,T_VER500_01C_02,0,38,30620,2,601,0
68860,T_VER500_01C_03,0,38,30630,3,602,0
68861,T_VER500_01C_04,0,38,30640,4,603,0
68862,T_VER500_01C_05,0,38,30650,5,604,0
68863,T_VER500_01C_06,0,38,30660,6,605,0
68864,T_VER500_01C_07,0,38,30670,7,606,0
68865,T_VER500_01C_08,0,38,30680,8,607,0
68866,T_VER500_01C_09,0,38,30690,9,608,0
68867,T_VER500_01C_10,0,38,30700,10,609,0
68868,T_VER500_01C_11,0,38,30710,11,610,0
68869,T_VER500_01C_12,0,38,30720,12,611,0
68870,T_VER500_01C_13,0,38,30730,13,612,0
68871,T_VER500_01C_14,0,38,30740,14,613,0
68872,T_VER500_01C_15,0,38,30750,15,614,0
68873,T_VER500_01C_16,0,38,30760,16,615,0
68874,T_VER500_01C_17,0,38,30770,17,616,0
68875,T_VER500_01C_18,0,38,30780,18,617,0
68876,T_VER500_01C_19,0,38,30790,19,618,0
68877,T_VER500_01C_20,0,38,30800,20,619,0
68878,T_VER500_01C_21,0,38,30810,21,620,0
69142,T_VER500_02A_01,0,39,31010,1,621,0
69143,T_VER500_02A_02,0,39,31020,2,622,0
69144,T_VER500_02A_03,0,39,31030,3,623,0
69145,T_VER500_02A_04,0,39,31040,4,624,0
69146,T_VER500_02A_05,0,39,31050,5,625,0
69147,T_VER500_02A_06,0,39,31060,6,626,0
69148,T_VER500_02A_07,0,39,31070,7,627,0
69149,T_VER500_02A_08,0,39,31080,8,628,0
69150,T_VER500_02A_09,0,39,31090,9,629,0
69151,T_VER500_02A_10,0,39,31100,10,630,0
69152,T_VER500_02A_11,0,39,31110,11,631,0
69153,T_VER500_02A_12,0,39,31120,12,632,0
69154,T_VER500_02A_13,0,39,31130,13,633,0
69155,T_VER500_02A_14,0,39,31140,14,634,0
69156,T_VER500_02A_15,0,39,31150,15,635,0
69157,T_VER500_02A_16,0,39,31160,16,636,0
69158,T_VER500_02A_17,0,39,31170,17,637,0
69166,T_VER500_02B_01,0,40,31210,1,638,0
69167,T_VER500_02B_02,0,40,31220,2,639,0
69168,T_VER500_02B_03,0,40,31230,3,640,0
69169,T_VER500_02B_04,0,40,31240,4,641,0
69170,T_VER500_02B_05,0,40,31250,5,642,0
69171,T_VER500_02B_06,0,40,31260,6,643,0
69172,T_VER500_02B_07,0,40,31270,7,644,0
69173,T_VER500_02B_08,0,40,31280,8,645,0
69174,T_VER500_02B_09,0,40,31290,9,646,0
69175,T_VER500_02B_10,0,40,31300,10,647,0
69176,T_VER500_02B_11,0,40,31310,11,648,0
69177,T_VER500_02B_12,0,40,31320,12,649,0
69178,T_VER500_02B_13,0,40,31330,13,650,0
69179,T_VER500_02B_14,0,40,31340,14,651,0
69180,T_VER500_02C_01,0,41,31410,1,652,0
69181,T_VER500_02C_02,0,41,31420,2,653,0
69182,T_VER500_02C_03,0,41,31430,3,654,0
69183,T_VER500_02C_04,0,41,31440,4,655,0
69184,T_VER500_02C_05,0,41,31450,5,656,0
69185,T_VER500_02C_06,0,41,31460,6,657,0
69186,T_VER500_02C_07,0,41,31470,7,658,0
69187,T_VER500_02C_08,0,41,31480,8,659,0
69188,T_VER500_02C_09,0,41,31490,9,660,0
69189,T_VER500_02C_10,0,41,31500,10,661,0
69190,T_VER500_02C_11,0,41,31510,11,662,0
69209,T_VER510_01_01,0,42,32010,1,663,0
69210,T_VER510_01_02,0,42,32020,2,664,0
69211,T_VER510_01_03,0,42,32030,3,665,0
69212,T_VER510_01_04,0,42,32040,4,666,0
69213,T_VER510_01_05,0,42,32050,5,667,0
69214,T_VER510_01_06,0,42,32060,6,668,0
69215,T_VER510_01_07,0,42,32070,7,669,0
69216,T_VER510_01_08,0,42,32080,8,670,0
69217,T_VER510_01_09,0,42,32090,9,671,0
69218,T_VER510_01_10,0,42,32100,10,672,0
69297,T_VER520_01_01,0,43,33010,1,673,0
69298,T_VER520_01_02,0,43,33020,2,674,0
69299,T_VER520_01_03,0,43,33030,3,675,0
69300,T_VER520_01_04,0,43,33040,4,676,0
69301,T_VER520_01_05,0,43,33050,5,677,0
69302,T_VER520_01_06,0,43,33060,6,678,0
69303,T_VER520_01_07,0,43,33070,7,679,0
69304,T_VER520_01_08,0,43,33080,8,680,0
69305,T_VER520_01_09,0,43,33090,9,681,0
69306,T_VER520_01_10,0,43,33100,10,682,0
69307,T_VER530_01_01,0,44,34010,1,683,0
69308,T_VER530_01_02,0,44,34020,2,684,0
69309,T_VER530_01_03,0,44,34030,3,685,0
69310,T_VER530_01_04,0,44,34040,4,686,0
69311,T_VER530_01_05,0,44,34050,5,687,0
69312,T_VER530_01_06,0,44,34060,6,688,0
69313,T_VER530_01_07,0,44,34070,7,689,0
69314,T_VER530_01_08,0,44,34080,8,690,0
69315,T_VER530_01_09,0,44,34090,9,691,0
69316,T_VER530_01_10,0,44,34100,10,692,0
69317,T_VER530_01_11,0,44,34110,11,693,0
69318,T_VER530_01_12,0,44,34120,12,694,0
69388,T_VER200_01_Uld_07,0,3,70,7,7,3
69389,T_VER200_01_Uld_15,0,3,150,15,18,3
69390,T_VER200_01_Gri_06,0,1,60,6,6,2
69391,T_VER200_01_Gri_08,0,1,80,8,9,2
69392,T_VER200_02B_01,0,5,1310,1,21,0
69393,T_VER200_02B_05,0,5,1350,5,25,0
69394,T_VER200_02B_06,0,5,1360,6,26,0
69395,T_VER200_02B_10,0,5,1400,10,30,0
69396,T_VER200_02B_11,0,5,1410,11,31,0
69397,T_VER200_02B_12,0,5,1420,12,32,0
69398,T_VER200_02B_15,0,5,1450,15,35,0
69399,T_VER200_03A_16,0,6,2160,16,56,0
69400,T_VER200_03A_17,0,6,2170,17,57,0
69401,T_VER200_03B_07,0,7,2370,7,71,0
69402,T_VER200_03B_12,0,7,2420,12,77,0
69403,T_VER200_04A_02,0,8,3020,2,91,0
69404,T_VER200_04A_16,0,8,3160,16,108,0
69405,T_VER200_04A_19,0,8,3190,19,113,0
69406,T_VER200_04B_10,0,9,3400,10,131,0
69407,T_VER200_04C_11,0,10,3610,11,144,0
69408,T_VER200_04D_04,0,11,3740,4,153,0
69409,T_VER200_04D_05,0,11,3750,5,155,0
69410,T_VER210_01_02,0,12,4020,2,159,0
69411,T_VER210_01_03,0,12,4030,3,160,0
69412,T_VER210_01_04,0,12,4040,4,162,0
69413,T_VER210_01_05,0,12,4050,5,170,0
69414,T_VER210_01_10,0,12,4100,10,175,0
69415,T_VER220_01_01,0,13,5010,1,176,0
69416,T_VER220_01_04,0,13,5040,4,179,0
69417,T_VER220_01_05,0,13,5050,5,181,0
69418,T_VER220_01_07,0,13,5070,7,186,0
69419,T_VER230_01_03,0,14,6030,3,197,0
69420,T_VER230_01_04,0,14,6040,4,198,0
69421,T_VER230_01_08,0,14,6080,8,205,0
69422,T_VER240_01_11,0,15,7110,11,224,0
69423,T_VER240_01_12,0,15,7120,12,226,0
69424,T_VER250_01_05,0,16,8050,5,237,0
69543,T_VER540_01_01,0,45,35010,1,695,0
69544,T_VER540_01_02,0,45,35020,2,696,0
69545,T_VER540_01_03,0,45,35030,3,697,0
69546,T_VER540_01_04,0,45,35040,4,698,0
69547,T_VER540_01_05,0,45,35050,5,699,0
69548,T_VER540_01_06,0,45,35060,6,700,0
69549,T_VER540_01_07,0,45,35070,7,701,0
69550,T_VER540_01_08,0,45,35080,8,702,0
69551,T_VER540_01_09,0,45,35090,9,703,0
69552,T_VER540_01_10,0,45,35100,10,704,0
69594,T_VER550_01_01,0,46,36010,1,705,0
69595,T_VER550_01_02,0,46,36020,2,706,0
69596,T_VER550_01_03,0,46,36030,3,707,0
69597,T_VER550_01_04,0,46,36040,4,708,0
69598,T_VER550_01_05,0,46,36050,5,709,0
69599,T_VER550_01_06,0,46,36060,6,710,0
69600,T_VER555_01_01,0,47,36510,1,711,0
69601,T_VER555_01_02,0,47,36520,2,712,0
69602,T_VER555_01_03,0,47,36530,3,713,0
69893,T_VER600_01_01,0,48,36710,1,714,0
69894,T_VER600_01_02,0,48,36720,2,715,0
69895,T_VER600_01_03,0,48,36730,3,716,0
69896,T_VER600_01_04,0,48,36740,4,717,0
69897,T_VER600_01_05,0,48,36750,5,718,0
69898,T_VER600_01_06,0,48,36760,6,719,0
69899,T_VER600_01_07,0,48,36770,7,720,0
69900,T_VER600_01_08,0,48,36780,8,721,0
69901,T_VER600_01_09,0,48,36790,9,722,0
69902,T_VER600_01_10,0,48,36800,10,723,0
69903,T_VER600_01_11,0,48,36810,11,724,0
69904,T_VER600_01_12,0,48,36820,12,725,0
69905,T_VER600_01_13,0,48,36830,13,726,0
69906,T_VER600_01_14,0,48,36840,14,727,0
69907,T_VER600_01_15,0,48,36850,15,728,0
69908,T_VER600_01_16,0,48,36860,16,729,0
69909,T_VER600_01_17,0,48,36870,17,730,0
69910,T_VER600_01_18,0,48,36880,18,731,0
69911,T_VER600_01_19,0,48,36890,19,732,0
69912,T_VER600_01_20,0,48,36900,20,733,0
69913,T_VER600_01_21,0,48,36910,21,734,0
69914,T_VER600_01_22,0,48,36920,22,735,0
69915,T_VER600_01_23,0,48,36930,23,736,0
69916,T_VER600_02_01,0,49,37010,1,737,0
69917,T_VER600_02_02,0,49,37020,2,738,0
69918,T_VER600_02_03,0,49,37030,3,739,0
69919,T_VER600_02_04,0,49,37040,4,740,0
69920,T_VER600_02_05,0,49,37050,5,741,0
69921,T_VER600_02_06,0,49,37060,6,742,0
69922,T_VER600_02_07,0,49,37070,7,743,0
69923,T_VER600_02_08,0,49,37080,8,744,0
69924,T_VER600_02_09,0,49,37090,9,745,0
69925,T_VER600_02_10,0,49,37100,10,746,0
69926,T_VER600_02_11,0,49,37110,11,747,0
69927,T_VER600_02_12,0,49,37120,12,748,0
69928,T_VER600_02_13,0,49,37130,13,749,0
69929,T_VER600_02_14,0,49,37140,14,750,0
69930,T_VER600_02_15,0,49,37150,15,751,0
69931,T_VER600_02_16,0,49,37160,16,752,0
69932,T_VER600_02_17,0,49,37170,17,753,0
69933,T_VER600_02_18,0,49,37180,18,754,0
69934,T_VER600_02_19,0,49,37190,19,755,0
69935,T_VER600_02_20,0,49,37200,20,756,0
69936,T_VER600_02_21,0,49,37210,21,757,0
69937,T_VER600_02_22,0,49,37220,22,758,0
69938,T_VER600_02_23,0,49,37230,23,759,0
69939,T_VER600_02_24,0,49,37240,24,760,0
69940,T_VER600_02_25,0,49,37250,25,761,0
69941,T_VER600_02_26,0,49,37260,26,762,0
69942,T_VER600_02_27,0,49,37270,27,763,0
69943,T_VER600_02_28,0,49,37280,28,764,0
69944,T_VER600_02_29,0,49,37290,29,765,0
69945,T_VER600_03_01,0,50,37310,1,766,0
69946,T_VER600_03_02,0,50,37320,2,767,0
69947,T_VER600_03_03,0,50,37330,3,768,0
69948,T_VER600_03_04,0,50,37340,4,769,0
69949,T_VER600_03_05,0,50,37350,5,770,0
69950,T_VER600_03_06,0,50,37360,6,771,0
69951,T_VER600_03_07,0,50,37370,7,772,0
69952,T_VER600_03_08,0,50,37380,8,773,0
69953,T_VER600_03_09,0,50,37390,9,774,0
69954,T_VER600_03_10,0,50,37400,10,775,0
69955,T_VER600_03_11,0,50,37410,11,776,0
69956,T_VER600_03_12,0,50,37420,12,777,0
69957,T_VER600_03_13,0,50,37430,13,778,0
69958,T_VER600_03_14,0,50,37440,14,779,0
69959,T_VER600_03_15,0,50,37450,15,780,0
69960,T_VER600_03_16,0,50,37460,16,781,0
69961,T_VER600_03_17,0,50,37470,17,782,0
69962,T_VER600_03_18,0,50,37480,18,783,0
69963,T_VER600_03_19,0,50,37490,19,784,0
69964,T_VER600_03_20,0,50,37500,20,785,0
69965,T_VER600_03_21,0,50,37510,21,786,0
69966,T_VER600_03_22,0,50,37520,22,787,0
69967,T_VER600_03_23,0,50,37530,23,788,0
69968,T_VER600_03_24,0,50,37540,24,789,0
69969,T_VER600_03_25,0,50,37550,25,790,0
69970,T_VER600_03_26,0,50,37560,26,791,0
69971,T_VER600_03_27,0,50,37570,27,792,0
69972,T_VER600_03_28,0,50,37580,28,793,0
69973,T_VER600_03_29,0,50,37590,29,794,0
69974,T_VER600_03_30,0,50,37600,30,795,0
69975,T_VER600_04_01,0,51,37610,1,796,0
69976,T_VER600_04_02,0,51,37620,2,797,0
69977,T_VER600_04_03,0,51,37630,3,798,0
69978,T_VER600_04_04,0,51,37640,4,799,0
69979,T_VER600_04_05,0,51,37650,5,800,0
69980,T_VER600_04_06,0,51,37660,6,801,0
69981,T_VER600_04_07,0,51,37670,7,802,0
69982,T_VER600_04_08,0,51,37680,8,803,0
69983,T_VER600_04_09,0,51,37690,9,804,0
69984,T_VER600_04_10,0,51,37700,10,805,0
69985,T_VER600_04_11,0,51,37710,11,806,0
69986,T_VER600_04_12,0,51,37720,12,807,0
69987,T_VER600_04_13,0,51,37730,13,808,0
69988,T_VER600_04_14,0,51,37740,14,809,0
69989,T_VER600_04_15,0,51,37750,15,810,0
69990,T_VER600_04_16,0,51,37760,16,811,0
69991,T_VER600_04_17,0,51,37770,17,812,0
69992,T_VER600_04_18,0,51,37780,18,813,0
69993,T_VER600_04_19,0,51,37790,19,814,0
69994,T_VER600_04_20,0,51,37800,20,815,0
69995,T_VER600_04_21,0,51,37810,21,816,0
69996,T_VER600_04_22,0,51,37820,22,817,0
69997,T_VER600_04_23,0,51,37830,23,818,0
69998,T_VER600_04_24,0,51,37840,24,819,0
69999,T_VER600_04_25,0,51,37850,25,820,0
70000,T_VER600_04_26,0,51,37860,26,821,0
70057,T_VER200_04D_02,0,11,3720,2,149,0
70058,T_VER200_04D_06,0,11,3760,6,156,0
70062,T_VER610_01_01,0,52,37900,1,822,0
70063,T_VER610_01_02,0,52,37910,2,823,0
70064,T_VER610_01_03,0,52,37920,3,824,0
70065,T_VER610_01_04,0,52,37930,4,825,0
70066,T_VER610_01_05,0,52,37940,5,826,0
70067,T_VER610_01_06,0,52,37950,6,827,0
70068,T_VER610_01_07,0,52,37960,7,828,0
70069,T_VER610_01_08,0,52,37970,8,829,0
70070,T_VER610_01_09,0,52,37980,9,830,0
70071,T_VER610_01_10,0,52,37990,10,831,0
70127,T_VER250_01_15,0,16,8150,15,247,0
70128,T_VER620_01_01,0,53,38000,1,832,0
70129,T_VER620_01_02,0,53,38010,2,833,0
70130,T_VER620_01_03,0,53,38020,3,834,0
70131,T_VER620_01_04,0,53,38030,4,835,0
70132,T_VER620_01_05,0,53,38040,5,836,0
70133,T_VER620_01_06,0,53,38050,6,837,0
70134,T_VER620_01_07,0,53,38060,7,838,0
70135,T_VER620_01_08,0,53,38070,8,839,0
70136,T_VER620_01_09,0,53,38080,9,840,0
70206,T_VER630_01_01,0,54,38100,1,841,0
70207,T_VER630_01_02,0,54,38110,2,842,0
70208,T_VER630_01_03,0,54,38120,3,843,0
70209,T_VER630_01_04,0,54,38130,4,844,0
70210,T_VER630_01_05,0,54,38140,5,845,0
70211,T_VER630_01_06,0,54,38150,6,846,0
70212,T_VER630_01_07,0,54,38160,7,847,0
70213,T_VER630_01_08,0,54,38170,8,848,0
70214,T_VER630_01_09,0,54,38180,9,849,0
70271,T_VER640_01_01,0,55,38200,1,850,0
70272,T_VER640_01_02,0,55,38210,2,851,0
70273,T_VER640_01_03,0,55,38220,3,852,0
70274,T_VER640_01_04,0,55,38230,4,853,0
70275,T_VER640_01_05,0,55,38240,5,854,0
70276,T_VER640_01_06,0,55,38250,6,855,0
70277,T_VER640_01_07,0,55,38260,7,856,0
70278,T_VER640_01_08,0,55,38270,8,857,0
70279,T_VER640_01_09,0,55,38280,9,858,0
70280,T_VER650_01_01,0,57,38300,1,859,0
70281,T_VER650_01_02,0,57,38310,2,860,0
70282,T_VER650_01_03,0,57,38320,3,861,0
70283,T_VER650_01_04,0,57,38330,4,862,0
70284,T_VER650_01_05,0,57,38340,5,863,0
70285,T_VER650_01_06,0,57,38350,6,864,0
70286,T_VER650_01_07,0,57,38360,7,865,0
70287,T_VER655_01_01,0,58,38370,1,866,0
70288,T_VER655_01_02,0,58,38380,2,867,0
70289,T_VER655_01_03,0,58,38390,3,868,0
70396,T_VER700_01_01,0,59,38400,1,869,0
70397,T_VER700_01_02,0,59,38410,2,870,0
70398,T_VER700_01_03,0,59,38420,3,871,0
70399,T_VER700_01_04,0,59,38430,4,872,0
70400,T_VER700_01_05,5679,59,38440,5,873,0
70401,T_VER700_01_06,0,59,38450,6,874,0
70402,T_VER700_01_07,0,59,38460,7,875,0
70403,T_VER700_01_08,0,59,38470,8,876,0
70404,T_VER700_01_09,0,59,38480,9,877,0
70405,T_VER700_01_10,0,59,38490,10,878,0
70406,T_VER700_01_11,0,59,38500,11,879,0
70407,T_VER700_01_12,0,59,38510,12,880,0
70408,T_VER700_01_13,0,59,38520,13,881,0
70409,T_VER700_01_14,0,59,38530,14,882,0
70410,T_VER700_01_15,0,59,38540,15,883,0
70411,T_VER700_01_16,0,59,38550,16,884,0
70412,T_VER700_01_17,0,59,38560,17,885,0
70413,T_VER700_01_18,0,59,38570,18,886,0
70414,T_VER700_01_19,0,59,38580,19,887,0
70415,T_VER700_01_20,0,59,38590,20,888,0
70416,T_VER700_02_01,0,60,38600,1,889,0
70417,T_VER700_02_02,0,60,38610,2,890,0
70418,T_VER700_02_03,0,60,38620,3,891,0
70419,T_VER700_02_04,0,60,38630,4,892,0
70420,T_VER700_02_05,0,60,38640,5,893,0
70421,T_VER700_02_06,0,60,38650,6,894,0
70422,T_VER700_02_07,0,60,38660,7,895,0
70423,T_VER700_02_08,0,60,38670,8,896,0
70424,T_VER700_02_09,0,60,38680,9,897,0
70425,T_VER700_02_10,0,60,38690,10,898,0
70426,T_VER700_02_11,0,60,38700,11,899,0
70427,T_VER700_02_12,0,60,38710,12,900,0
70428,T_VER700_02_13,0,60,38720,13,901,0
70429,T_VER700_02_14,0,60,38730,14,902,0
70430,T_VER700_02_15,0,60,38740,15,903,0
70431,T_VER700_02_16,0,60,38750,16,904,0
70432,T_VER700_02_17,0,60,38760,17,905,0
70433,T_VER700_02_18,0,60,38770,18,906,0
70434,T_VER700_02_19,0,60,38780,19,907,0
70435,T_VER700_02_20,0,60,38790,20,908,0
70436,T_VER700_02_21,0,60,38800,21,909,0
70437,T_VER700_02_22,0,60,38810,22,910,0
70438,T_VER700_02_23,0,60,38820,23,911,0
70439,T_VER700_02_24,0,60,38830,24,912,0
70440,T_VER700_02_25,0,60,38840,25,913,0
70441,T_VER700_02_26,0,60,38850,26,914,0
70442,T_VER700_02_27,0,60,38860,27,915,0
70443,T_VER700_02_28,0,60,38870,28,916,0
70444,T_VER700_02_29,0,60,38880,29,917,0
70445,T_VER700_02_30,0,60,38890,30,918,0
70446,T_VER700_02_31,0,60,38900,31,919,0
70447,T_VER700_02_32,0,60,38910,32,920,0
70448,T_VER700_03_01,0,61,38920,1,921,0
70449,T_VER700_03_02,0,61,38930,2,922,0
70450,T_VER700_03_03,0,61,38940,3,923,0
70451,T_VER700_03_04,0,61,38950,4,924,0
70452,T_VER700_03_05,0,61,38960,5,925,0
70453,T_VER700_03_06,0,61,38970,6,926,0
70454,T_VER700_03_07,0,61,38980,7,927,0
70455,T_VER700_03_08,0,61,38990,8,928,0
70456,T_VER700_03_09,0,61,39000,9,929,0
70457,T_VER700_03_10,0,61,39010,10,930,0
70458,T_VER700_03_11,0,61,39020,11,931,0
70459,T_VER700_03_12,0,61,39030,12,932,0
70460,T_VER700_03_13,0,61,39040,13,933,0
70461,T_VER700_03_14,0,61,39050,14,934,0
70462,T_VER700_03_15,0,61,39060,15,935,0
70463,T_VER700_03_16,0,61,39070,16,936,0
70464,T_VER700_03_17,0,61,39080,17,937,0
70465,T_VER700_03_18,0,61,39090,18,938,0
70466,T_VER700_03_19,0,61,39100,19,939,0
70467,T_VER700_03_20,0,61,39110,20,940,0
70468,T_VER700_04_01,0,62,39120,1,941,0
70469,T_VER700_04_02,0,62,39130,2,942,0
70470,T_VER700_04_03,0,62,39140,3,943,0
70471,T_VER700_04_04,0,62,39150,4,944,0
70472,T_VER700_04_05,0,62,39160,5,945,0
70473,T_VER700_04_06,0,62,39170,6,946,0
70474,T_VER700_04_07,0,62,39180,7,947,0
70475,T_VER700_04_08,0,62,39190,8,948,0
70476,T_VER700_04_09,0,62,39200,9,949,0
70477,T_VER700_04_10,0,62,39210,10,950,0
70478,T_VER700_04_11,0,62,39220,11,951,0
70479,T_VER700_04_12,0,62,39230,12,952,0
70480,T_VER700_04_13,0,62,39240,13,953,0
70481,T_VER700_04_14,0,62,39250,14,954,0
70482,T_VER700_04_15,0,62,39260,15,955,0
70483,T_VER700_04_16,0,62,39270,16,956,0
70484,T_VER700_04_17,0,62,39280,17,957,0
70485,T_VER700_04_18,0,62,39290,18,958,0
70486,T_VER700_04_19,0,62,39300,19,959,0
70487,T_VER700_04_20,0,62,39310,20,960,0
70488,T_VER700_04_21,0,62,39320,21,961,0
70489,T_VER700_04_22,0,62,39330,22,962,0
70490,T_VER700_04_23,0,62,39340,23,963,0
70491,T_VER700_04_24,0,62,39350,24,964,0
70492,T_VER700_04_25,0,62,39360,25,965,0
70493,T_VER700_04_26,0,62,39370,26,966,0
70494,T_VER700_04_27,0,62,39380,27,967,0
70495,T_VER700_04_28,0,62,39390,28,968,0
70780,T_VER710_01_01,0,63,39400,1,969,0
70781,T_VER710_01_02,0,63,39410,2,970,0
70782,T_VER710_01_03,0,63,39420,3,971,0
70783,T_VER710_01_04,0,63,39430,4,972,0
70784,T_VER710_01_05,0,63,39440,5,973,0
70785,T_VER710_01_06,0,63,39450,6,974,0
70786,T_VER710_01_07,0,63,39460,7,975,0
70835,T_VER720_01_01,0,64,39500,1,976,0
70836,T_VER720_01_02,0,64,39510,2,977,0
70837,T_VER720_01_03,0,64,39520,3,978,0
70838,T_VER720_01_04,0,64,39530,4,979,0
70839,T_VER720_01_05,0,64,39540,5,980,0
70840,T_VER720_01_06,0,64,39550,6,981,0
70841,T_VER720_01_07,0,64,39560,7,982,0
70842,T_VER720_01_08,0,64,39570,8,983,0
70900,T_VER730_01_01,0,65,39600,1,984,0
70901,T_VER730_01_02,0,65,39610,2,985,0
70902,T_VER730_01_03,0,65,39620,3,986,0
70903,T_VER730_01_04,0,65,39630,4,987,0
70904,T_VER730_01_05,0,65,39640,5,988,0
70905,T_VER730_01_06,0,65,39650,6,989,0
70906,T_VER730_01_07,0,65,39660,7,990,0
70907,T_VER730_01_08,0,65,39670,8,991,0
70908,T_VER730_01_09,0,65,39680,9,992,0
70909,T_VER730_01_10,0,65,39690,10,993,0
70962,T_VER740_01_01,0,66,39700,1,994,0
70963,T_VER740_01_02,0,66,39710,2,995,0
70964,T_VER740_01_03,0,66,39720,3,996,0
70965,T_VER740_01_04,0,66,39730,4,997,0
70966,T_VER740_01_05,0,66,39740,5,998,0
70967,T_VER740_01_06,0,66,39750,6,999,0
70968,T_VER740_01_07,0,66,39760,7,1000,0
70969,T_VER740_01_08,0,66,39770,8,1001,0
70970,T_VER740_01_09,0,66,39780,9,1002,0
